osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,est_width
"[708192770, 708192771, 112856484, 112857662, 112855806]",2,191,国道191号,trunk,False,False,354.326,yes,"LINESTRING (131.1767659 34.3692472, 131.1769304 34.3692286, 131.1776382 34.3691318, 131.177859 34.3691006, 131.1788443 34.3689616, 131.1793737 34.3688934, 131.1794046 34.3688888, 131.1802288 34.3687653, 131.1805712 34.3687116)",
112858261,,,,unclassified,False,True,100.461,,"LINESTRING (131.1793475 34.3747384, 131.1782529 34.374732)",
112856288,,,,unclassified,False,True,85.40100000000001,,"LINESTRING (131.1793475 34.3747384, 131.1798023 34.3749784, 131.1801559 34.3751156)",
"[112857188, 672469375]",,,,"['unclassified', 'residential']",False,False,125.941,,"LINESTRING (131.1793475 34.3747384, 131.17938 34.3744224, 131.1793879 34.3742205, 131.1793771 34.3741804, 131.179354 34.3741416, 131.179327 34.3741079, 131.1793039 34.3740862, 131.1792267 34.374048, 131.1791619 34.374027, 131.1790586 34.3740009, 131.1789645 34.3739875, 131.1788681 34.3739729, 131.1788419 34.3739602, 131.1787867 34.3739309)",
112856547,,,,unclassified,False,True,44.34,,"LINESTRING (131.1806744 34.3711048, 131.1807042 34.3707068)",
112857292,,,,tertiary,False,False,113.561,,"LINESTRING (131.1806744 34.3711048, 131.1819093 34.3711686)",
112855781,,,,unclassified,False,False,158.702,,"LINESTRING (131.1806744 34.3711048, 131.180636 34.3715945, 131.1806119 34.3717392, 131.1805092 34.3725251)",
112855875,,,,unclassified,False,True,6.792,,"LINESTRING (131.1807554 34.3700572, 131.1807637 34.3699965)",
112856547,,,,unclassified,False,False,72.385,,"LINESTRING (131.1807554 34.3700572, 131.1807042 34.3707068)",
112857699,,,,unclassified,False,False,113.92999999999999,,"LINESTRING (131.1807554 34.3700572, 131.1816462 34.3701422, 131.1819817 34.3702071)",
112855875,,,,unclassified,False,False,6.792,,"LINESTRING (131.1807637 34.3699965, 131.1807554 34.3700572)",
112857394,,,,unclassified,False,True,126.515,,"LINESTRING (131.1807637 34.3699965, 131.1803131 34.3699819, 131.1797033 34.370004, 131.1793865 34.3700155)",
"[112857912, 112856910]",,,,unclassified,False,True,148.307,,"LINESTRING (131.1807637 34.3699965, 131.1808338 34.3691904, 131.1807119 34.3689681, 131.1805712 34.3687116)",
112855806,2,191,国道191号,trunk,False,False,144.179,,"LINESTRING (131.1805712 34.3687116, 131.1811263 34.3686803, 131.1813642 34.3686776, 131.1815333 34.3686853, 131.1816907 34.3687014, 131.1818151 34.3687222, 131.1821191 34.368809)",
