osmid,highway,oneway,reversed,length,geometry,bridge,lanes,maxspeed,access
30370684,tertiary,False,False,12.236,"LINESTRING (135.6812418 34.7910953, 135.6811193 34.7910507)",,,,
30370684,tertiary,False,True,25.325,"LINESTRING (135.6812418 34.7910953, 135.6814956 34.7911871)",,,,
341064195,unclassified,False,False,73.677,"LINESTRING (135.6812418 34.7910953, 135.6812421 34.7910495, 135.6812294 34.7908196, 135.6813359 34.7908052, 135.6813414 34.7906661, 135.6814957 34.7906581, 135.6815341 34.7906534)",,,,
30370684,tertiary,False,False,26.188,"LINESTRING (135.6793705 34.79034, 135.6791782 34.7902664, 135.6791124 34.7902375)",,,,
30370684,tertiary,False,True,103.846,"LINESTRING (135.6793705 34.79034, 135.6797444 34.7904764, 135.6800449 34.7905977, 135.6803942 34.790746)",,,,
1107198372,residential,False,False,32.394,"LINESTRING (135.6793705 34.79034, 135.6793754 34.7902957, 135.6793988 34.7900496)",,,,
30370684,tertiary,False,False,69.907,"LINESTRING (135.6787683 34.7901134, 135.6785365 34.7900077, 135.6782876 34.7898597, 135.6781739 34.7897767, 135.6781428 34.7897548)",,,,
30370684,tertiary,False,True,34.323,"LINESTRING (135.6787683 34.7901134, 135.6790405 34.7902137, 135.6791124 34.7902375)",,,,
173576934,residential,False,False,65.19500000000001,"LINESTRING (135.6787683 34.7901134, 135.6787446 34.7901429, 135.6787142 34.7901778, 135.678623 34.7902505, 135.6784648 34.79031, 135.678277 34.7903232, 135.6781483 34.7903312)",,,,
928207666,unclassified,False,False,19.234,"LINESTRING (135.6753565 34.7893468, 135.6752453 34.7894937)",,,,
928207666,unclassified,False,True,5.485,"LINESTRING (135.6753565 34.7893468, 135.6753882 34.7893049)",,,,
"[1107143826, 1107143827, 160105333]",unclassified,False,False,117.155,"LINESTRING (135.6753565 34.7893468, 135.6752786 34.7893048, 135.6752228 34.7892767, 135.6742665 34.7887912)",yes,,,
928207665,unclassified,False,False,20.829,"LINESTRING (135.6740853 34.7905091, 135.6742828 34.7904154)",,,,
1007355543,unclassified,False,True,24.879,"LINESTRING (135.6740853 34.7905091, 135.6738459 34.7904023)",,,,
"[1007355544, 160200541, 1007355543]",unclassified,False,False,54.949000000000005,"LINESTRING (135.6740853 34.7905091, 135.6740897 34.7905125, 135.6741513 34.7905601, 135.674184 34.7905853, 135.6745337 34.7904915, 135.6745975 34.79043)",yes,,,
160105327,unclassified,False,True,55.827,"LINESTRING (135.6744571 34.7902613, 135.6739413 34.7899918)",,,,
928207665,unclassified,False,False,26.98,"LINESTRING (135.6744571 34.7902613, 135.6746504 34.7900778)",,,,
928207665,unclassified,False,True,23.387,"LINESTRING (135.6744571 34.7902613, 135.6742828 34.7904154)",,,,
928207666,unclassified,False,False,17.966,"LINESTRING (135.6754919 34.7891676, 135.6753882 34.7893049)",,,,
"[1107198392, 928207666]",unclassified,False,True,60.260999999999996,"LINESTRING (135.6754919 34.7891676, 135.6755522 34.7890879, 135.6760155 34.7893246)",,,,
"[1107143824, 1107143825, 160105338]",unclassified,False,False,13.391,"LINESTRING (135.6754919 34.7891676, 135.6754347 34.7891382, 135.6753727 34.7891063, 135.6753676 34.7891037)",yes,,,
160105338,unclassified,False,False,103.652,"LINESTRING (135.6753676 34.7891037, 135.6744052 34.7886095)",,,,
928207667,unclassified,False,True,23.8,"LINESTRING (135.6753676 34.7891037, 135.6755127 34.7889259)",,,,
"[1107143824, 1107143825, 160105338]",unclassified,False,True,13.391,"LINESTRING (135.6753676 34.7891037, 135.6753727 34.7891063, 135.6754347 34.7891382, 135.6754919 34.7891676)",yes,,,
928207666,unclassified,False,True,7.31,"LINESTRING (135.6750671 34.7897176, 135.6751156 34.7896653)",,,,
"[928207672, 928207666]",unclassified,False,False,49.621,"LINESTRING (135.6750671 34.7897176, 135.6749603 34.7898707, 135.6752328 34.7900214)",,,,
"[160105325, 1107143830, 1107143831]",unclassified,False,False,116.69,"LINESTRING (135.6750671 34.7897176, 135.6750043 34.7896838, 135.6749604 34.7896601, 135.6749531 34.7896568, 135.6739982 34.7891426)",yes,,,
928207663,unclassified,False,False,82.245,"LINESTRING (135.6758153 34.7885553, 135.6750449 34.7881722)",,,,
928207667,unclassified,False,False,26.652,"LINESTRING (135.6758153 34.7885553, 135.6757265 34.7886641, 135.6756528 34.7887544)",,,,
928207667,unclassified,False,True,49.735,"LINESTRING (135.6758153 34.7885553, 135.6761014 34.7882049, 135.6761186 34.7881838)",,,,
160105319,unclassified,False,False,21.353,"LINESTRING (135.6746744 34.788257, 135.6745502 34.7884197)",,,,
160105323,unclassified,False,True,105.081,"LINESTRING (135.6746744 34.788257, 135.6756528 34.7887544)",,,,
"[928207663, 160105319]",unclassified,False,True,49.252,"LINESTRING (135.6746744 34.788257, 135.6748233 34.788062, 135.6750449 34.7881722)",,,,
160214441,unclassified,False,False,26.468,"LINESTRING (135.6756163 34.7899328, 135.6754597 34.7901331)",,,,
160214441,unclassified,False,True,25.342,"LINESTRING (135.6756163 34.7899328, 135.6757662 34.789741)",,,,
928207671,unclassified,False,False,54.548,"LINESTRING (135.6756163 34.7899328, 135.675258 34.7897426, 135.6751156 34.7896653)",,,,
160105329,unclassified,False,False,47.395,"LINESTRING (135.6733499 34.7901643, 135.6734128 34.7900625, 135.6734993 34.7899225, 135.6736637 34.7899988)",,,,
160105323,unclassified,False,False,105.081,"LINESTRING (135.6756528 34.7887544, 135.6746744 34.788257)",,,,
928207667,unclassified,False,False,22.964,"LINESTRING (135.6756528 34.7887544, 135.6755127 34.7889259)",,,,
928207667,unclassified,False,True,26.652,"LINESTRING (135.6756528 34.7887544, 135.6757265 34.7886641, 135.6758153 34.7885553)",,,,
160105332,unclassified,False,False,54.945,"LINESTRING (135.6752453 34.7894937, 135.6757662 34.789741)",,,,
928207666,unclassified,False,False,5.428,"LINESTRING (135.6752453 34.7894937, 135.675214 34.7895352)",,,,
928207666,unclassified,False,True,19.234,"LINESTRING (135.6752453 34.7894937, 135.6753565 34.7893468)",,,,
162096807,unclassified,False,True,16.646,"LINESTRING (135.6742856 34.7895777, 135.6744373 34.7896607)",,,,
"[160105319, 162096807]",unclassified,False,"[False, True]",73.67099999999999,"LINESTRING (135.6742856 34.7895777, 135.6739693 34.7894046, 135.6738486 34.7893385, 135.6739982 34.7891426)",,,,
928207664,unclassified,False,False,36.326,"LINESTRING (135.6742856 34.7895777, 135.6742006 34.78968, 135.6740613 34.7898475)",,,,
928207667,unclassified,False,False,23.8,"LINESTRING (135.6755127 34.7889259, 135.6753676 34.7891037)",,,,
928207667,unclassified,False,True,22.964,"LINESTRING (135.6755127 34.7889259, 135.6756528 34.7887544)",,,,
160105324,unclassified,False,False,104.379,"LINESTRING (135.6755127 34.7889259, 135.6747259 34.7885166, 135.6745502 34.7884197)",,,,
928207664,unclassified,False,True,21.504,"LINESTRING (135.6737256 34.7903699, 135.6738431 34.7902023)",,,,
928207666,unclassified,False,False,17.03,"LINESTRING (135.675214 34.7895352, 135.6751156 34.7896653)",,,,
928207666,unclassified,False,True,5.428,"LINESTRING (135.675214 34.7895352, 135.6752453 34.7894937)",,,,
"[160105320, 1107143828, 1107143829]",unclassified,False,False,117.271,"LINESTRING (135.675214 34.7895352, 135.6751289 34.7894948, 135.6750703 34.7894612, 135.674125 34.7889765)",yes,,,
