osmid,oneway,highway,reversed,length,geometry,ref,name,maxspeed,lanes,width
128249810,True,residential,False,11.525,"LINESTRING (133.2369897 35.5406182, 133.2370094 35.5407206)",,,,,
115491742,False,residential,False,17.393,"LINESTRING (133.2370185 35.536778, 133.2370924 35.5366336)",,,,,
115491742,False,residential,True,47.397,"LINESTRING (133.2370185 35.536778, 133.2368468 35.5371807)",,,,,
388561128,False,residential,True,86.135,"LINESTRING (133.2370185 35.536778, 133.2369315 35.5367794, 133.2366266 35.5368271, 133.2360874 35.5369321)",,,,,
115493289,False,secondary,True,11.336,"LINESTRING (133.2347982 35.5417495, 133.2348314 35.5418478)",163,境港線,40,,
115493289,False,secondary,False,74.74100000000001,"LINESTRING (133.2347982 35.5417495, 133.234823 35.5416917, 133.2350701 35.5411148)",163,境港線,40,,
128249907,False,unclassified,False,83.803,"LINESTRING (133.2347982 35.5417495, 133.2347223 35.5417475, 133.2346969 35.5417468, 133.2338723 35.5417295)",,,,,
128250451,False,tertiary,False,40.005,"LINESTRING (133.2353682 35.5404365, 133.235494 35.5400916)",,,40,,
1136914033,False,secondary,True,11.417,"LINESTRING (133.2353682 35.5404365, 133.2353279 35.5405338)",163,境港線,,,
1136914035,True,primary,False,22.296,"LINESTRING (133.2353682 35.5404365, 133.2351251 35.5404037)",47,米子境港線,50,2,
1136914086,False,tertiary,True,10.594,"LINESTRING (133.2292878 35.536427, 133.2294026 35.5364457)",,,,2,
1136914087,False,tertiary,False,59.601,"LINESTRING (133.2292878 35.536427, 133.2286418 35.5363223)",,,40,2,
128250241,True,residential,False,121.14399999999999,"LINESTRING (133.2292878 35.536427, 133.2292754 35.5365797, 133.2292496 35.5375159)",,,,,
115491742,False,residential,True,2.482,"LINESTRING (133.2372959 35.5361654, 133.2372866 35.5361864)",,,,,
115491742,False,residential,False,19.792,"LINESTRING (133.236757 35.537343, 133.2368468 35.5371807)",,,,,
128250451,False,tertiary,True,6.64,"LINESTRING (133.236757 35.537343, 133.2367287 35.5373981)",,,40,,
115493293,False,tertiary,False,46.687999999999995,"LINESTRING (133.236757 35.537343, 133.2366822 35.537315, 133.2366131 35.5373121, 133.2362509 35.537345)",,,40,2,
115491742,False,residential,True,17.393,"LINESTRING (133.2370924 35.5366336, 133.2370185 35.536778)",,,,,
115491742,False,residential,False,52.74,"LINESTRING (133.2370924 35.5366336, 133.2371586 35.5364811, 133.2372866 35.5361864)",,,,,
115493293,False,tertiary,False,62.533,"LINESTRING (133.232549 35.5369775, 133.2318717 35.5368657)",,,40,2,
115493293,False,tertiary,True,64.568,"LINESTRING (133.232549 35.5369775, 133.2332479 35.5370947)",,,40,2,
115497127,False,tertiary,False,69.404,"LINESTRING (133.232549 35.5369775, 133.2325597 35.5376016)",,,40,2,
115497127,False,tertiary,True,129.22,"LINESTRING (133.232549 35.5369775, 133.2325464 35.5358154)",,,40,2,
115497130,False,tertiary,False,10.397,"LINESTRING (133.230927 35.5398975, 133.2308954 35.5399874)",,,,,
128249250,False,residential,True,58.387,"LINESTRING (133.230927 35.5398975, 133.2309265 35.5398378, 133.2309369 35.5393725)",,,,,4
1136914029,True,primary,False,150.47299999999998,"LINESTRING (133.230927 35.5398975, 133.2308137 35.5398833, 133.2304484 35.5398375, 133.2294993 35.5397216, 133.2292821 35.5396984)",47,米子境港線,50,2,
128249147,False,unclassified,True,55.515,"LINESTRING (133.2307784 35.5416913, 133.2313919 35.5416991)",,,,,
128249541,False,unclassified,True,45.854,"LINESTRING (133.2307784 35.5416913, 133.2302717 35.5416834)",,,,,
1136914027,False,tertiary,False,122.066,"LINESTRING (133.2307784 35.5416913, 133.2307112 35.5427877)",,,40,,
1136914027,False,tertiary,True,128.621,"LINESTRING (133.2307784 35.5416913, 133.2308534 35.5405362)",,,40,,
115497103,False,tertiary,False,65.3,"LINESTRING (133.2291722 35.5398548, 133.2288687 35.5403876)",,,40,2,
128249592,True,residential,False,11.723,"LINESTRING (133.2291722 35.5398548, 133.2292646 35.5397809)",,,,,
1136914085,False,tertiary,False,61.533,"LINESTRING (133.2356478 35.5434891, 133.236319 35.5433999)",,,40,,
1136914085,False,tertiary,True,47.069,"LINESTRING (133.2356478 35.5434891, 133.2351354 35.5435623)",,,40,,
115493289,False,secondary,False,135.59499999999997,"LINESTRING (133.2356478 35.5434891, 133.2356103 35.5432762, 133.2355632 35.5431041, 133.2354696 35.5429104, 133.2351564 35.5423453)",163,境港線,40,,
1136914027,False,tertiary,True,98.071,"LINESTRING (133.2306507 35.5436683, 133.2307112 35.5427877)",,,40,,
1136914085,False,tertiary,True,41.456,"LINESTRING (133.2306507 35.5436683, 133.2301927 35.5436573)",,,40,,
1136914031,False,tertiary,True,9.686,"LINESTRING (133.2325609 35.5401826, 133.2325922 35.5400993)",,,40,,
128249054,False,unclassified,True,54.336,"LINESTRING (133.2325609 35.5401826, 133.232522 35.5402314, 133.2325142 35.5402411, 133.2324918 35.5406596)",,,,,
1136914030,True,primary,False,99.145,"LINESTRING (133.2325609 35.5401826, 133.232774 35.5402109, 133.2328752 35.5402244, 133.2336423 35.5403265)",47,米子境港線,50,2,
128249243,False,residential,True,11.897,"LINESTRING (133.2296034 35.5346938, 133.2297338 35.5347075)",,,,,
128249570,True,residential,False,97.048,"LINESTRING (133.2296034 35.5346938, 133.2294286 35.5355549)",,,,,
128249243,False,residential,False,11.897,"LINESTRING (133.2297338 35.5347075, 133.2296034 35.5346938)",,,,,
128249452,False,residential,True,56.685,"LINESTRING (133.2297338 35.5347075, 133.2303585 35.5347456)",,,,,
128248857,False,residential,True,46.807,"LINESTRING (133.2303585 35.5347456, 133.2302835 35.5351621)",,,,,
128249452,False,residential,False,56.685,"LINESTRING (133.2303585 35.5347456, 133.2297338 35.5347075)",,,,,
128250164,False,residential,False,137.653,"LINESTRING (133.2303585 35.5347456, 133.2318748 35.5348454)",,,,,
128249774,False,residential,False,44.973,"LINESTRING (133.2357515 35.5346909, 133.2357174 35.5350944)",,,,,
388442474,False,residential,False,69.797,"LINESTRING (133.2357515 35.5346909, 133.2365198 35.5347467)",,,,,
128249096,False,residential,False,61.25,"LINESTRING (133.2318748 35.5348454, 133.2325493 35.5348917)",,,,,
128249451,False,residential,True,46.651,"LINESTRING (133.2318748 35.5348454, 133.2318673 35.5352649)",,,,,
128250164,False,residential,True,137.653,"LINESTRING (133.2318748 35.5348454, 133.2303585 35.5347456)",,,,,
115497127,False,tertiary,False,102.711,"LINESTRING (133.2325493 35.5348917, 133.2325464 35.5358154)",,,40,2,
