osmid,highway,oneway,reversed,length,geometry,lanes,bridge,ref,name,maxspeed,est_width
375231276,residential,False,True,171.346,"LINESTRING (127.9803691 26.5887037, 127.9803258 26.5887314, 127.9802866 26.5887767, 127.9802135 26.5888317, 127.9801656 26.5888475, 127.9801049 26.5888465, 127.9800614 26.5888307, 127.979092 26.5879884)",,,,,,
164172934,unclassified,True,False,37.646,"LINESTRING (127.982428 26.5888249, 127.9821748 26.5885732)",,,,,,
484323982,residential,False,False,68.24,"LINESTRING (127.982428 26.5888249, 127.9818758 26.5891893)",,,,,,
164173144,tertiary,False,True,66.047,"LINESTRING (127.9821748 26.5885732, 127.9819042 26.5887364, 127.9816202 26.5889)",2,,,,,
164175830,residential,False,False,35.587,"LINESTRING (127.9781794 26.5884532, 127.9784086 26.588699)",,,,,,
164175830,residential,False,True,27.606,"LINESTRING (127.9781794 26.5884532, 127.9779333 26.5885681)",,,,,,
"[191861074, 375231284, 375231286]",residential,False,False,118.61099999999999,"LINESTRING (127.9781794 26.5884532, 127.9781451 26.5883955, 127.9781451 26.5883601, 127.9781667 26.5883352, 127.9782437 26.5883004, 127.9786311 26.5881196, 127.978717 26.5881004, 127.9788045 26.5880978, 127.9788614 26.5881246, 127.9789333 26.5881059, 127.9789932 26.5880684, 127.979092 26.5879884)",1,yes,,,,
164175830,residential,False,False,35.478,"LINESTRING (127.9786607 26.5889631, 127.9788992 26.5892004)",,,,,,
164175830,residential,False,True,38.611,"LINESTRING (127.9786607 26.5889631, 127.9784086 26.588699)",,,,,,
375231282,residential,False,True,44.776,"LINESTRING (127.9786607 26.5889631, 127.9782575 26.5891424)",,,,,,
164170434,unclassified,True,False,40.997,"LINESTRING (127.9816202 26.5889, 127.9818758 26.5891893)",,,,,,
164173144,tertiary,False,True,67.95,"LINESTRING (127.9816202 26.5889, 127.9810529 26.5892407)",2,,,,,
164173144,tertiary,False,False,66.047,"LINESTRING (127.9816202 26.5889, 127.9819042 26.5887364, 127.9821748 26.5885732)",2,,,,,
164173144,tertiary,False,False,67.95,"LINESTRING (127.9810529 26.5892407, 127.9816202 26.5889)",2,,,,,
164173144,tertiary,False,True,80.521,"LINESTRING (127.9810529 26.5892407, 127.9803637 26.5896209)",2,,,,,
164170694,primary,False,False,67.136,"LINESTRING (127.9821269 26.5894665, 127.9816472 26.5898221, 127.9816068 26.5898515)",2,,91,本部循環線,30,
164173144,tertiary,False,False,80.521,"LINESTRING (127.9803637 26.5896209, 127.9810529 26.5892407)",2,,,,,
"[164173144, 164174818, 164172446]",tertiary,False,"[False, True]",78.655,"LINESTRING (127.9803637 26.5896209, 127.9799658 26.5898509, 127.9798084 26.5899406, 127.9797016 26.5900078)",2,yes,,,,
164173366,residential,True,False,42.528,"LINESTRING (127.9816068 26.5898515, 127.9813365 26.5895551)",1,,,,,
164170694,primary,False,False,81.285,"LINESTRING (127.9816068 26.5898515, 127.9811031 26.5902251, 127.9810633 26.5902554, 127.9809777 26.5903183)",2,,91,本部循環線,30,
