osmid,highway,oneway,reversed,length,bridge,name,geometry,lanes,width
"[134623565, 134623174, 134624319]",residential,False,True,187.785,yes,三根橋,"LINESTRING (129.8889281 32.819917, 129.8889328 32.8199474, 129.8889896 32.8201308, 129.8891104 32.8205425, 129.8890896 32.8206916, 129.8890326 32.8207942, 129.8888831 32.8209355, 129.8886142 32.8212342, 129.888517 32.8214359)",,
"[134623082, 134623227, 134624140]",tertiary,False,False,276.157,yes,三根大橋,"LINESTRING (129.8909717 32.8200998, 129.8909017 32.8202038, 129.890848 32.820265, 129.8907268 32.8203723, 129.8889024 32.8212534, 129.888517 32.8214359)",2,5
134622990,residential,False,True,289.63699999999994,,,"LINESTRING (129.885818 32.8203699, 129.8858688 32.8204159, 129.8860226 32.8205252, 129.8861242 32.8206623, 129.8861809 32.82071, 129.8862969 32.820721, 129.8864302 32.8206803, 129.8865086 32.8206857, 129.8866152 32.8207385, 129.8867227 32.8208248, 129.8870491 32.8210747, 129.887149 32.8211102, 129.8873672 32.8210973, 129.8874575 32.8211307, 129.8879098 32.8213953, 129.888001 32.8214114, 129.8881491 32.8214133, 129.8884152 32.8214907)",,
"[724645848, 134623252]","['residential', 'unclassified']",False,True,210.748,,,"LINESTRING (129.885818 32.8203699, 129.8856239 32.8204167, 129.885149 32.820418, 129.884729 32.820463, 129.884628 32.820497, 129.884528 32.820537, 129.884428 32.820537, 129.884201 32.82048, 129.884041 32.82048, 129.883888 32.820531, 129.883614 32.820531)",,
134623694,tertiary,False,False,110.921,,,"LINESTRING (129.8817556 32.8203976, 129.8818064 32.8204787, 129.8817946 32.8205579, 129.8817283 32.8206377, 129.8816223 32.8207602, 129.8815663 32.8208642, 129.8815523 32.8209836, 129.8815818 32.8210894, 129.8816193 32.8211878, 129.8816502 32.8212293, 129.8817283 32.8212788)",2,5
955971022,unclassified,False,True,179.13499999999996,,,"LINESTRING (129.8817556 32.8203976, 129.8819321 32.8203202, 129.8822433 32.8203743, 129.8825812 32.8204509, 129.8827696 32.8204823, 129.8828387 32.8204938, 129.8831203 32.8205118, 129.8835415 32.820496, 129.883614 32.820531)",,
"[724645848, 134623252]","['unclassified', 'residential']",False,False,210.74800000000002,,,"LINESTRING (129.883614 32.820531, 129.883888 32.820531, 129.884041 32.82048, 129.884201 32.82048, 129.884428 32.820537, 129.884528 32.820537, 129.884628 32.820497, 129.884729 32.820463, 129.885149 32.820418, 129.8856239 32.8204167, 129.885818 32.8203699)",,
"[724645848, 134623694]","['unclassified', 'tertiary']",False,True,88.446,,,"LINESTRING (129.883614 32.820531, 129.8833725 32.8206385, 129.8832616 32.8206967, 129.8830738 32.8207801, 129.8829154 32.8208577, 129.8828817 32.8209056, 129.8828407 32.8209638)",2,5
955971022,unclassified,False,False,179.135,,,"LINESTRING (129.883614 32.820531, 129.8835415 32.820496, 129.8831203 32.8205118, 129.8828387 32.8204938, 129.8827696 32.8204823, 129.8825812 32.8204509, 129.8822433 32.8203743, 129.8819321 32.8203202, 129.8817556 32.8203976)",,
"[724645848, 134623694]","['unclassified', 'tertiary']",False,False,88.446,,,"LINESTRING (129.8828407 32.8209638, 129.8828817 32.8209056, 129.8829154 32.8208577, 129.8830738 32.8207801, 129.8832616 32.8206967, 129.8833725 32.8206385, 129.883614 32.820531)",2,5
