osmid,highway,oneway,reversed,length,geometry,lanes,tunnel,ref,name,maxspeed
133799256,unclassified,False,False,106.143,"LINESTRING (134.7562345 34.946389, 134.7573765 34.9462021)",,,,,
"[133799426, 133799500]",unclassified,False,"[False, True]",331.567,"LINESTRING (134.7562345 34.946389, 134.7563991 34.9471132, 134.7565106 34.9474895, 134.7565769 34.9476079, 134.7566432 34.9477062, 134.7565899 34.9477958, 134.756601 34.9478487, 134.7566951 34.9480082, 134.7567249 34.9480838, 134.7567595 34.9481439, 134.7567597 34.9483127, 134.7566992 34.948459, 134.7569067 34.9492567)",,,,,
133798923,residential,False,True,104.16,"LINESTRING (134.7597619 34.9458461, 134.7586345 34.9459993)",,,,,
133798724,tertiary,False,False,331.535,"LINESTRING (134.7597619 34.9458461, 134.7600538 34.9472721, 134.7601222 34.947795, 134.7601815 34.9483282, 134.7602821 34.9487953)",,,,,
133798923,residential,False,False,104.16,"LINESTRING (134.7586345 34.9459993, 134.7597619 34.9458461)",,,,,
133799256,unclassified,False,True,116.858,"LINESTRING (134.7586345 34.9459993, 134.7573765 34.9462021)",,,,,
"[133799104, 625776066]",unclassified,False,True,338.09200000000004,"LINESTRING (134.7586345 34.9459993, 134.7588262 34.9468325, 134.7588733 34.9470232, 134.7589584 34.947428, 134.7590456 34.9477279, 134.7590635 34.9478308, 134.7591095 34.9478936, 134.7592146 34.9479342, 134.7593043 34.9479761, 134.7593502 34.9480279, 134.759395 34.9482448, 134.7594225 34.9486919, 134.7594812 34.948876)",,,,,
133799256,unclassified,False,False,116.858,"LINESTRING (134.7573765 34.9462021, 134.7586345 34.9459993)",,,,,
133799256,unclassified,False,True,106.143,"LINESTRING (134.7573765 34.9462021, 134.7562345 34.946389)",,,,,
204798173,tertiary,False,True,327.74,"LINESTRING (134.7573765 34.9462021, 134.7576655 34.9476078, 134.7579722 34.9491088)",2,,,,
133798488,unclassified,False,False,321.557,"LINESTRING (134.7547323 34.9476174, 134.7548101 34.9476149, 134.7548785 34.9476148, 134.7549815 34.9476067, 134.7551705 34.9476108, 134.755209 34.9476922, 134.7552912 34.9479865, 134.755362 34.9483114, 134.7555163 34.9487369, 134.755583 34.9489488, 134.7556447 34.9489754, 134.755791 34.9490214, 134.755964 34.949066, 134.756155 34.949122, 134.7564179 34.9491985, 134.7567 34.949289, 134.7568196 34.9492748, 134.7569067 34.9492567)",,,,,
133799157,unclassified,False,False,72.486,"LINESTRING (134.7602821 34.9487953, 134.7595119 34.9489578)",,,,,
"[133798547, 133798724, 133798646]",tertiary,False,False,60.282,"LINESTRING (134.7602821 34.9487953, 134.7603168 34.9489202, 134.7604053 34.9492391, 134.7604289 34.9493239)",,yes,,,
133798724,tertiary,False,True,331.53499999999997,"LINESTRING (134.7602821 34.9487953, 134.7601815 34.9483282, 134.7601222 34.947795, 134.7600538 34.9472721, 134.7597619 34.9458461)",,,,,
513443251,residential,False,True,341.15000000000003,"LINESTRING (134.7602821 34.9487953, 134.7604805 34.9487377, 134.7608656 34.9486265, 134.7610504 34.948518, 134.7612261 34.9483917, 134.7613462 34.9482048, 134.7614078 34.9480356, 134.7614294 34.9478639, 134.7613647 34.9474497, 134.7612938 34.9468966, 134.7612908 34.9466138, 134.7613832 34.9463132, 134.7614095 34.9462615)",,,,,
133799157,unclassified,False,True,72.486,"LINESTRING (134.7595119 34.9489578, 134.7602821 34.9487953)",,,,,
625776066,unclassified,False,False,9.516,"LINESTRING (134.7595119 34.9489578, 134.7594812 34.948876)",,,,,
