osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,tunnel,bridge
69886850,193,えべっさん筋　(西宮港線),secondary,40,False,False,10.252,,"LINESTRING (135.336174 34.7386505, 135.3361737 34.7385583)",,
532326731,2;171,国道2号,trunk,50,True,False,136.923,2,"LINESTRING (135.336174 34.7386505, 135.3363076 34.7386538, 135.3369223 34.7386557, 135.3372006 34.7386436, 135.3375889 34.7386463, 135.337672 34.7386469)",,
26828087,171,国道171号,trunk,40,False,False,8.974,2,"LINESTRING (135.3394096 34.7386498, 135.3394145 34.7385692)",,
538950911,171,国道171号,trunk,40,False,False,64.485,4,"LINESTRING (135.3394096 34.7386498, 135.3394055 34.7387368, 135.3393824 34.7392293)",,
538950912,2,国道2号,trunk,50,True,False,146.813,2,"LINESTRING (135.3394096 34.7386498, 135.3395953 34.7386508, 135.339988 34.7386393, 135.3410067 34.7385257)",,
144860923,,,unclassified,,True,False,71.371,,"LINESTRING (135.3392606 34.7412994, 135.3393918 34.7413011, 135.3400416 34.7413093)",,
538950911,171,国道171号,trunk,40,False,False,60.574999999999996,4,"LINESTRING (135.3392606 34.7412994, 135.3392547 34.7413562, 135.3392267 34.7416737, 135.3392041 34.7418421)",,
538950911,171,国道171号,trunk,40,False,True,118.053,4,"LINESTRING (135.3392606 34.7412994, 135.3392648 34.7412319, 135.3393264 34.7402391)",,
144861816,,山手幹線,tertiary,,False,False,104.712,2,"LINESTRING (135.3392041 34.7418421, 135.3390698 34.741842, 135.3387021 34.7418416, 135.3380582 34.7418327)",,
144861816,,山手幹線,tertiary,,False,True,118.75299999999999,2,"LINESTRING (135.3392041 34.7418421, 135.3393844 34.7418478, 135.3404173 34.7418805, 135.3405028 34.7418832)",,
538950911,171,国道171号,trunk,40,False,False,54.84,4,"LINESTRING (135.3392041 34.7418421, 135.3391914 34.7419928, 135.3391625 34.7423341)",,
538950911,171,国道171号,trunk,40,False,True,60.574999999999996,4,"LINESTRING (135.3392041 34.7418421, 135.3392267 34.7416737, 135.3392547 34.7413562, 135.3392606 34.7412994)",,
788757363,,市役所前線,tertiary,40,False,False,61.141,2,"LINESTRING (135.3426085 34.7403458, 135.3425616 34.7397973)",,
788757363,,市役所前線,tertiary,40,False,True,117.68,2,"LINESTRING (135.3426085 34.7403458, 135.3426211 34.740516, 135.3426862 34.7414022)",,
818304273,,,unclassified,,True,False,65.292,,"LINESTRING (135.3426085 34.7403458, 135.3425223 34.740343, 135.3423087 34.740336, 135.3418945 34.7403226)",,
144858588,,,residential,,False,False,47.792,,"LINESTRING (135.342638 34.7424597, 135.3431606 34.7424775)",,
788757363,,市役所前線,tertiary,40,False,True,68.213,2,"LINESTRING (135.342638 34.7424597, 135.3426036 34.7430725)",,
788757363,,市役所前線,tertiary,40,False,False,55.757000000000005,2,"LINESTRING (135.342638 34.7424597, 135.3426621 34.7420673, 135.3426688 34.7419589)",,
532326732,,,unclassified,,False,True,8.992,,"LINESTRING (135.3347818 34.7386413, 135.3347934 34.738561)",,
"[61814472, 387215409, 387215398]",,,"['unclassified', 'residential']",,False,False,63.827,,"LINESTRING (135.3347818 34.7386413, 135.334774 34.7387039, 135.3347312 34.7389185, 135.3347023 34.7390955, 135.3346916 34.7392102)",,
