osmid,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,name
124625752,unclassified,False,False,115.23200000000001,"LINESTRING (127.7629722 26.2301176, 127.7637149 26.2300951, 127.7638843 26.23003, 127.7641113 26.2300123)",,,,
124627967,unclassified,False,False,237.945,"LINESTRING (127.7629722 26.2301176, 127.762983 26.2300757, 127.7629791 26.2300106, 127.7629239 26.2298144, 127.7628383 26.2295957, 127.7627036 26.2292092, 127.7625522 26.2288822, 127.7624398 26.2286219, 127.762437 26.2285297, 127.7624552 26.2284086, 127.7625025 26.228259, 127.7626114 26.2280967)",,,,
124628518,unclassified,False,False,54.632999999999996,"LINESTRING (127.7629722 26.2301176, 127.7627116 26.2304089, 127.7626263 26.2304985)",,,,
124625739,unclassified,False,False,64.634,"LINESTRING (127.7601511 26.2284083, 127.7600947 26.2283754, 127.7598535 26.2282785, 127.7596266 26.2282004, 127.7595566 26.2281806)",,,,
124626739,tertiary,False,True,59.551,"LINESTRING (127.7601511 26.2284083, 127.7601127 26.2284671, 127.7600792 26.2285376, 127.7600623 26.2285962, 127.7600351 26.2287637, 127.7600202 26.2289241)",2,30,,
124627280,tertiary,False,False,76.982,"LINESTRING (127.7601511 26.2284083, 127.7602193 26.2283536, 127.7603057 26.228302, 127.76058 26.228165, 127.760816 26.2280618)",,,,
124627304,unclassified,False,False,17.789,"LINESTRING (127.7596044 26.2290846, 127.759508 26.22895)",,,,
1018439155,residential,False,True,26.709,"LINESTRING (127.7596044 26.2290846, 127.7598139 26.228935)",,,,
124627304,unclassified,False,True,83.086,"LINESTRING (127.7596044 26.2290846, 127.7596498 26.2291355, 127.7597389 26.2292475, 127.7598159 26.2293518, 127.7599388 26.2295076, 127.7600158 26.2296098, 127.760038 26.2296296, 127.7601073 26.2296751)",,,,
124625627,unclassified,False,True,48.196,"LINESTRING (127.7563494 26.2281574, 127.7561522 26.2285531)",,,,
124626075,unclassified,False,True,47.952,"LINESTRING (127.7563494 26.2281574, 127.756489 26.2278809, 127.7565318 26.2277591)",,,,
124626075,unclassified,False,False,47.952,"LINESTRING (127.7565318 26.2277591, 127.756489 26.2278809, 127.7563494 26.2281574)",,,,
124628395,unclassified,False,True,107.927,"LINESTRING (127.7565318 26.2277591, 127.7566859 26.2274425, 127.7568031 26.2272677, 127.7569079 26.2271482, 127.7570294 26.2270408, 127.7570908 26.2269386)",,,,
315583527,residential,False,True,24.661,"LINESTRING (127.7565318 26.2277591, 127.7563642 26.2276953, 127.7563561 26.2276373)",,,,
124626028,tertiary,False,False,140.654,"LINESTRING (127.759457 26.2234298, 127.7582182 26.2237244, 127.758173 26.2237356, 127.7580945 26.2237555)",,,,
124628177,residential,False,True,24.582,"LINESTRING (127.756626 26.2264065, 127.7565189 26.2262074)",,,,
