osmid,bridge,highway,oneway,reversed,length,geometry,lanes,ref,name
164606827,yes,tertiary,False,True,23.677,"LINESTRING (134.3142372 34.4759124, 134.3140911 34.476088)",,,
164606827,yes,tertiary,False,False,23.677,"LINESTRING (134.3140911 34.476088, 134.3142372 34.4759124)",,,
"[164607286, 164606551]",yes,tertiary,False,True,107.60900000000001,"LINESTRING (134.3140911 34.476088, 134.3138053 34.4764649, 134.313518 34.4769315)",,,
164606527,,tertiary,False,False,90.569,"LINESTRING (134.311504 34.477026, 134.311853 34.477788)",,,
"[164606857, 164607202]",,"['unclassified', 'tertiary']",False,True,186.189,"LINESTRING (134.311504 34.477026, 134.310495 34.477449, 134.310529 34.477552, 134.310591 34.477691, 134.310806 34.478144)",,,
"[164606900, 164606710]",,tertiary,False,"[False, True]",165.736,"LINESTRING (134.311504 34.477026, 134.311582 34.476994, 134.3131346 34.477606)",,,
164607018,,tertiary,False,True,82.827,"LINESTRING (134.313518 34.4769315, 134.3131346 34.477606)",,,
"[164607286, 164606551]",yes,tertiary,False,False,107.60900000000001,"LINESTRING (134.313518 34.4769315, 134.3138053 34.4764649, 134.3140911 34.476088)",,,
164607037,,unclassified,False,False,79.637,"LINESTRING (134.309162 34.477404, 134.309155 34.477511, 134.3090838 34.4781172)",,,
164607207,,unclassified,False,False,303.449,"LINESTRING (134.309162 34.477404, 134.308181 34.477316, 134.306792 34.477193, 134.3070876 34.477917)",,,
164607242,,unclassified,False,True,182.24,"LINESTRING (134.309162 34.477404, 134.310089 34.477488, 134.310162 34.477536, 134.310502 34.478278)",,,
164607018,,tertiary,False,False,82.827,"LINESTRING (134.3131346 34.477606, 134.313518 34.4769315)",,,
"[164606900, 164606710]",,tertiary,False,"[False, True]",165.736,"LINESTRING (134.3131346 34.477606, 134.311582 34.476994, 134.311504 34.477026)",,,
164607216,,unclassified,False,True,107.021,"LINESTRING (134.3131346 34.477606, 134.313357 34.478069, 134.313483 34.478346, 134.3135664 34.4785)",,,
164606527,,tertiary,False,True,90.569,"LINESTRING (134.311853 34.477788, 134.311504 34.477026)",,,
164606818,,tertiary,False,False,125.543,"LINESTRING (134.311853 34.477788, 134.312336 34.4788445)",,,
164606880,,unclassified,False,True,103.815,"LINESTRING (134.311853 34.477788, 134.310806 34.478144)",,,
164607240,,unclassified,False,False,26.278,"LINESTRING (134.3060209 34.478682, 134.3060534 34.4784472)",,,
164607577,,trunk,False,False,47.355,"LINESTRING (134.3060209 34.478682, 134.3055096 34.478621)",2,436,国道436号
164607577,,trunk,False,True,4.128,"LINESTRING (134.3060209 34.478682, 134.3060653 34.4786882)",2,436,国道436号
164607240,,unclassified,False,True,114.414,"LINESTRING (134.3067485 34.4779855, 134.3061299 34.4779346, 134.3060985 34.4781447, 134.3060534 34.4784472)",,,
194011845,,unclassified,False,True,184.327,"LINESTRING (134.3070876 34.477917, 134.3090838 34.4781172)",,,
194011857,,unclassified,False,True,77.817,"LINESTRING (134.3070876 34.477917, 134.3073926 34.4785701)",,,
164607207,,unclassified,False,True,303.44899999999996,"LINESTRING (134.3070876 34.477917, 134.306792 34.477193, 134.308181 34.477316, 134.309162 34.477404)",,,
194011845,,unclassified,False,False,184.327,"LINESTRING (134.3090838 34.4781172, 134.3070876 34.477917)",,,
164607037,,unclassified,False,True,79.637,"LINESTRING (134.3090838 34.4781172, 134.309155 34.477511, 134.309162 34.477404)",,,
164607211,,unclassified,False,True,131.221,"LINESTRING (134.3090838 34.4781172, 134.309549 34.478171, 134.310134 34.478238, 134.310502 34.478278)",,,
1186235244,,unclassified,False,True,99.60000000000001,"LINESTRING (134.3090838 34.4781172, 134.3090215 34.478589, 134.3090147 34.4787125, 134.3090385 34.4788051, 134.3091179 34.4789971)",,,
164606868,,unclassified,False,True,115.539,"LINESTRING (134.310806 34.478144, 134.3112515 34.479116)",,,
164606880,,unclassified,False,False,103.815,"LINESTRING (134.310806 34.478144, 134.311853 34.477788)",,,
"[164606857, 164607202]",,"['unclassified', 'tertiary']",False,False,186.18900000000002,"LINESTRING (134.310806 34.478144, 134.310591 34.477691, 134.310529 34.477552, 134.310495 34.477449, 134.311504 34.477026)",,,
