osmid,lanes,highway,oneway,reversed,length,geometry,ref,name,maxspeed,tunnel
109826971,2,tertiary,False,True,64.396,"LINESTRING (135.5658267 34.4543645, 135.566529 34.4543704)",,,,
109826971,2,tertiary,False,False,135.67,"LINESTRING (135.5658267 34.4543645, 135.565747 34.4543561, 135.5643589 34.4542102)",,,,
144102992,,unclassified,True,False,126.517,"LINESTRING (135.5658267 34.4543645, 135.5658255 34.4544277, 135.565817 34.454574, 135.5657828 34.4555017)",,,,
109826971,2,tertiary,False,False,36.445,"LINESTRING (135.5613929 34.4544216, 135.5612536 34.4544534, 135.5611538 34.4544797, 135.5610196 34.4545315)",,,,
109826971,2,tertiary,False,True,84.726,"LINESTRING (135.5613929 34.4544216, 135.5619978 34.454381, 135.5620499 34.4543736, 135.5623118 34.4543443)",,,,
144103958,2,tertiary,False,True,62.006,"LINESTRING (135.5613929 34.4544216, 135.5614577 34.4544925, 135.561812 34.4548592)",,,,
109826971,2,tertiary,False,False,55.854,"LINESTRING (135.5694726 34.4543796, 135.5693148 34.4543827, 135.5688635 34.4543792)",,,,
957420443,2,trunk,False,False,58.885000000000005,"LINESTRING (135.5694726 34.4543796, 135.5694849 34.4542815, 135.5695388 34.4539317, 135.5695508 34.453854)",310,国道310号,40,
957420443,2,trunk,False,True,161.011,"LINESTRING (135.5694726 34.4543796, 135.5694426 34.454488, 135.5692126 34.4558113)",310,国道310号,40,
109826947,2,tertiary,False,False,115.042,"LINESTRING (135.5594026 34.4574604, 135.5594636 34.4576227, 135.559563 34.4579734, 135.5597022 34.4584647)",,,40,
109826971,2,tertiary,False,True,113.09700000000001,"LINESTRING (135.5594026 34.4574604, 135.5602055 34.4574702, 135.5603493 34.4574372, 135.5604564 34.4573672, 135.5605381 34.4572688)",,,,
109826971,2,tertiary,False,False,76.637,"LINESTRING (135.5643589 34.4542102, 135.5635251 34.4542583)",,,,
109826971,2,tertiary,False,True,135.67,"LINESTRING (135.5643589 34.4542102, 135.565747 34.4543561, 135.5658267 34.4543645)",,,,
144104731,2,tertiary,False,True,114.295,"LINESTRING (135.5643589 34.4542102, 135.5643747 34.4542667, 135.5644322 34.4547511, 135.5645803 34.4552186)",,,,
109826971,2,tertiary,False,False,64.396,"LINESTRING (135.566529 34.4543704, 135.5658267 34.4543645)",,,,
109826971,2,tertiary,False,True,157.326,"LINESTRING (135.566529 34.4543704, 135.567196 34.4543782, 135.5682448 34.4543788)",,,,
109830982,2,tertiary,False,False,49.879000000000005,"LINESTRING (135.5695508 34.453854, 135.5694504 34.4538386, 135.5690188 34.4537605)",,,,
957420443,2,trunk,False,False,46.671,"LINESTRING (135.5695508 34.453854, 135.5695587 34.4537921, 135.5696199 34.4534382)",310,国道310号,40,
957420443,2,trunk,False,True,58.885000000000005,"LINESTRING (135.5695508 34.453854, 135.5695388 34.4539317, 135.5694849 34.4542815, 135.5694726 34.4543796)",310,国道310号,40,
109830982,2,tertiary,False,False,64.656,"LINESTRING (135.5690188 34.4537605, 135.5689381 34.453749, 135.5688228 34.453707, 135.5683699 34.4535378)",,,,
109830982,2,tertiary,False,True,49.879000000000005,"LINESTRING (135.5690188 34.4537605, 135.5694504 34.4538386, 135.5695508 34.453854)",,,,
144103270,,unclassified,False,True,41.834,"LINESTRING (135.5690188 34.4537605, 135.5690244 34.4537289, 135.5690765 34.4533873)",,,,
144101596,,unclassified,False,False,58.008,"LINESTRING (135.5598513 34.4531967, 135.5593759 34.4535409)",,,,
144102579,2,tertiary,False,False,66.934,"LINESTRING (135.5598513 34.4531967, 135.5602658 34.4536922)",,,,
144102458,2,tertiary,False,True,76.089,"LINESTRING (135.5610244 34.4534148, 135.5602658 34.4536922)",,,,
144102458,2,tertiary,False,False,26.393,"LINESTRING (135.5610244 34.4534148, 135.5611852 34.4532917, 135.5612342 34.4532523)",,,,
