osmid,highway,oneway,reversed,length,bridge,geometry,lanes,ref,name,tunnel
"[117890464, 1118646306, 117891408, 117891581]",unclassified,False,True,113.07300000000001,yes,"LINESTRING (133.3068905 35.1659762, 133.3070187 35.165955, 133.307146 35.1659339, 133.3072623 35.1659252, 133.3073644 35.1659362, 133.3074515 35.1659499, 133.3074844 35.1659541, 133.3075249 35.1659593, 133.3080612 35.1659809, 133.3081242 35.1659875)",,,,
117891257,primary,False,False,82.714,,"LINESTRING (133.3068905 35.1659762, 133.3067951 35.1658602, 133.3063826 35.165359)",2,8,新見日南線,
"[117891257, 117891652, 808611654]",primary,False,True,113.827,yes,"LINESTRING (133.3068905 35.1659762, 133.306995 35.1661122, 133.3072435 35.1664378, 133.3073507 35.1665728, 133.3075393 35.1667923, 133.307574 35.1668336)",2,8,新見日南線,
117891411,residential,False,False,21.197,,"LINESTRING (133.3037529 35.1607561, 133.3035373 35.1606835)",,,,
117891083,residential,False,False,102.342,,"LINESTRING (133.3037529 35.1607561, 133.3037712 35.1608952, 133.3037664 35.1610998, 133.303661 35.1613586, 133.3036476 35.161466, 133.3035967 35.1615409, 133.3034973 35.1616142)",,,,
117891246,residential,False,True,151.21,,"LINESTRING (133.3037529 35.1607561, 133.304065 35.1608066, 133.3042082 35.1608498, 133.3043308 35.1608966, 133.3044282 35.1609485, 133.3045504 35.1610748, 133.3047242 35.1612858, 133.3049883 35.1615662)",,,,
117890750,residential,False,False,32.96,,"LINESTRING (133.3076014 35.1625838, 133.3078873 35.1624015)",,,,
117890750,residential,False,True,7.207,,"LINESTRING (133.3076014 35.1625838, 133.3075339 35.1626178)",,,,
117891786,residential,False,True,120.377,,"LINESTRING (133.3076014 35.1625838, 133.3080391 35.1629501, 133.308506 35.1633741)",,,,
117890509,tertiary,False,True,47.828,,"LINESTRING (133.3037424 35.1602874, 133.3035373 35.1606835)",,,,
117890581,tertiary,False,False,7.277,,"LINESTRING (133.3037424 35.1602874, 133.3037752 35.1602277)",,,,
117891154,residential,False,False,114.965,,"LINESTRING (133.3037424 35.1602874, 133.3025065 35.1600682)",,,,
117890750,residential,False,True,162.634,,"LINESTRING (133.3037424 35.1602874, 133.304247 35.1603982, 133.3048685 35.1605724, 133.3052918 35.1606958, 133.3054423 35.1607405)",,,,
117890770,residential,False,False,108.934,,"LINESTRING (133.302394 35.1610434, 133.302485 35.160195, 133.3025065 35.1600682)",,,,
117891765,residential,False,False,51.819,,"LINESTRING (133.302394 35.1610434, 133.3023975 35.1611818, 133.3023852 35.1613802, 133.302348 35.1615055)",,,,
117891938,residential,False,True,142.123,,"LINESTRING (133.302394 35.1610434, 133.3015684 35.1610122, 133.3010262 35.1609883, 133.3009606 35.1611375)",,,,
580002652,residential,False,False,84.292,,"LINESTRING (133.302394 35.1610434, 133.3028671 35.1610633, 133.3033125 35.1611331)",,,,
117891811,motorway_link,True,False,218.10500000000002,,"LINESTRING (133.3061263 35.1607283, 133.3058095 35.1605692, 133.3054556 35.1604072, 133.3052434 35.1603177, 133.3048907 35.1602069, 133.3039493 35.1599188)",,183,国道183号,
"[581119858, 117890708, 581119861]",motorway,True,False,497.32000000000005,yes,"LINESTRING (133.3061263 35.1607283, 133.3052386 35.1604112, 133.3048182 35.1602985, 133.3040523 35.1600834, 133.3037768 35.160015, 133.3026617 35.1597878, 133.3019898 35.1596441, 133.3008943 35.1594616)",,183,国道183号,
117891786,residential,False,False,52.153999999999996,,"LINESTRING (133.3088411 35.1639079, 133.3087452 35.1637537, 133.3086647 35.163621, 133.308574 35.163493)",,,,
117891484,tertiary,False,False,20.958,,"LINESTRING (133.3032345 35.1617316, 133.303267 35.161545)",,,,
117890582,primary,False,False,84.424,,"LINESTRING (133.3032345 35.1617316, 133.3030565 35.1616901, 133.302348 35.1615055)",2,8,新見日南線,
"[117891257, 117890806, 117890582]",primary,False,True,118.484,yes,"LINESTRING (133.3032345 35.1617316, 133.3033711 35.1617735, 133.3034889 35.1618238, 133.303538 35.1618504, 133.3036602 35.1619167, 133.303815 35.1620416, 133.3039099 35.1621509, 133.3039778 35.1622443, 133.3040312 35.1623344, 133.3040948 35.1624415, 133.3041108 35.1624684)",2,8,新見日南線,
117891786,residential,False,True,14.595,,"LINESTRING (133.308506 35.1633741, 133.308574 35.163493)",,,,
117891786,residential,False,False,120.377,,"LINESTRING (133.308506 35.1633741, 133.3080391 35.1629501, 133.3076014 35.1625838)",,,,
584339087,unclassified,False,False,179.20299999999997,,"LINESTRING (133.308506 35.1633741, 133.3088749 35.1630961, 133.3089371 35.1630205, 133.3089417 35.1629556, 133.3085995 35.1626864, 133.30846 35.1626249, 133.3083014 35.1626075, 133.3080627 35.1624785, 133.3078873 35.1624015)",,,,
117891257,primary,False,False,18.353,,"LINESTRING (133.3063826 35.165359, 133.3062614 35.165227)",2,8,新見日南線,
117891257,primary,False,True,82.714,,"LINESTRING (133.3063826 35.165359, 133.3067951 35.1658602, 133.3068905 35.1659762)",2,8,新見日南線,
117891989,unclassified,False,True,263.674,,"LINESTRING (133.3063826 35.165359, 133.3064729 35.165313, 133.3066529 35.1652213, 133.3068691 35.1651051, 133.30695 35.1650663, 133.3068087 35.1648617, 133.306577 35.1645796, 133.3063062 35.1642557, 133.3062363 35.164171, 133.3061246 35.1640356, 133.3059571 35.1638327, 133.3058688 35.1637257, 133.3058295 35.1636782, 133.3057208 35.1635464)",,,,
117891083,residential,False,True,102.342,,"LINESTRING (133.3034973 35.1616142, 133.3035967 35.1615409, 133.3036476 35.161466, 133.303661 35.1613586, 133.3037664 35.1610998, 133.3037712 35.1608952, 133.3037529 35.1607561)",,,,
"[777937828, 117890659, 117891212]",unclassified,False,False,123.59700000000001,yes,"LINESTRING (133.3034973 35.1616142, 133.3036612 35.1618054, 133.3038299 35.1618994, 133.3039132 35.1619134, 133.3040466 35.1619283, 133.3042765 35.1619492, 133.3046922 35.1619913)",,,,
580002651,unclassified,False,True,23.005,,"LINESTRING (133.3034973 35.1616142, 133.3034453 35.1615873, 133.3033745 35.1615508, 133.3033137 35.1615494, 133.303267 35.161545)",,,,
117890509,tertiary,False,False,47.828,,"LINESTRING (133.3035373 35.1606835, 133.3037424 35.1602874)",,,,
117891411,residential,False,True,21.197,,"LINESTRING (133.3035373 35.1606835, 133.3037529 35.1607561)",,,,
117891484,tertiary,False,True,54.291,,"LINESTRING (133.3035373 35.1606835, 133.3034317 35.1608358, 133.3033687 35.1609705, 133.3033125 35.1611331)",,,,
117890750,residential,False,True,32.96,,"LINESTRING (133.3078873 35.1624015, 133.3076014 35.1625838)",,,,
117890750,residential,False,False,92.644,,"LINESTRING (133.3078873 35.1624015, 133.3078851 35.1623233, 133.3077226 35.1620511, 133.3076036 35.1619074, 133.3073238 35.1617485)",,,,
584339087,unclassified,False,True,179.20299999999997,,"LINESTRING (133.3078873 35.1624015, 133.3080627 35.1624785, 133.3083014 35.1626075, 133.30846 35.1626249, 133.3085995 35.1626864, 133.3089417 35.1629556, 133.3089371 35.1630205, 133.3088749 35.1630961, 133.308506 35.1633741)",,,,
"[117891408, 1118646306, 117891581, 117890464]",unclassified,False,False,113.073,yes,"LINESTRING (133.3081242 35.1659875, 133.3080612 35.1659809, 133.3075249 35.1659593, 133.3074844 35.1659541, 133.3074515 35.1659499, 133.3073644 35.1659362, 133.3072623 35.1659252, 133.307146 35.1659339, 133.3070187 35.165955, 133.3068905 35.1659762)",,,,
117891889,unclassified,False,True,233.324,,"LINESTRING (133.3081242 35.1659875, 133.3081189 35.1654919, 133.3081884 35.1650472, 133.3082125 35.1648944, 133.3081779 35.1646652, 133.3081193 35.1645179, 133.3079994 35.1642211, 133.3079251 35.16406, 133.3078861 35.1639342)",,,,
117890582,primary,False,True,132.595,,"LINESTRING (133.3009606 35.1611375, 133.302348 35.1615055)",2,8,新見日南線,
117891938,residential,False,False,142.123,,"LINESTRING (133.3009606 35.1611375, 133.3010262 35.1609883, 133.3015684 35.1610122, 133.302394 35.1610434)",,,,
117891246,residential,False,False,74.398,,"LINESTRING (133.3054443 35.1610106, 133.3049883 35.1615662)",,,,
117891246,residential,False,True,177.177,,"LINESTRING (133.3054443 35.1610106, 133.3057378 35.1611672, 133.306268 35.1614535, 133.3066716 35.1616777, 133.3069928 35.1618777, 133.307034 35.1619254)",,,,
579874758,residential,False,False,30.880000000000003,,"LINESTRING (133.3054443 35.1610106, 133.3054045 35.1608981, 133.3054423 35.1607405)",,,,
117891154,residential,False,True,114.965,,"LINESTRING (133.3025065 35.1600682, 133.3037424 35.1602874)",,,,
117890770,residential,False,True,108.934,,"LINESTRING (133.3025065 35.1600682, 133.302485 35.160195, 133.302394 35.1610434)",,,,
117890659,unclassified,False,True,72.884,,"LINESTRING (133.3072482 35.1627885, 133.3071897 35.1627064, 133.3070657 35.1625882, 133.3068423 35.162404, 133.3066938 35.1623241)",,,,
117891625,residential,False,True,32.188,,"LINESTRING (133.3072482 35.1627885, 133.30744 35.162668, 133.3075339 35.1626178)",,,,
117891889,unclassified,False,False,141.553,,"LINESTRING (133.3072482 35.1627885, 133.3073319 35.1628782, 133.3074914 35.1630771, 133.3076066 35.1632224, 133.3077224 35.1634456, 133.3078119 35.1636882, 133.3078861 35.1639342)",,,,
117891246,residential,False,True,74.398,,"LINESTRING (133.3049883 35.1615662, 133.3054443 35.1610106)",,,,
579874757,residential,False,False,54.396,,"LINESTRING (133.3049883 35.1615662, 133.3046922 35.1619913)",,,,
117891246,residential,False,False,151.21,,"LINESTRING (133.3049883 35.1615662, 133.3047242 35.1612858, 133.3045504 35.1610748, 133.3044282 35.1609485, 133.3043308 35.1608966, 133.3042082 35.1608498, 133.304065 35.1608066, 133.3037529 35.1607561)",,,,
117890582,primary,False,False,132.595,,"LINESTRING (133.302348 35.1615055, 133.3009606 35.1611375)",2,8,新見日南線,
117890582,primary,False,True,84.424,,"LINESTRING (133.302348 35.1615055, 133.3030565 35.1616901, 133.3032345 35.1617316)",2,8,新見日南線,
117891765,residential,False,True,51.819,,"LINESTRING (133.302348 35.1615055, 133.3023852 35.1613802, 133.3023975 35.1611818, 133.302394 35.1610434)",,,,
117891257,primary,False,False,53.212,,"LINESTRING (133.3051649 35.1638578, 133.3050666 35.1637455, 133.3050066 35.163678, 133.3048303 35.1634652)",2,8,新見日南線,
117891257,primary,False,True,39.168,,"LINESTRING (133.3051649 35.1638578, 133.3052523 35.1639707, 133.3053954 35.1641554)",2,8,新見日南線,
579874746,tertiary,False,False,61.258,,"LINESTRING (133.3051649 35.1638578, 133.3052597 35.1638041, 133.3057208 35.1635464)",,,,
117891989,unclassified,False,False,263.6740000000001,,"LINESTRING (133.3057208 35.1635464, 133.3058295 35.1636782, 133.3058688 35.1637257, 133.3059571 35.1638327, 133.3061246 35.1640356, 133.3062363 35.164171, 133.3063062 35.1642557, 133.306577 35.1645796, 133.3068087 35.1648617, 133.30695 35.1650663, 133.3068691 35.1651051, 133.3066529 35.1652213, 133.3064729 35.165313, 133.3063826 35.165359)",,,,
"[579874748, 117891989]","['unclassified', 'residential']",False,"[False, True]",65.792,,"LINESTRING (133.3057208 35.1635464, 133.3056333 35.1634298, 133.3055773 35.1633551, 133.3055469 35.1633147, 133.3055231 35.1632861, 133.3053271 35.1630501)",,,,
579874746,tertiary,False,True,61.258,,"LINESTRING (133.3057208 35.1635464, 133.3052597 35.1638041, 133.3051649 35.1638578)",,,,
579874748,residential,False,False,31.079,,"LINESTRING (133.3053271 35.1630501, 133.3056169 35.1629018)",,,,
579874748,residential,False,True,190.462,,"LINESTRING (133.3053271 35.1630501, 133.3049222 35.1631968, 133.3046371 35.1627546, 133.3055698 35.1628259, 133.3056169 35.1629018)",,,,
"[579874748, 117891989]","['residential', 'unclassified']",False,"[False, True]",65.792,,"LINESTRING (133.3053271 35.1630501, 133.3055231 35.1632861, 133.3055469 35.1633147, 133.3055773 35.1633551, 133.3056333 35.1634298, 133.3057208 35.1635464)",,,,
579874748,residential,False,True,31.079,,"LINESTRING (133.3056169 35.1629018, 133.3053271 35.1630501)",,,,
579874748,residential,False,False,190.462,,"LINESTRING (133.3056169 35.1629018, 133.3055698 35.1628259, 133.3046371 35.1627546, 133.3049222 35.1631968, 133.3053271 35.1630501)",,,,
579874749,residential,False,False,40.068000000000005,,"LINESTRING (133.3056169 35.1629018, 133.3058512 35.1626757, 133.3058982 35.1626245)",,,,
117891257,primary,False,True,18.353,,"LINESTRING (133.3062614 35.165227, 133.3063826 35.165359)",2,8,新見日南線,
579874750,residential,False,False,5.836,,"LINESTRING (133.3062614 35.165227, 133.3062017 35.1652463)",,,,
117891257,primary,False,False,142.812,,"LINESTRING (133.3062614 35.165227, 133.3058363 35.1646981, 133.3053954 35.1641554)",2,8,新見日南線,
579874750,residential,False,False,67.16,,"LINESTRING (133.3055357 35.1653578, 133.305662 35.1658187, 133.3056304 35.1659478)",,,,
