osmid,lanes,highway,oneway,reversed,length,geometry,ref,name,access,maxspeed,bridge
95400020,2,tertiary,False,False,80.884,"LINESTRING (137.3814457 34.8241836, 137.3815054 34.8243096, 137.3818309 34.8248381)",,,,,
131404866,1,unclassified,False,True,57.732,"LINESTRING (137.3814457 34.8241836, 137.3814147 34.8241106, 137.3812631 34.8236866)",,,,,
1085584541,2,primary,False,False,60.910000000000004,"LINESTRING (137.3814457 34.8241836, 137.3815729 34.8241456, 137.3820807 34.8240156)",5,姫街道,,,
1085584542,2,primary,False,True,32.627,"LINESTRING (137.3814457 34.8241836, 137.3813137 34.824223, 137.3811098 34.8242839)",5,姫街道,,,
75040069,2,unclassified,False,False,385.846,"LINESTRING (137.3803131 34.8291648, 137.3803145 34.8290617, 137.3803306 34.8278473, 137.3803421 34.8269833, 137.3803429 34.8269265, 137.3803475 34.8265777, 137.3803515 34.8262826, 137.3803524 34.8262141, 137.3803554 34.8259866, 137.3803586 34.8257442, 137.3803593 34.825695)",,,yes,,
386727534,2,tertiary,False,True,235.094,"LINESTRING (137.3803131 34.8291648, 137.3802122 34.8291606, 137.3778589 34.8291297, 137.3777379 34.8291281)",,,,,
"[89248793, 1084154499]",4,primary,False,False,54.298,"LINESTRING (137.3799603 34.8245764, 137.3800755 34.8245465, 137.3805295 34.8244346)",5,姫街道,yes,50,
89248793,4,primary,False,True,114.92999999999999,"LINESTRING (137.3799603 34.8245764, 137.3798452 34.8246064, 137.3791908 34.8247741, 137.3787586 34.8248849)",5,姫街道,yes,50,
89419405,1,unclassified,False,True,57.754999999999995,"LINESTRING (137.3799603 34.8245764, 137.3799918 34.8246622, 137.3801417 34.825074)",,,yes,,
89248793,4,primary,False,False,55.625,"LINESTRING (137.3744976 34.8259519, 137.374575 34.825933, 137.3750816 34.825809)",5,姫街道,yes,50,
89248793,4,primary,False,True,86.213,"LINESTRING (137.3744976 34.8259519, 137.3743559 34.8259861, 137.3735932 34.8261754)",5,姫街道,yes,50,
381714802,1,unclassified,False,True,57.277,"LINESTRING (137.3744976 34.8259519, 137.3745028 34.8260575, 137.3744983 34.8264669)",,,yes,,
75040074,,unclassified,False,True,55.866,"LINESTRING (137.3766668 34.8254234, 137.3767182 34.8255291, 137.3767134 34.8256804, 137.3767132 34.8258679, 137.3767034 34.825917)",,,yes,,
