osmid,oneway,lanes,ref,highway,reversed,length,geometry,maxspeed
173299841,False,2,N9,primary,False,73.65899999999999,"LINESTRING (-16.4526849 14.6928261, -16.452705 14.6927016, -16.4527519 14.6921671)",
173299841,False,2,N9,primary,True,116.848,"LINESTRING (-16.4526849 14.6928261, -16.4526425 14.6930673, -16.4526062 14.6933172, -16.4525759 14.6935421, -16.4525454 14.6937556, -16.4525301 14.6938661)",
362625565,False,2,N 3,primary,False,42.259,"LINESTRING (-16.4526849 14.6928261, -16.4524636 14.6928339, -16.4522946 14.6928618)",50
362964886,False,2,N 3,primary,True,103.119,"LINESTRING (-16.4526849 14.6928261, -16.452823 14.6928404, -16.4529544 14.6928599, -16.453165 14.6929001, -16.4536267 14.692996)",90
363001181,False,,,residential,False,75.223,"LINESTRING (-16.4538081 14.6921883, -16.4531247 14.6920446)",
639550156,False,,,residential,True,91.907,"LINESTRING (-16.4538081 14.6921883, -16.4536267 14.692996)",
639550156,False,,,residential,False,91.907,"LINESTRING (-16.4536267 14.692996, -16.4538081 14.6921883)",
362964886,False,2,N 3,primary,False,103.119,"LINESTRING (-16.4536267 14.692996, -16.453165 14.6929001, -16.4529544 14.6928599, -16.452823 14.6928404, -16.4526849 14.6928261)",90
214366131,False,2,,residential,False,66.9,"LINESTRING (-16.4500427 14.6945572, -16.4499129 14.6951456)",
214366131,False,2,,residential,True,131.718,"LINESTRING (-16.4500427 14.6945572, -16.4502982 14.6933987)",
638165826,False,2,,residential,False,46.569,"LINESTRING (-16.4500427 14.6945572, -16.4496196 14.6944683)",
638165826,False,2,,residential,True,63.249,"LINESTRING (-16.4500427 14.6945572, -16.4506236 14.6946456)",
178240345,False,2,,residential,False,70.671,"LINESTRING (-16.4506236 14.6946456, -16.450518 14.6952729)",
638165826,False,2,,residential,False,63.249,"LINESTRING (-16.4506236 14.6946456, -16.4500427 14.6945572)",
638165826,False,2,,residential,True,58.491,"LINESTRING (-16.4506236 14.6946456, -16.4511546 14.6947591)",
"[178240345, 639658991]",False,2,,residential,True,149.392,"LINESTRING (-16.4506236 14.6946456, -16.4507444 14.6940945, -16.4508205 14.6938439, -16.4512492 14.6939404, -16.4513394 14.6939732)",
178240344,False,2,,residential,False,70.366,"LINESTRING (-16.4511546 14.6947591, -16.4510206 14.6953785)",
638165826,False,2,,residential,False,58.491,"LINESTRING (-16.4511546 14.6947591, -16.4506236 14.6946456)",
