osmid,highway,oneway,reversed,length,geometry,maxspeed,lanes
544171533,unclassified,False,False,90.138,"LINESTRING (-12.8176238 12.6321563, -12.8183426 12.6317499)",,
544170257,primary,False,True,101.243,"LINESTRING (-12.8176238 12.6321563, -12.8173838 12.6323379, -12.817144 12.6324945, -12.8170303 12.6325688, -12.8168646 12.6326849)",,
1118330100,primary,False,False,366.524,"LINESTRING (-12.8176238 12.6321563, -12.8177163 12.6323531, -12.8178878 12.6326529, -12.8180647 12.6329337, -12.8181092 12.6330043, -12.8182957 12.6333163, -12.8183869 12.6335728, -12.8184888 12.6344522, -12.8185719 12.6352543)",,
544170684,secondary,False,False,61.75,"LINESTRING (-12.8185719 12.6352543, -12.8187262 12.635308, -12.8188951 12.6353407, -12.8191267 12.6353665)",,
544326900,unclassified,False,False,111.715,"LINESTRING (-12.8185719 12.6352543, -12.8187161 12.6356559, -12.818812 12.6358406, -12.8188643 12.6359361, -12.8188878 12.6361139, -12.8188927 12.6361983)",,
1118330100,primary,False,True,366.524,"LINESTRING (-12.8185719 12.6352543, -12.8184888 12.6344522, -12.8183869 12.6335728, -12.8182957 12.6333163, -12.8181092 12.6330043, -12.8180647 12.6329337, -12.8178878 12.6326529, -12.8177163 12.6323531, -12.8176238 12.6321563)",,
544170684,secondary,False,True,5.82,"LINESTRING (-12.8206868 12.6351413, -12.8206332 12.6351392)",,
552419510,residential,False,False,164.03,"LINESTRING (-12.8206868 12.6351413, -12.820629 12.6349394, -12.8205598 12.634703, -12.82049 12.634528, -12.820479 12.6345003, -12.8204098 12.6342939, -12.8203598 12.6340913, -12.8203521 12.6338323, -12.8203389 12.6337155)",,
544171533,unclassified,False,True,156.328,"LINESTRING (-12.8194583 12.6308987, -12.8194422 12.6309759, -12.819402 12.6310322, -12.8184632 12.6316708, -12.8183426 12.6317499)",,
552419503,unclassified,False,False,102.769,"LINESTRING (-12.8194583 12.6308987, -12.8193832 12.6308057, -12.8192898 12.6306895, -12.8191521 12.6305573, -12.8190166 12.6304867, -12.8188368 12.6303956, -12.8187323 12.6303285)",,
552419504,residential,False,False,271.03599999999994,"LINESTRING (-12.8194583 12.6308987, -12.8195462 12.6308751, -12.8195881 12.6308372, -12.8195883 12.6307561, -12.8196064 12.6306419, -12.8196598 12.630395, -12.8197044 12.6301982, -12.8197222 12.6299223, -12.8197203 12.6293706, -12.8197035 12.6291428, -12.8197005 12.6291024, -12.8196392 12.6289577, -12.8196358 12.6288956, -12.8196321 12.6288274, -12.8196273 12.6287377, -12.8195898 12.6286586, -12.8195107 12.6286336)",40,
544170257,primary,False,False,101.243,"LINESTRING (-12.8168646 12.6326849, -12.8170303 12.6325688, -12.817144 12.6324945, -12.8173838 12.6323379, -12.8176238 12.6321563)",,
544170257,primary,False,True,335.756,"LINESTRING (-12.8168646 12.6326849, -12.8167542 12.6327622, -12.8166191 12.6328555, -12.816471 12.6329579, -12.8161958 12.6331181, -12.8155871 12.6334416, -12.8152971 12.6336131, -12.8152426 12.63366, -12.8149769 12.6338926, -12.8146251 12.634176, -12.8144601 12.6343213, -12.8143421 12.6344129)",,
