osmid,oneway,lanes,highway,reversed,length,access,geometry
187161482,False,2,secondary,True,43.304,,"LINESTRING (-15.9699127 15.9306725, -15.9697679 15.9303088)"
360989181,False,,residential,True,183.01199999999997,yes,"LINESTRING (-15.9699127 15.9306725, -15.9701462 15.9305827, -15.9706272 15.9304316, -15.9709246 15.9303317, -15.9710175 15.9302679, -15.9709565 15.9301031, -15.9708153 15.9299498, -15.9707014 15.9298895)"
187161482,False,2,secondary,False,63.023,,"LINESTRING (-15.9664765 15.9254204, -15.9668059 15.9258904)"
187161482,False,2,secondary,True,10.17,,"LINESTRING (-15.9664765 15.9254204, -15.9664265 15.9253426)"
187161482,False,2,secondary,False,51.157,,"LINESTRING (-15.9654026 15.9238503, -15.9656661 15.9242343)"
187161482,False,2,secondary,True,33.412,,"LINESTRING (-15.9654026 15.9238503, -15.9651891 15.9236309)"
360989215,False,,residential,True,31.219,yes,"LINESTRING (-15.9654026 15.9238503, -15.9652825 15.9235944)"
187161482,False,2,secondary,True,56.406,,"LINESTRING (-15.9693672 15.9295798, -15.9690743 15.9291579)"
360989185,False,,residential,True,90.359,yes,"LINESTRING (-15.9693672 15.9295798, -15.9701056 15.9291846)"
187161482,False,2,secondary,False,91.74799999999999,,"LINESTRING (-15.9693672 15.9295798, -15.9696525 15.930069, -15.9697679 15.9303088)"
360989176,False,,residential,False,78.194,yes,"LINESTRING (-15.9678811 15.9260266, -15.9674579 15.9254531)"
360989189,False,,residential,False,33.248,yes,"LINESTRING (-15.9678811 15.9260266, -15.9676308 15.926204)"
360989189,False,,residential,True,68.835,yes,"LINESTRING (-15.9678811 15.9260266, -15.9683993 15.9256593)"
360989195,False,,residential,False,74.322,yes,"LINESTRING (-15.9675599 15.9245701, -15.9679705 15.9251094)"
360989195,False,,residential,True,70.245,yes,"LINESTRING (-15.9675599 15.9245701, -15.9671718 15.9240604)"
360989214,False,,residential,True,66.421,yes,"LINESTRING (-15.9675599 15.9245701, -15.9670371 15.9248927)"
360989214,False,,residential,False,69.914,yes,"LINESTRING (-15.9675599 15.9245701, -15.9677989 15.9243975, -15.9681111 15.9242351)"
360989176,False,,residential,False,76.861,yes,"LINESTRING (-15.9674579 15.9254531, -15.9670371 15.9248927)"
360989176,False,,residential,True,78.194,yes,"LINESTRING (-15.9674579 15.9254531, -15.9678811 15.9260266)"
360989209,False,,residential,False,84.999,yes,"LINESTRING (-15.9674579 15.9254531, -15.9668059 15.9258904)"
360989209,False,,residential,True,66.819,yes,"LINESTRING (-15.9674579 15.9254531, -15.9679705 15.9251094)"
360989181,False,,residential,False,68.705,yes,"LINESTRING (-15.9684748 15.9272141, -15.9688936 15.9276827)"
360989181,False,,residential,True,68.624,yes,"LINESTRING (-15.9684748 15.9272141, -15.9680778 15.9267292)"
360989203,False,,residential,False,102.659,yes,"LINESTRING (-15.9684748 15.9272141, -15.9692429 15.9266602)"
360989203,False,,residential,True,66.694,yes,"LINESTRING (-15.9684748 15.9272141, -15.9679509 15.9275396)"
360989199,False,,residential,False,61.321,yes,"LINESTRING (-15.9676023 15.9270375, -15.9680778 15.9267292)"
187161482,False,2,secondary,False,67.13,,"LINESTRING (-15.9676023 15.9270375, -15.9677626 15.9272683, -15.9679509 15.9275396)"
187161482,False,2,secondary,True,72.86699999999999,,"LINESTRING (-15.9676023 15.9270375, -15.9674564 15.9268273, -15.9672239 15.9264925)"
360989174,False,,residential,False,76.523,yes,"LINESTRING (-15.9652825 15.9235944, -15.965862 15.9231906)"
