osmid,oneway,lanes,ref,name,highway,maxspeed,access,reversed,length,geometry,junction,bridge
19958791,True,2,E99;S110,شارع الشيخ خالد بن محمد القاسمي,trunk,60,yes,False,29.322,"LINESTRING (56.3509511 25.3521771, 56.3508302 25.3519371)",,
1156610675,True,,,,tertiary,,,False,23.899,"LINESTRING (56.3509511 25.3521771, 56.3508944 25.3521607, 56.3508365 25.3521487, 56.3507776 25.3521411, 56.3507183 25.3521379)",,
47171816,False,,S41,,unclassified,,,False,77.115,"LINESTRING (56.3456255 25.3457466, 56.344859 25.3457135)",,
47171816,False,,S41,,unclassified,,,True,120.989,"LINESTRING (56.3456255 25.3457466, 56.3468281 25.3457985)",,
116803031,False,,S24,,unclassified,,,False,65.588,"LINESTRING (56.3456255 25.3457466, 56.3456002 25.346336)",,
68314860,True,2,,,trunk,,,False,70.216,"LINESTRING (56.348037 25.348856, 56.348107 25.3487917, 56.348194 25.3487474, 56.3482911 25.3487267, 56.3483908 25.348731, 56.3484853 25.3487602, 56.3485671 25.3488119, 56.3486299 25.348882)",roundabout,
508271906,True,2,E99;S110,شارع الشيخ خالد بن محمد القاسمي,trunk,60,,False,77.839,"LINESTRING (56.348037 25.348856, 56.3481207 25.3487229, 56.3481693 25.3485893, 56.3482039 25.3484522, 56.3482244 25.3483127, 56.3482332 25.348188)",,
1249472535,False,,,,trunk_link,,,True,6.558,"LINESTRING (56.3484099 25.3483002, 56.3484741 25.3482896)",,
508271903,True,2,E99;S110,شارع الشيخ خالد بن محمد القاسمي,trunk,60,,False,68.443,"LINESTRING (56.3484099 25.3483002, 56.3484555 25.3484601, 56.3485176 25.3486154, 56.3486299 25.348882)",,
19958791,True,2,E99;S110,شارع الشيخ خالد بن محمد القاسمي,trunk,60,yes,False,35.967,"LINESTRING (56.3486913 25.3495168, 56.3485243 25.3494265, 56.3483748 25.3493671)",,
935198347,True,,,,trunk_link,,,False,115.955,"LINESTRING (56.3486913 25.3495168, 56.3485034 25.3494612, 56.3483119 25.3494183, 56.3481496 25.3493914, 56.3479861 25.3493738, 56.3477717 25.3493642, 56.3475572 25.3493696)",,
36568464,True,2,,,trunk,,,False,11.932,"LINESTRING (56.3518685 25.3535899, 56.351984 25.3536148)",roundabout,
68314860,True,2,,,trunk,,,False,18.611,"LINESTRING (56.3486299 25.348882, 56.348657 25.3489321, 56.3486741 25.3489857, 56.3486807 25.3490412)",roundabout,
68314860,True,2,,,trunk,,,False,46.561,"LINESTRING (56.3480989 25.3492982, 56.348022 25.3492199, 56.3479769 25.3491234, 56.3479684 25.349019, 56.3479973 25.3489177)",roundabout,
101615458,True,2,S115,شارع علي بن أبي طالب,secondary,60,,False,55.230000000000004,"LINESTRING (56.3480989 25.3492982, 56.3479434 25.349302, 56.3478092 25.3493154, 56.3475572 25.3493696)",,
68314860,True,2,,,trunk,,,False,7.936,"LINESTRING (56.3479973 25.3489177, 56.348037 25.348856)",roundabout,
96367557,True,2,S104,شارع الكورنيش,primary,60,yes,False,75.414,"LINESTRING (56.351984 25.3536148, 56.352122 25.3535697, 56.352327 25.3534532, 56.3525846 25.3532239)",,
68314859,True,2,E99;S110,شارع الشيخ خالد بن محمد القاسمي,trunk,60,,False,202.31799999999998,"LINESTRING (56.3507552 25.3514767, 56.3510512 25.3520765, 56.3515773 25.3531376)",,
68314859,True,2,E99;S110,شارع الشيخ خالد بن محمد القاسمي,trunk,60,,False,58.78,"LINESTRING (56.3515773 25.3531376, 56.3516335 25.3532509, 56.3517277 25.353443, 56.3518685 25.3535899)",,
101598145,True,,,,trunk_link,,,False,116.125,"LINESTRING (56.3515773 25.3531376, 56.3516663 25.3532226, 56.3517628 25.3533002, 56.3518433 25.3533487, 56.3519385 25.3533826, 56.3520418 25.3533996, 56.352188 25.3534068, 56.3522925 25.3533729, 56.3524012 25.3533196, 56.3525846 25.3532239)",,
68314859,True,2,E99;S110,شارع الشيخ خالد بن محمد القاسمي,trunk,60,,False,31.324,"LINESTRING (56.349185 25.3497785, 56.3494002 25.3499823)",,
101598154,True,,,,unclassified,40,,False,26.117,"LINESTRING (56.349185 25.3497785, 56.3492469 25.3497855, 56.3493113 25.3497952, 56.349442 25.3497771)",,
101598156,False,,,,residential,40,,False,14.439,"LINESTRING (56.3508992 25.3482003, 56.3510319 25.3482501)",,
101598156,False,,,,residential,40,,True,34.067,"LINESTRING (56.3508992 25.3482003, 56.3505848 25.3480857)",,
101598185,False,,,,residential,40,,False,48.678000000000004,"LINESTRING (56.3508992 25.3482003, 56.3508774 25.3483217, 56.3507842 25.348625)",,
101598089,False,,,,unclassified,,,False,5.61,"LINESTRING (56.3496868 25.3451848, 56.3496843 25.3451344)",,
101598181,False,,,,unclassified,,,True,128.718,"LINESTRING (56.3496868 25.3451848, 56.3498154 25.3451872, 56.3509674 25.345209)",,
508259102,False,,,,unclassified,,,True,25.073999999999998,"LINESTRING (56.3496868 25.3451848, 56.3497083 25.345306, 56.3497458 25.345403)",,
101598099,False,,,,tertiary,,,False,61.971,"LINESTRING (56.3474123 25.3534023, 56.3479786 25.3531816)",,
101598099,False,,,,tertiary,,,True,34.597,"LINESTRING (56.3474123 25.3534023, 56.3472794 25.3534541, 56.3470953 25.3535237)",,
116794581,False,,,,unclassified,40,,False,50.947,"LINESTRING (56.3502934 25.3479762, 56.3501457 25.3484145)",,
116794581,False,,,,unclassified,40,,True,49.214,"LINESTRING (56.3502934 25.3479762, 56.350455 25.3475584)",,
508273852,False,,,,residential,40,,True,65.687,"LINESTRING (56.3502934 25.3479762, 56.3496908 25.3477473)",,
101598156,False,,,,residential,40,,False,31.717,"LINESTRING (56.3502934 25.3479762, 56.3503934 25.348016, 56.3505848 25.3480857)",,
96256954,False,,,Inner Road,tertiary,40,yes,False,59.856,"LINESTRING (56.3515032 25.3509098, 56.352014 25.3506329)",,
96256954,False,,,Inner Road,tertiary,40,yes,True,1.581,"LINESTRING (56.3515032 25.3509098, 56.3514897 25.3509171)",,
101598185,False,,,,residential,40,,True,85.93,"LINESTRING (56.3515032 25.3509098, 56.351441 25.35076, 56.3512586 25.3504012, 56.3511703 25.3501984)",,
101598181,False,,,,unclassified,,,False,85.521,"LINESTRING (56.3521898 25.3452335, 56.351339 25.345216)",,
101598200,False,,,,unclassified,,,True,35.28,"LINESTRING (56.3521898 25.3452335, 56.3521701 25.3453187, 56.3521181 25.3455441)",,
101598094,False,,,,unclassified,,,False,45.059,"LINESTRING (56.351049 25.3460153, 56.3509032 25.3463985)",,
508259102,False,,,,unclassified,,,True,95.408,"LINESTRING (56.351049 25.3460153, 56.3519425 25.3463054)",,
508259102,False,,,,unclassified,,,False,151.031,"LINESTRING (56.351049 25.3460153, 56.3502798 25.3457608, 56.3500857 25.3456864, 56.3499443 25.3456163, 56.3498477 25.3455436, 56.3497458 25.345403)",,
68314859,True,2,E99;S110,شارع الشيخ خالد بن محمد القاسمي,trunk,60,,False,184.461,"LINESTRING (56.3494002 25.3499823, 56.3494925 25.3500681, 56.350296 25.3508181, 56.3504688 25.3510073, 56.350601 25.3512269)",,
508259102,False,,,,unclassified,,,False,25.073999999999998,"LINESTRING (56.3497458 25.345403, 56.3497083 25.345306, 56.3496868 25.3451848)",,
508259102,False,,,,unclassified,,,True,151.031,"LINESTRING (56.3497458 25.345403, 56.3498477 25.3455436, 56.3499443 25.3456163, 56.3500857 25.3456864, 56.3502798 25.3457608, 56.351049 25.3460153)",,
685969975,False,,,,residential,,,True,216.79500000000002,"LINESTRING (56.3497458 25.345403, 56.3494804 25.3454829, 56.349459 25.3455023, 56.349459 25.3455411, 56.349872 25.3460525, 56.3499042 25.3460792, 56.3499391 25.3460962, 56.3509032 25.3463985)",,
116794581,False,,,,unclassified,40,,True,24.36,"LINESTRING (56.349442 25.3497771, 56.3496064 25.3496161)",,
101598154,True,,,,unclassified,40,,False,24.044,"LINESTRING (56.349442 25.3497771, 56.3494015 25.3498408, 56.3493908 25.3498954, 56.3494002 25.3499823)",,
508259102,False,,,,unclassified,,,False,95.408,"LINESTRING (56.3519425 25.3463054, 56.351049 25.3460153)",,
101598200,False,,,,unclassified,,,False,86.47200000000001,"LINESTRING (56.3519425 25.3463054, 56.3519685 25.3461928, 56.3521181 25.3455441)",,
116803031,False,,S24,,unclassified,,,True,77.986,"LINESTRING (56.3465057 25.3495772, 56.3462356 25.3489197)",,
101615455,True,2,S115,شارع علي بن أبي طالب,secondary,60,,False,93.741,"LINESTRING (56.3465057 25.3495772, 56.3472752 25.3493135, 56.3473788 25.3492804)",,
101615444,False,2,S20,شارع ابن علي القاسم,unclassified,40,,False,3.273,"LINESTRING (56.3452225 25.3516358, 56.3452341 25.3516633)",,
