osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,junction,tunnel
218665383,True,Tiilijärventie,secondary,False,12.658999999999999,"LINESTRING (25.5079852 60.9861894, 25.5080566 60.986131, 25.508137 60.9861067)",,,,
29148814,False,Keskuskatu,secondary,False,9.709,"LINESTRING (25.5165045 60.9875556, 25.5163246 60.987559)",,,,
41114470,True,Kansankatu,secondary,False,58.06,"LINESTRING (25.5165045 60.9875556, 25.5165093 60.9876849, 25.5165162 60.9880022, 25.5165179 60.9880777)",,,,
41533576,False,Keskuskatu,tertiary,True,175.96900000000002,"LINESTRING (25.5165045 60.9875556, 25.516736 60.9875529, 25.5168806 60.9875515, 25.518689 60.9875374, 25.5189261 60.9875299, 25.5191364 60.9875166, 25.5193551 60.9874813, 25.5195127 60.9874253, 25.5196492 60.9873527)",,,,
45965151,True,Hämeenlinnantie,primary,False,10.98,"LINESTRING (25.5165051 60.9869396, 25.5163016 60.9869366)",2,70,,
29293533,True,Kansankatu,secondary,False,68.518,"LINESTRING (25.5165051 60.9869396, 25.5164944 60.9870543, 25.5165044 60.9873346, 25.5165081 60.9874392, 25.5165045 60.9875556)",,,,
877503368,True,Hämeenlinnantie,primary,False,67.72500000000001,"LINESTRING (25.5081948 60.9860988, 25.5091473 60.9862353, 25.5094003 60.9862693)",2,70,,
29293533,True,Kansankatu,secondary,False,13.867,"LINESTRING (25.5165157 60.986815, 25.5165051 60.9869396)",,,,
"[41114467, 51569790]",False,Tiilijärventie,secondary,True,88.012,"LINESTRING (25.5075501 60.9875915, 25.5075312 60.9877084, 25.5074967 60.9882966, 25.5074998 60.9883824)",,40,,
41114468,False,Tiilijärventie,secondary,False,69.436,"LINESTRING (25.5075501 60.9875915, 25.5075593 60.9875277, 25.5075661 60.987468, 25.5076914 60.986971)",,,,
46213341,False,Keskuskatu,secondary,True,473.404,"LINESTRING (25.5075501 60.9875915, 25.5077195 60.9875975, 25.5093288 60.9875961, 25.5095636 60.987591, 25.5105274 60.9875897, 25.5110964 60.9875857, 25.511252 60.9875823, 25.5114227 60.9875815, 25.5122652 60.9875817, 25.5123317 60.9875814, 25.5125421 60.9875855, 25.5133849 60.9875831, 25.5140421 60.9875819, 25.5146686 60.9875904, 25.5148069 60.9875848, 25.5160114 60.9875748, 25.5163246 60.987559)",,40,,
46112647,False,Kansankuja,residential,True,9.029,"LINESTRING (25.5165179 60.9880777, 25.5163505 60.9880791)",,,,
41114470,True,Kansankatu,secondary,False,266.54200000000003,"LINESTRING (25.5165179 60.9880777, 25.516521 60.9882186, 25.5165324 60.9887187, 25.5165289 60.9890376, 25.5165395 60.9894782, 25.5165465 60.9897732, 25.5165504 60.9899347, 25.5165622 60.9903568, 25.5166448 60.9904676)",,,,
46112647,False,Kansankuja,residential,False,71.294,"LINESTRING (25.5165179 60.9880777, 25.5166703 60.9880764, 25.5174879 60.9880695, 25.5178397 60.9880665)",,,,
