osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,width
617855344,1,110,Turuntie,secondary,40,roundabout,True,False,7.74,"LINESTRING (24.4419121 60.2703341, 24.4418421 60.2703318, 24.4417764 60.2703195)",
617855344,1,110,Turuntie,secondary,40,roundabout,True,False,6.348,"LINESTRING (24.4421338 60.2702182, 24.4421254 60.2702464, 24.4421038 60.2702729)",
675488636,1,110,Turuntie,secondary,40,roundabout,True,False,7.197,"LINESTRING (24.4462463 60.2694966, 24.4462486 60.2695289, 24.4462351 60.2695606)",
684013187,1,110,Turuntie,secondary,40,roundabout,True,False,8.047,"LINESTRING (24.4459371 60.2693866, 24.44601 60.2693855, 24.4460809 60.2693941)",
"[48461650, 122043502, 4680535]",2,1131,Veikkolantie,tertiary,"['60', '50', '40']",,False,"[False, True]",389.98500000000007,"LINESTRING (24.4516882 60.2723066, 24.4511414 60.2718817, 24.4507855 60.2716052, 24.4501069 60.2711144, 24.4493008 60.2706934, 24.4483059 60.2703286, 24.4481827 60.2702834, 24.4470685 60.2699724, 24.4467624 60.2698836)",
4351348,,,Pohjatuulenkuja,residential,,,False,True,96.897,"LINESTRING (24.4510184 60.2664406, 24.4510612 60.2665064, 24.4514184 60.2672287, 24.4514731 60.2672806)",
4351355,,,Tuulensuuntie,residential,,,False,False,126.88900000000001,"LINESTRING (24.4510184 60.2664406, 24.4506948 60.266489, 24.4503743 60.2665488, 24.4499915 60.2666444, 24.4496537 60.2667592, 24.4490635 60.2670139)",
16180007,,,Tuulensuunkaari,residential,,,False,False,294.167,"LINESTRING (24.4510184 60.2664406, 24.4508635 60.2662273, 24.4507623 60.2661364, 24.4506301 60.2660461, 24.4504586 60.2659523, 24.4502755 60.2658842, 24.4500902 60.2658252, 24.4498692 60.2657775, 24.4496672 60.265758, 24.4494647 60.2657604, 24.4492623 60.2657843, 24.449065 60.2658273, 24.4489369 60.2658788, 24.4487923 60.2659481, 24.4486887 60.2660306, 24.448626 60.26612, 24.448573 60.2662326, 24.4485802 60.2663617, 24.44863 60.2665343, 24.4487104 60.2666712, 24.4488319 60.2668314, 24.4490635 60.2670139)",
4351348,,,Pohjatuulenkuja,residential,,,False,False,96.897,"LINESTRING (24.4514731 60.2672806, 24.4514184 60.2672287, 24.4510612 60.2665064, 24.4510184 60.2664406)",
4351355,,,Tuulensuuntie,residential,,,False,True,136.513,"LINESTRING (24.4454372 60.268183, 24.4462299 60.2682095, 24.4464426 60.2682107, 24.4466827 60.2681955, 24.4470006 60.2681536, 24.4472572 60.2680936, 24.4474557 60.2680195, 24.4477156 60.2678923)",
48461640,2,1131,Lapinkyläntie,secondary,40,,False,False,140.847,"LINESTRING (24.4454372 60.268183, 24.4454602 60.2679588, 24.4455145 60.2677586, 24.4456266 60.2675205, 24.4457735 60.2672969, 24.4459165 60.2671111, 24.4460358 60.2669607)",
48461640,2,1131,Lapinkyläntie,secondary,40,,False,True,69.207,"LINESTRING (24.4454372 60.268183, 24.4454422 60.2683562, 24.4454632 60.2685848, 24.4455102 60.2688039)",
4351355,,,Tuulensuuntie,residential,,,False,False,136.513,"LINESTRING (24.4477156 60.2678923, 24.4474557 60.2680195, 24.4472572 60.2680936, 24.4470006 60.2681536, 24.4466827 60.2681955, 24.4464426 60.2682107, 24.4462299 60.2682095, 24.4454372 60.268183)",
4351355,,,Tuulensuuntie,residential,,,False,True,123.21000000000001,"LINESTRING (24.4477156 60.2678923, 24.4482953 60.2674349, 24.4490635 60.2670139)",
4351356,,,Länsituulenkuja,residential,,,False,True,63.123000000000005,"LINESTRING (24.4477156 60.2678923, 24.4468925 60.2676472, 24.4467558 60.2675857)",
227955885,,,Itätuulenkuja,residential,,,False,False,78.469,"LINESTRING (24.4477156 60.2678923, 24.4478235 60.2679293, 24.4482888 60.2680888, 24.4488834 60.2682955)",
