osmid,oneway,name,highway,maxspeed,width,reversed,length,geometry,lanes,junction,access
"[30568275, 36729015, 316590744, 316590745, 316590746]",True,Fredrikinkatu,tertiary,30,8.9,False,139.09,"LINESTRING (24.9370233 60.1643255, 24.9370046 60.1643374, 24.9369326 60.1643843, 24.9358301 60.1651753, 24.9357393 60.1652405, 24.935716 60.1652572, 24.9356933 60.1652735, 24.9356541 60.1653016, 24.9355842 60.1653511)",,,
"[42919371, 42919372, 42919373, 42919374, 42919375, 42919376, 126902357, 126902358, 30903129]",False,Bulevardi,tertiary,30,,False,156.786,"LINESTRING (24.9370233 60.1643255, 24.9371678 60.1643747, 24.9371893 60.164382, 24.9372274 60.1643949, 24.9374116 60.1644598, 24.937652 60.164545, 24.9376777 60.1645538, 24.9377809 60.1645886, 24.9377986 60.1645948, 24.9381021 60.1647015, 24.9381541 60.1647198, 24.9382979 60.1647703, 24.9384756 60.1648322, 24.9385954 60.1648739, 24.9386239 60.1648839, 24.938891 60.164977, 24.9391806 60.1650778, 24.9392552 60.1651038, 24.939344 60.1651348)",,,
"[333061568, 333061571, 333061573, 572656872, 81527785, 333061564, 333061565, 333061566, 333061567]",False,Bulevardi,tertiary,30,,True,170.448,"LINESTRING (24.9370233 60.1643255, 24.9368796 60.1642762, 24.9368305 60.1642587, 24.9366588 60.1641992, 24.936348 60.164091, 24.9362131 60.164044, 24.9359186 60.1639403, 24.9356674 60.1638522, 24.9352513 60.163707, 24.9352424 60.1637039, 24.9350989 60.1636543, 24.9349084 60.1635869, 24.9346867 60.1635107, 24.9346401 60.1634945, 24.9345002 60.1634458)",2,,
"[28408160, 193139554, 36729031, 193139529, 193139533, 193139537, 193139541, 193139549, 193139551]",True,Uudenmaankatu,primary,30,,False,157.65299999999996,"LINESTRING (24.9404286 60.164349, 24.940522 60.1643832, 24.9405814 60.1644038, 24.9410778 60.1645755, 24.9415343 60.1647335, 24.9416239 60.1647645, 24.9418897 60.1648564, 24.9419815 60.1648882, 24.9422389 60.1649773, 24.9422729 60.164989, 24.9425498 60.1650849, 24.9426316 60.1651132, 24.942664 60.1651244, 24.9427797 60.1651475)",2,,
"[21081120, 29064946, 317000781, 317000782]",False,Annankatu,residential,30,8.9,False,105.996,"LINESTRING (24.9404286 60.164349, 24.9403704 60.1643931, 24.9403199 60.1644297, 24.9402438 60.1644847, 24.9401197 60.1645745, 24.939421 60.1650799, 24.9393598 60.1651235, 24.939344 60.1651348)",,,
"[344789062, 344789098, 317000783, 317000784, 36729009, 344789076, 344789082]",False,Annankatu,residential,30,,True,125.45400000000001,"LINESTRING (24.9404286 60.164349, 24.9404882 60.1643038, 24.9405397 60.1642677, 24.9406959 60.1641581, 24.9408094 60.1640785, 24.9410221 60.1639294, 24.9415133 60.1635848, 24.9415644 60.1635491, 24.9417372 60.1634276)",,,
"[62212961, 98304770, 76335649, 15245482, 76335031, 233999099]",False,Yrjönkatu,residential,30,,False,108.00499999999998,"LINESTRING (24.9416738 60.1659479, 24.941689 60.1659368, 24.9417521 60.1658884, 24.9418324 60.1658277, 24.941943 60.1657484, 24.9420413 60.1656779, 24.94228 60.1655065, 24.9423925 60.1654258, 24.9424592 60.1653774, 24.9426403 60.165245, 24.942673 60.1652214, 24.9427797 60.1651475)",2,,
"[42919365, 42919366, 42919367, 76336872, 30955822]",False,Bulevardi,tertiary,30,,False,108.509,"LINESTRING (24.9416738 60.1659479, 24.9418097 60.1659937, 24.9418225 60.1659982, 24.9419345 60.1660374, 24.9420545 60.1660789, 24.9421965 60.166128, 24.9427996 60.1663364, 24.9429202 60.1663781, 24.9430116 60.1664097, 24.9431304 60.1664547, 24.9432278 60.1664957, 24.9432708 60.1665138)","['1', '2']",,
"[76334538, 217644146, 76334539, 42919373]",False,Bulevardi,tertiary,30,,True,157.43200000000002,"LINESTRING (24.9416738 60.1659479, 24.9415363 60.1659001, 24.9411769 60.1657742, 24.9409864 60.1657084, 24.9407682 60.1656322, 24.9404777 60.1655307, 24.939548 60.165206, 24.9394949 60.1651875, 24.939344 60.1651348)","['2', '3']",,
"[62212960, 76333545, 76333547, 36726223, 36726224, 233999572, 234000028]",False,Yrjönkatu,residential,30,,True,138.135,"LINESTRING (24.9416738 60.1659479, 24.941659 60.1659591, 24.9415885 60.1660123, 24.9415594 60.1660343, 24.9414259 60.1661298, 24.9413016 60.166216, 24.9407399 60.1666125, 24.9404574 60.1668119, 24.9403107 60.1669211, 24.9402481 60.1669677)",2,,
