osmid,name,highway,oneway,reversed,length,bridge,geometry,maxspeed,junction
25398671,Tapalankatu,tertiary,False,True,82.82,,"LINESTRING (22.3906753 61.80144, 22.3920378 61.8018145)",,
"[1097910130, 1097910131, 24277790]",Tapalankatu,tertiary,False,False,93.93,yes,"LINESTRING (22.3906753 61.80144, 22.3896109 61.8011977, 22.3895076 61.8011666, 22.3890995 61.8010439)",,
25398671,Tapalankatu,tertiary,False,False,82.82,,"LINESTRING (22.3920378 61.8018145, 22.3906753 61.80144)",,
25398671,Tapalankatu,tertiary,False,True,29.467,,"LINESTRING (22.3920378 61.8018145, 22.3925219 61.8019483)",,
38000412,Kappelinkatu,residential,False,True,104.134,,"LINESTRING (22.3920378 61.8018145, 22.3918989 61.8019001, 22.3908319 61.8025577)",,
4444405,Keskuskatu,tertiary,False,False,69.498,,"LINESTRING (22.4028031 61.7995678, 22.4022736 61.7996364, 22.4015339 61.7997434)",40,
24278075,Myllärintie,residential,False,True,140.777,,"LINESTRING (22.4028031 61.7995678, 22.4028506 61.7997361, 22.4028688 61.799879, 22.4028609 61.8001632, 22.4029424 61.8004008, 22.4031219 61.8007333, 22.4031417 61.8008178)",,
4444405,Keskuskatu,tertiary,False,False,166.824,,"LINESTRING (22.3972318 61.8015341, 22.3956265 61.8025018, 22.3953035 61.8027254)",40,
4444405,Keskuskatu,tertiary,False,True,310.01399999999995,,"LINESTRING (22.3972318 61.8015341, 22.3982095 61.800937, 22.3989234 61.8005278, 22.3991024 61.800414, 22.3992628 61.8003121, 22.3995941 61.8001395, 22.4000352 61.800019, 22.4005618 61.7999305, 22.4014057 61.7997695, 22.4015339 61.7997434)",40,
24278905,Alpinkatu,residential,False,False,196.161,,"LINESTRING (22.3972318 61.8015341, 22.3975749 61.8016733, 22.3982113 61.8019038, 22.3989557 61.8022069, 22.4001283 61.8026464)",,
4444405,Keskuskatu,tertiary,False,False,174.948,,"LINESTRING (22.3905674 61.8058882, 22.390344 61.8060067, 22.3892909 61.8065391, 22.3892125 61.8065765, 22.3888619 61.8067437, 22.388194 61.8069862)",40,
4444405,Keskuskatu,tertiary,False,True,121.764,,"LINESTRING (22.3905674 61.8058882, 22.3907778 61.8057746, 22.3912729 61.8055071, 22.391389 61.8054163, 22.3917781 61.8052104, 22.3920602 61.8050525)",40,
24278803,Jämintie,tertiary,False,False,75.504,,"LINESTRING (22.3905674 61.8058882, 22.3908239 61.8060021, 22.3915735 61.8062912, 22.3916646 61.8063263)",,
24278905,Alpinkatu,residential,False,True,196.161,,"LINESTRING (22.4001283 61.8026464, 22.3989557 61.8022069, 22.3982113 61.8019038, 22.3975749 61.8016733, 22.3972318 61.8015341)",,
24347608,Paasikivenkatu,residential,False,False,160.64800000000002,,"LINESTRING (22.4001283 61.8026464, 22.3991496 61.8032466, 22.3987501 61.8034885, 22.3984066 61.8036913, 22.3982498 61.8037863)",,
24347608,Paasikivenkatu,residential,False,True,257.749,,"LINESTRING (22.4001283 61.8026464, 22.4009737 61.8021568, 22.4010967 61.8020829, 22.4019681 61.8015593, 22.4021091 61.8014746, 22.4026443 61.8011342, 22.4031417 61.8008178)",,
868424908,Alpinkatu,residential,False,False,176.35899999999998,,"LINESTRING (22.4001283 61.8026464, 22.4002553 61.8026962, 22.4004324 61.8027659, 22.4006728 61.8028673, 22.4014361 61.8031445, 22.4019274 61.8033228, 22.4021694 61.8034149, 22.402306 61.8034728, 22.4024088 61.8035252, 22.4024937 61.8035848, 22.4025555 61.8036388, 22.4026056 61.8036951)",,
4444405,Keskuskatu,tertiary,False,False,67.886,,"LINESTRING (22.3949537 61.803309, 22.3947962 61.8034566, 22.3947805 61.8034713, 22.3943245 61.803774, 22.3942517 61.8038197)",40,
4444405,Keskuskatu,tertiary,False,True,57.111000000000004,,"LINESTRING (22.3949537 61.803309, 22.3950833 61.8030588, 22.3951925 61.8028614, 22.3952204 61.8028111)",40,
24278906,Kuninkaanlähteenkatu,tertiary,False,False,56.601,,"LINESTRING (22.3949537 61.803309, 22.3952085 61.8034021, 22.3958059 61.8036204)",,
24278075,Myllärintie,residential,False,False,140.777,,"LINESTRING (22.4031417 61.8008178, 22.4031219 61.8007333, 22.4029424 61.8004008, 22.4028609 61.8001632, 22.4028688 61.799879, 22.4028506 61.7997361, 22.4028031 61.7995678)",,
24278075,Myllärintie,residential,False,True,178.987,,"LINESTRING (22.4031417 61.8008178, 22.4031856 61.8009015, 22.4032399 61.8010049, 22.4032957 61.8012226, 22.403438 61.8014513, 22.4035721 61.8016517, 22.4039614 61.8019224, 22.4043691 61.8021214, 22.4046372 61.8021915)",,
24347608,Paasikivenkatu,residential,False,False,257.749,,"LINESTRING (22.4031417 61.8008178, 22.4026443 61.8011342, 22.4021091 61.8014746, 22.4019681 61.8015593, 22.4010967 61.8020829, 22.4009737 61.8021568, 22.4001283 61.8026464)",,
24347608,Paasikivenkatu,residential,False,True,26.922,,"LINESTRING (22.3979522 61.8039834, 22.3982498 61.8037863)",,
1246967092,Paasikivenkatu,residential,True,False,17.351,,"LINESTRING (22.3979522 61.8039834, 22.3978714 61.8041347)",,
