osmid,oneway,highway,junction,reversed,length,ref,name,maxspeed,geometry,bridge,lanes,access
4646293,True,secondary,roundabout,False,5.679,,,,"LINESTRING (26.6037494 60.8442968, 26.6037735 60.8443465)",,,
4604115,True,secondary,,False,98.023,359,Anjalantie,50,"LINESTRING (26.6048202 60.843589, 26.6038529 60.8441926, 26.6037494 60.8442968)",,,
"[44781841, 44781843, 150147613]",False,secondary,,False,151.87800000000001,359,Anjalantie,50,"LINESTRING (26.6048202 60.843589, 26.6055619 60.8432519, 26.6059859 60.843077, 26.606392 60.8429261, 26.60664 60.8428319, 26.6068086 60.8427701, 26.6069647 60.8427112)",yes,,
4646293,True,secondary,roundabout,False,9.957999999999998,,,,"LINESTRING (26.603267 60.8444025, 26.6032377 60.8443556, 26.6032411 60.8443151)",,,
40754566,True,secondary,roundabout,False,8.769,,,,"LINESTRING (26.6036283 60.8444521, 26.6035531 60.8444699, 26.6034753 60.8444741)",,,
4646293,True,secondary,roundabout,False,8.266,,,,"LINESTRING (26.6033771 60.8442247, 26.6034576 60.8442171, 26.6035279 60.844214)",,,
32010364,True,secondary,,False,171.326,359,Anjalantie,50,"LINESTRING (26.6015066 60.8456809, 26.6018882 60.8453561, 26.602636 60.8448433, 26.6031118 60.8445186, 26.603267 60.8444025)",,,
150147611,False,secondary,,False,310.65399999999994,359,Anjalantie,50,"LINESTRING (26.6015066 60.8456809, 26.6007695 60.8462825, 26.6004488 60.8465403, 26.6001609 60.8467571, 26.5999452 60.8469034, 26.5996591 60.8470857, 26.5994154 60.8472338, 26.5991388 60.84739, 26.5988654 60.8475404, 26.5984467 60.8477528, 26.5981069 60.847916)",,2,
52349688,True,tertiary,,False,40.073,,Kyminasemantie,40,"LINESTRING (26.6070909 60.8464212, 26.6072981 60.8463497, 26.6074448 60.8462867, 26.6074904 60.8462598, 26.6076694 60.8461986)",,,
52349694,False,tertiary,,False,33.102999999999994,,Kyminasemantie,40,"LINESTRING (26.6070909 60.8464212, 26.6068016 60.8464479, 26.6064882 60.84647)",,,
32391906,True,tertiary,,False,9.234,,Kyminasemantie,40,"LINESTRING (26.6079375 60.8462124, 26.6077913 60.8462551)",,,
40754567,True,secondary,,False,115.672,364,Koriantie,40,"LINESTRING (26.6079375 60.8462124, 26.6081536 60.8463234, 26.6084012 60.8464564, 26.6088126 60.8466924, 26.6091198 60.8468785, 26.6093053 60.8470097)",,,
35007223,False,residential,,True,221.824,,Porvarinpolku,40,"LINESTRING (26.6034289 60.8466982, 26.6034575 60.8467685, 26.6034798 60.8468208, 26.6035871 60.8469732, 26.6039314 60.8472041, 26.6043116 60.8474596, 26.6046436 60.8476718, 26.6047594 60.8477329, 26.6049118 60.8477752, 26.6050755 60.847801, 26.60523 60.8478017, 26.6053854 60.8477886, 26.6056463 60.8477454, 26.6062447 60.8476657)",,,
40754573,False,tertiary,,False,46.337,,Kyminasemantie,40,"LINESTRING (26.6034289 60.8466982, 26.6028662 60.8467398, 26.602731 60.8467478, 26.6025819 60.8467562)",,,
40754573,False,tertiary,,True,57.857,,Kyminasemantie,40,"LINESTRING (26.6034289 60.8466982, 26.6036262 60.8466811, 26.6043674 60.846623, 26.6044836 60.8466165)",,,
32441309,False,residential,,False,73.827,,Linnuntie,40,"LINESTRING (26.6088074 60.8461651, 26.6088957 60.8461034, 26.6089466 60.8460605, 26.608953 60.8460224, 26.6086722 60.8455405)",,,
52349685,False,tertiary,,False,58.938,,Vilppulantie,40,"LINESTRING (26.6088074 60.8461651, 26.6089686 60.8462009, 26.6090667 60.846216, 26.6091703 60.8462231, 26.6093135 60.8462195, 26.6098715 60.8461966)",,,
52349685,False,tertiary,,True,15.002,,Vilppulantie,40,"LINESTRING (26.6088074 60.8461651, 26.6086329 60.8461232, 26.608555 60.8461101)",,,
32391916,True,tertiary,,False,36.018,,Vilppulantie,40,"LINESTRING (26.608555 60.8461101, 26.6083192 60.8461233, 26.6081737 60.8461441, 26.6080432 60.8461744, 26.6079375 60.8462124)",,,
52349685,False,tertiary,,False,15.002,,Vilppulantie,40,"LINESTRING (26.608555 60.8461101, 26.6086329 60.8461232, 26.6088074 60.8461651)",,,
32443918,False,residential,,True,92.63,,Elotie,40,"LINESTRING (26.6075714 60.843816, 26.60921 60.843578)",,,designated
32441309,False,residential,,False,69.584,,Linnuntie,40,"LINESTRING (26.6075714 60.843816, 26.6074313 60.8435673, 26.6072317 60.8432125)",,,
32441309,False,residential,,True,200.817,,Linnuntie,40,"LINESTRING (26.6075714 60.843816, 26.6077468 60.8440793, 26.6079245 60.8443599, 26.6080445 60.8445494, 26.6086722 60.8455405)",,,
32441310,False,residential,,False,357.604,,Maamiehentie,40,"LINESTRING (26.6075714 60.843816, 26.6065108 60.8439681, 26.6061833 60.8440252, 26.6059996 60.844068, 26.6058389 60.8441225, 26.6057259 60.8441751, 26.605664 60.8442303, 26.6056563 60.8442907, 26.6056943 60.8443924, 26.6057418 60.8444743, 26.6058298 60.8445883, 26.6059104 60.8446576, 26.6060172 60.8447081, 26.6068421 60.8450597, 26.6076304 60.8454504, 26.6079201 60.8455814, 26.608084 60.8456046, 26.6083331 60.8455823, 26.6086722 60.8455405)",,,
32441309,False,residential,,False,200.81699999999998,,Linnuntie,40,"LINESTRING (26.6086722 60.8455405, 26.6080445 60.8445494, 26.6079245 60.8443599, 26.6077468 60.8440793, 26.6075714 60.843816)",,,
