osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,access
4384849,False,2,301,Vesilahdentie,secondary,50,False,128.555,"LINESTRING (23.6368358 61.2953055, 23.6378374 61.295588, 23.6389012 61.2958992)",,
"[4410330, 967476429]",False,,2983,Valkkistentie,tertiary,50,False,274.66100000000006,"LINESTRING (23.6368358 61.2953055, 23.6374321 61.2948364, 23.637747 61.294396, 23.6378181 61.2941776, 23.6378458 61.2939915, 23.6378392 61.2936857, 23.6376994 61.2933874, 23.6374139 61.2930869, 23.6372886 61.2930005)",6,
92292011,False,,,Koulutie,residential,,False,16.386,"LINESTRING (23.6299888 61.3000332, 23.6297117 61.2999699)",,
121390818,False,2,2982,Rautialantie,tertiary,,False,250.39499999999998,"LINESTRING (23.6299888 61.3000332, 23.6302496 61.2997952, 23.630392 61.2996851, 23.6305699 61.2995654, 23.631772 61.2989464, 23.6329267 61.2982893)",,
4384849,False,2,301,Vesilahdentie,secondary,50,True,128.555,"LINESTRING (23.6389012 61.2958992, 23.6378374 61.295588, 23.6368358 61.2953055)",,
"[378966345, 121390818]",False,2,2982,Rautialantie,tertiary,,True,106.206,"LINESTRING (23.6389012 61.2958992, 23.6387876 61.2959885, 23.6385759 61.2961514, 23.6383029 61.2963614, 23.6381443 61.2964644, 23.6380661 61.2965152, 23.6377943 61.2966918)",,
"[378966337, 783722683]",False,"['2', '3']",301,Vesilahdentie,secondary,50,False,374.98299999999995,"LINESTRING (23.6389012 61.2958992, 23.6397335 61.2961224, 23.6412266 61.2965229, 23.6422007 61.2967826, 23.642919 61.2969823, 23.6437573 61.2972159, 23.6449351 61.2975347, 23.6450165 61.2975562)",,
28199714,False,,,Kaakilanmutka,residential,50,False,106.228,"LINESTRING (23.6464773 61.2978993, 23.646414 61.298, 23.6463705 61.2981576, 23.6463595 61.2982715, 23.6463791 61.2984123, 23.6464377 61.2985218, 23.6465354 61.298625, 23.6466657 61.2987063, 23.6468024 61.2987908)",,
378966337,False,2,301,Vesilahdentie,secondary,50,True,86.929,"LINESTRING (23.6464773 61.2978993, 23.6456903 61.2977341, 23.6454527 61.2976714, 23.6450165 61.2975562)",,
28199667,False,,,Kaustalantie,residential,,False,47.03,"LINESTRING (23.6468024 61.2987908, 23.6459357 61.2988659)",,yes
28199714,False,,,Kaakilanmutka,residential,50,False,84.848,"LINESTRING (23.6468024 61.2987908, 23.6471607 61.2990066, 23.647799 61.2993851)",,
28199714,False,,,Kaakilanmutka,residential,50,True,106.228,"LINESTRING (23.6468024 61.2987908, 23.6466657 61.2987063, 23.6465354 61.298625, 23.6464377 61.2985218, 23.6463791 61.2984123, 23.6463595 61.2982715, 23.6463705 61.2981576, 23.646414 61.298, 23.6464773 61.2978993)",,
28199682,False,,,Kaustalantie,residential,,False,63.922,"LINESTRING (23.63991 61.2994552, 23.6387594 61.2996138)",,
"[28199682, 28199667]",False,,,Kaustalantie,residential,,True,104.618,"LINESTRING (23.63991 61.2994552, 23.6411599 61.2993135, 23.6418339 61.2992968)",,yes
96189958,False,,,,residential,,False,64.83,"LINESTRING (23.63991 61.2994552, 23.6400395 61.2998504, 23.6397942 61.2999904)",,
28199690,False,,,Pappilantie,residential,,True,50.128,"LINESTRING (23.6353303 61.3003798, 23.6350361 61.2999517)",,
28199682,False,,,Kaustalantie,residential,,True,206.777,"LINESTRING (23.6353303 61.3003798, 23.6365886 61.3000898, 23.6374541 61.2997452, 23.6379218 61.2996451, 23.6382883 61.2996334, 23.6385655 61.2996245, 23.6387594 61.2996138)",,
28199690,False,,,Pappilantie,residential,,False,112.715,"LINESTRING (23.6329267 61.2982893, 23.6330651 61.2983444, 23.6337175 61.2986653, 23.6343547 61.2990336)",,
121390818,False,2,2982,Rautialantie,tertiary,,False,317.43,"LINESTRING (23.6329267 61.2982893, 23.6331916 61.2981488, 23.6335159 61.2980082, 23.6337966 61.2979076, 23.6347575 61.2975828, 23.6351094 61.2974822, 23.6354693 61.297391, 23.6363288 61.2971861, 23.637169 61.2969765, 23.637296 61.296928, 23.6374409 61.2968713, 23.6375989 61.2968013, 23.6377943 61.2966918)",,
121390818,False,2,2982,Rautialantie,tertiary,,True,250.395,"LINESTRING (23.6329267 61.2982893, 23.631772 61.2989464, 23.6305699 61.2995654, 23.630392 61.2996851, 23.6302496 61.2997952, 23.6299888 61.3000332)",,
28199690,False,,,Pappilantie,residential,,False,50.128,"LINESTRING (23.6350361 61.2999517, 23.6353303 61.3003798)",,
28199690,False,,,Pappilantie,residential,,True,109.38300000000001,"LINESTRING (23.6350361 61.2999517, 23.6348625 61.2996311, 23.6348151 61.2995437, 23.634674 61.2992831, 23.6343547 61.2990336)",,
524057480,False,,,Pappilanraitti,residential,,True,138.02,"LINESTRING (23.6350361 61.2999517, 23.6339459 61.300146, 23.6337371 61.3002191, 23.6336459 61.3002765, 23.6335654 61.3004079, 23.6335225 61.3005006, 23.6334367 61.3005385, 23.6332597 61.3005411, 23.6330236 61.3005344)",,
38126378,False,,,Kesontie,residential,,False,182.576,"LINESTRING (23.6377943 61.2966918, 23.6379289 61.2967586, 23.6383871 61.2969733, 23.6386476 61.2972236, 23.6389081 61.2974582, 23.6390645 61.2976177, 23.6400806 61.297796)",,
"[378966345, 121390818]",False,2,2982,Rautialantie,tertiary,,False,106.206,"LINESTRING (23.6377943 61.2966918, 23.6380661 61.2965152, 23.6381443 61.2964644, 23.6383029 61.2963614, 23.6385759 61.2961514, 23.6387876 61.2959885, 23.6389012 61.2958992)",,
121390818,False,2,2982,Rautialantie,tertiary,,True,317.43,"LINESTRING (23.6377943 61.2966918, 23.6375989 61.2968013, 23.6374409 61.2968713, 23.637296 61.296928, 23.637169 61.2969765, 23.6363288 61.2971861, 23.6354693 61.297391, 23.6351094 61.2974822, 23.6347575 61.2975828, 23.6337966 61.2979076, 23.6335159 61.2980082, 23.6331916 61.2981488, 23.6329267 61.2982893)",,
28199714,False,,,Kaakilanmutka,residential,50,True,84.848,"LINESTRING (23.647799 61.2993851, 23.6471607 61.2990066, 23.6468024 61.2987908)",,
1183884892,False,,,,residential,,True,190.389,"LINESTRING (23.6372016 61.29804, 23.6371377 61.2980802, 23.6370431 61.2981146, 23.6367895 61.2981906, 23.6362764 61.2983279, 23.6356574 61.2984726, 23.6351778 61.2986065, 23.6348098 61.2987966, 23.6343547 61.2990336)",,
38126378,False,,,Kesontie,residential,,True,64.868,"LINESTRING (23.6411683 61.2980557, 23.6400806 61.297796)",,
