osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,bridge,junction
23275364,True,1,Laivurinkatu,tertiary,40,False,20.65,,"LINESTRING (24.1527857 65.8444844, 24.1525832 65.8446506)",,
43077915,True,2,,trunk,60,False,8.215,29,"LINESTRING (24.1527857 65.8444844, 24.1526237 65.8444518)",,
109068761,False,,Hallituskatu,tertiary,40,True,21.464,,"LINESTRING (24.1495959 65.845958, 24.1498851 65.8461105)",,
109068771,False,1,Laivurinkatu,tertiary,40,True,25.289,,"LINESTRING (24.1495959 65.845958, 24.1500412 65.8458219)",,
52020705,False,,Laivurinkatu,unclassified,40,True,80.025,,"LINESTRING (24.1495959 65.845958, 24.1494566 65.8460006, 24.1489468 65.8461565, 24.14834 65.846342, 24.148187 65.8463888)",,
79073510,False,,Hallituskatu,unclassified,40,False,62.432,,"LINESTRING (24.1495959 65.845958, 24.1495092 65.8459123, 24.148849 65.8455641, 24.1487548 65.8455144)",,
23275366,False,2,Hallituskatu,tertiary,40,True,80.55,,"LINESTRING (24.1510676 65.8467343, 24.1515505 65.8469984, 24.1517631 65.8471567, 24.1518356 65.8472343, 24.1519254 65.8473599)",,
51385957,False,,Hallituskatu,tertiary,40,False,55.797000000000004,,"LINESTRING (24.1510676 65.8467343, 24.150909 65.8466506, 24.150316 65.8463378)",,
23275366,False,2,Hallituskatu,tertiary,40,False,80.55000000000001,,"LINESTRING (24.1519254 65.8473599, 24.1518356 65.8472343, 24.1517631 65.8471567, 24.1515505 65.8469984, 24.1510676 65.8467343)",,
29054378,False,,Itäranta,unclassified,40,False,126.87899999999999,,"LINESTRING (24.1519254 65.8473599, 24.1519776 65.8474717, 24.1520247 65.8475829, 24.1521621 65.8478393, 24.1522575 65.8479981, 24.1525554 65.848471)",,
"[52020731, 29056533]",True,2,Puutarhakatu,tertiary,40,False,125.80699999999999,,"LINESTRING (24.1519254 65.8473599, 24.1505465 65.847509, 24.149541 65.8476258, 24.1494124 65.8476531, 24.1492888 65.847687)",,
