osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,junction,width,maxspeed
71304129,2805,Kurjenmäentie,tertiary,False,False,17.039,"LINESTRING (23.2818404 60.8037336, 23.2819554 60.8038762)",,,,
35826741,,Perttulantie,residential,False,False,151.556,"LINESTRING (23.2818404 60.8037336, 23.2817187 60.8037582, 23.2797155 60.80418, 23.2792743 60.8042729)",,,,
"[71304129, 223812563, 71304135]",2805,Kurjenmäentie,tertiary,False,True,291.97700000000003,"LINESTRING (23.2818404 60.8037336, 23.2817853 60.8036661, 23.281462 60.8032699, 23.2809601 60.8026462, 23.2808667 60.8025301, 23.2806308 60.8020143, 23.2804874 60.8017329, 23.2803806 60.8013925, 23.2803323 60.801225)",yes,,,
1181926926,2812,Ypäjänkyläntie,tertiary,False,True,121.963,"LINESTRING (23.2799393 60.8051147, 23.2817007 60.8044329)",,,,
35826742,,Papalintie,residential,False,True,100.314,"LINESTRING (23.2799393 60.8051147, 23.2798571 60.805007, 23.2792743 60.8042729)",,,,
259971897,,Papalintie,residential,False,False,99.479,"LINESTRING (23.2799393 60.8051147, 23.2801909 60.8055257, 23.280522 60.8059625)",,,,
1181926926,2812,Ypäjänkyläntie,tertiary,False,False,263.029,"LINESTRING (23.2799393 60.8051147, 23.2795961 60.8052471, 23.2761485 60.80659)",,,,
35827591,2812,,tertiary,True,False,12.463000000000001,"LINESTRING (23.2826094 60.8041485, 23.2825681 60.80418, 23.2825098 60.8042042, 23.2824396 60.8042191)",,roundabout,,
259971893,,Lepolantie,residential,True,False,28.894,"LINESTRING (23.2826094 60.8041485, 23.2827661 60.8042219, 23.2829926 60.804329)",,,,
35826741,,Perttulantie,residential,False,False,245.06,"LINESTRING (23.2792743 60.8042729, 23.2789391 60.8043428, 23.2773486 60.8046744, 23.277066 60.8047333, 23.2749758 60.8048957)",,,,
35826741,,Perttulantie,residential,False,True,151.556,"LINESTRING (23.2792743 60.8042729, 23.2797155 60.80418, 23.2817187 60.8037582, 23.2818404 60.8037336)",,,,
35826742,,Papalintie,residential,False,False,100.314,"LINESTRING (23.2792743 60.8042729, 23.2798571 60.805007, 23.2799393 60.8051147)",,,,
35826741,,Perttulantie,residential,False,False,60.671,"LINESTRING (23.2747018 60.8049188, 23.2736915 60.805153)",,,,
35826741,,Perttulantie,residential,False,True,15.082,"LINESTRING (23.2747018 60.8049188, 23.2749758 60.8048957)",,,,
71304042,,Rantatie,residential,False,False,76.274,"LINESTRING (23.2747018 60.8049188, 23.2746511 60.8048473, 23.2743951 60.8044866, 23.274354 60.8044287, 23.2742418 60.8042706)",,,3,
71304116,,Rajatie,residential,False,True,198.846,"LINESTRING (23.2761485 60.80659, 23.2760698 60.8064724, 23.2749758 60.8048957)",,,3,
259971901,,Rajatie,residential,False,False,83.238,"LINESTRING (23.2761485 60.80659, 23.2762238 60.8066889, 23.2763442 60.8068422, 23.2766378 60.8072992)",,,,
1181926926,2812,Ypäjänkyläntie,tertiary,False,True,263.029,"LINESTRING (23.2761485 60.80659, 23.2795961 60.8052471, 23.2799393 60.8051147)",,,,
71304042,,Rantatie,residential,False,True,97.52499999999999,"LINESTRING (23.2736556 60.8034445, 23.2741498 60.8040458, 23.2742418 60.8042706)",,,3,
35826741,,Perttulantie,residential,False,False,15.082,"LINESTRING (23.2749758 60.8048957, 23.2747018 60.8049188)",,,,
35826741,,Perttulantie,residential,False,True,245.05999999999997,"LINESTRING (23.2749758 60.8048957, 23.277066 60.8047333, 23.2773486 60.8046744, 23.2789391 60.8043428, 23.2792743 60.8042729)",,,,
71304116,,Rajatie,residential,False,False,198.846,"LINESTRING (23.2749758 60.8048957, 23.2760698 60.8064724, 23.2761485 60.80659)",,,3,
123914508,,Leväntie,residential,False,False,344.854,"LINESTRING (23.2803323 60.801225, 23.2804705 60.8012164, 23.2806216 60.801207, 23.2817835 60.8007544, 23.2835149 60.8002147, 23.2851101 60.7996608, 23.2855469 60.7994852)",,,,50
"[71304129, 223812563, 71304135]",2805,Kurjenmäentie,tertiary,False,False,291.97700000000003,"LINESTRING (23.2803323 60.801225, 23.2803806 60.8013925, 23.2804874 60.8017329, 23.2806308 60.8020143, 23.2808667 60.8025301, 23.2809601 60.8026462, 23.281462 60.8032699, 23.2817853 60.8036661, 23.2818404 60.8037336)",yes,,,
123914508,,Leväntie,residential,False,True,344.854,"LINESTRING (23.2855469 60.7994852, 23.2851101 60.7996608, 23.2835149 60.8002147, 23.2817835 60.8007544, 23.2806216 60.801207, 23.2804705 60.8012164, 23.2803323 60.801225)",,,,50
123915198,,Hollikuja,residential,False,False,133.092,"LINESTRING (23.2830385 60.80383, 23.2834135 60.8037381, 23.284507 60.8034836, 23.2852215 60.8032849)",,,,
