osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,service
10209532,Karjalantie,residential,40,False,True,32.37,"LINESTRING (23.6212793 62.5887583, 23.6213834 62.5887753, 23.6215795 62.5888045, 23.6216524 62.5888276, 23.6217399 62.5888689, 23.621795 62.5889084)",,,,,
10209535,Kirkkotie,tertiary,40,False,True,186.36700000000002,"LINESTRING (23.6212793 62.5887583, 23.6213283 62.5886761, 23.6213496 62.588581, 23.6213353 62.5885074, 23.6213197 62.5884585, 23.6212792 62.5883938, 23.6211684 62.5882944, 23.6210003 62.5881714, 23.620925 62.5881262, 23.6208102 62.5880485, 23.620616 62.5879405, 23.6200945 62.5876274, 23.6200443 62.5875972, 23.6199485 62.5875396, 23.6197324 62.5874096, 23.6196887 62.5873833, 23.6196281 62.5873366)",2,,,,
10209533,Salmentie,secondary,40,False,True,145.888,"LINESTRING (23.6187998 62.5864694, 23.6190074 62.586397, 23.6195086 62.5861905, 23.6196211 62.5861437, 23.6198411 62.5860521, 23.6201204 62.5859414, 23.6202621 62.5858852, 23.6203961 62.5858371, 23.6204931 62.5858023, 23.6206403 62.5857494, 23.6208174 62.5857013, 23.6210293 62.5856631)",2,17263,,,
10209535,Kirkkotie,tertiary,40,False,False,100.74600000000001,"LINESTRING (23.6187998 62.5864694, 23.6189141 62.5866117, 23.6194638 62.5871749, 23.6195239 62.5872392, 23.6195814 62.5873006)",2,,,,
37278210,Järviluomantie,secondary,40,False,False,127.35899999999998,"LINESTRING (23.6187998 62.5864694, 23.6186767 62.5863275, 23.6183361 62.5860126, 23.6182249 62.585924, 23.6181365 62.5858535, 23.6176424 62.5854571)",2,,yes,,
136333873,Kuulantie,secondary,40,False,False,215.16499999999996,"LINESTRING (23.6187998 62.5864694, 23.6185509 62.586512, 23.6180609 62.5865827, 23.61749 62.5866238, 23.6173653 62.5866328, 23.6172117 62.5866438, 23.6170741 62.5866495, 23.616809 62.5866604, 23.616357 62.586679, 23.6160353 62.5866923, 23.6159067 62.5866974, 23.6157898 62.5867024, 23.6156819 62.5867068, 23.6149086 62.5867466, 23.6146589 62.5867545)",2,17263,,,
"[719922651, 122987157]",Virtaintie,primary,80,True,False,74.255,"LINESTRING (23.6130939 62.5870402, 23.6131149 62.5871869, 23.6131342 62.5872747, 23.613175 62.5876194, 23.6131766 62.5877067)",3,66,,,
10209535,Kirkkotie,tertiary,40,False,False,4.663,"LINESTRING (23.6195814 62.5873006, 23.6196281 62.5873366)",2,,,,
10209535,Kirkkotie,tertiary,40,False,True,100.746,"LINESTRING (23.6195814 62.5873006, 23.6195239 62.5872392, 23.6194638 62.5871749, 23.6189141 62.5866117, 23.6187998 62.5864694)",2,,,,
133027613,Potrettipolku,residential,,False,True,64.706,"LINESTRING (23.6195814 62.5873006, 23.6196769 62.5872603, 23.6198704 62.5871893, 23.6202298 62.5870534, 23.6205088 62.5869077)",,,,,
"[22818226, 142408738]",Viispuistontie,residential,40,False,True,261.472,"LINESTRING (23.6150997 62.5895133, 23.6147404 62.5894581, 23.6144701 62.5894454, 23.6132922 62.5893874, 23.612936 62.5893723, 23.611721 62.589329, 23.611508 62.5893125, 23.6112301 62.5892461, 23.6110535 62.5892037, 23.6103563 62.5890297, 23.6101817 62.5890239)",,,,,
143030468,Lähteentie,residential,40,False,False,147.61400000000003,"LINESTRING (23.6150997 62.5895133, 23.615509 62.5896442, 23.6159275 62.589775, 23.6160678 62.5898614, 23.6161603 62.5899588, 23.616185 62.5900377, 23.6161993 62.5900834, 23.6162225 62.5901578, 23.6161587 62.5903856, 23.616098 62.5905339, 23.616084 62.590603)",,,yes,,
143030468,Lähteentie,residential,40,False,True,113.195,"LINESTRING (23.6150997 62.5895133, 23.6150859 62.5894037, 23.6150823 62.5893341, 23.6150155 62.5890193, 23.6149974 62.5889091, 23.6149962 62.5889018, 23.6148707 62.58876, 23.6147244 62.5886564, 23.6146315 62.588536)",,,yes,,
"[22818226, 142408738]",Viispuistontie,residential,40,False,False,261.472,"LINESTRING (23.6101817 62.5890239, 23.6103563 62.5890297, 23.6110535 62.5892037, 23.6112301 62.5892461, 23.611508 62.5893125, 23.611721 62.589329, 23.612936 62.5893723, 23.6132922 62.5893874, 23.6144701 62.5894454, 23.6147404 62.5894581, 23.6150997 62.5895133)",,,,,
123079622,Kolistontie,tertiary,40,False,False,65.394,"LINESTRING (23.6101817 62.5890239, 23.61027 62.5889587, 23.6104721 62.5887698, 23.6105366 62.5886793, 23.6105686 62.5885846, 23.610548 62.5884754)",,,,,
123079622,Kolistontie,tertiary,40,False,True,74.818,"LINESTRING (23.6101817 62.5890239, 23.6099681 62.5892903, 23.6098184 62.5895065, 23.609798 62.5895456, 23.6097204 62.589662)",,,,,
138925322,Viistie,residential,,False,True,65.072,"LINESTRING (23.6101817 62.5890239, 23.6100098 62.5889955, 23.6093113 62.5888914, 23.6089988 62.5888145)",,,,,
"[160337912, 10209533, 123693846]",Salmentie,secondary,40,False,"[False, True]",326.74,"LINESTRING (23.6273783 62.5857538, 23.6266162 62.5857562, 23.6263668 62.5857488, 23.6258417 62.5857426, 23.6251765 62.5857347, 23.6249655 62.5857298, 23.6240859 62.5857222, 23.623542 62.5857035, 23.6232877 62.5856797, 23.6224104 62.5856126, 23.6218643 62.5856032, 23.6215147 62.5856148, 23.6214243 62.5856221, 23.6212327 62.5856377, 23.6210293 62.5856631)",2,17263,,yes,
152977346,Tusantie,tertiary,,False,True,115.41199999999999,"LINESTRING (23.6273783 62.5857538, 23.627407 62.5857023, 23.6275998 62.585472, 23.6279896 62.5849951, 23.6281741 62.5847831)",,17267,,,
37278210,Järviluomantie,secondary,40,False,False,118.25499999999998,"LINESTRING (23.6176424 62.5854571, 23.6175736 62.5854069, 23.617538 62.5853795, 23.6174292 62.5852956, 23.6171939 62.5851141, 23.6169166 62.5849003, 23.6166142 62.5846362, 23.6164976 62.5845339)",2,,yes,,
37278210,Järviluomantie,secondary,40,False,True,127.359,"LINESTRING (23.6176424 62.5854571, 23.6181365 62.5858535, 23.6182249 62.585924, 23.6183361 62.5860126, 23.6186767 62.5863275, 23.6187998 62.5864694)",2,,yes,,
