osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes,junction
"[25836664, 172226550]",Kissankulma,residential,30,False,False,161.574,"LINESTRING (25.5190155 64.9087112, 25.5169519 64.9085881, 25.5167324 64.9085917, 25.5165209 64.9087844, 25.5163171 64.9090335)",,,,
38292623,Kaartotie,residential,50,False,False,49.09,"LINESTRING (25.5190155 64.9087112, 25.5189654 64.9084902, 25.5187902 64.9082837)",,,,
38292623,Kaartotie,residential,50,False,True,168.76600000000002,"LINESTRING (25.5190155 64.9087112, 25.5187717 64.909412, 25.5186499 64.9095734, 25.5184584 64.9097872, 25.5182161 64.9099413, 25.5178502 64.9101056)",,,,
38292623,Kaartotie,residential,50,False,True,49.09,"LINESTRING (25.5187902 64.9082837, 25.5189654 64.9084902, 25.5190155 64.9087112)",,,,
60117963,Kaartotie,residential,,True,False,38.582,"LINESTRING (25.5187902 64.9082837, 25.5185566 64.9081281, 25.5184122 64.9080539, 25.5182918 64.9080116)",,,,
38292620,Rentolantie,residential,30,False,False,35.671,"LINESTRING (25.5178502 64.9101056, 25.5180086 64.9101792, 25.5180798 64.910221, 25.5183142 64.9103584)",,,,
38292623,Kaartotie,residential,50,False,False,168.76600000000002,"LINESTRING (25.5178502 64.9101056, 25.5182161 64.9099413, 25.5184584 64.9097872, 25.5186499 64.9095734, 25.5187717 64.909412, 25.5190155 64.9087112)",,,,
38292623,Kaartotie,residential,50,False,True,81.402,"LINESTRING (25.5178502 64.9101056, 25.5174765 64.9102268, 25.5163953 64.9104978)",,,,
19209773,Välitie,residential,30,False,True,119.629,"LINESTRING (25.5208175 64.9105336, 25.5183142 64.9103584)",,,,
"[19746088, 19746089, 19071593]",Ketolanperäntie,secondary,50,False,"[False, True]",569.1220000000001,"LINESTRING (25.508552 64.9112788, 25.5088553 64.910732, 25.5096618 64.9100909, 25.5100747 64.9098534, 25.5105458 64.9096703, 25.5112333 64.9094522, 25.5119091 64.9092884, 25.512595 64.9091352, 25.5141487 64.9088676, 25.5148818 64.9087262, 25.5156583 64.908498, 25.5166646 64.9082021, 25.517201 64.9080597)",847,yes,,
60833536,Ketolanperäntie,secondary,50,True,False,62.43099999999999,"LINESTRING (25.508552 64.9112788, 25.5085335 64.9115738, 25.5085513 64.9116304, 25.5085886 64.9116975, 25.5086268 64.9117675, 25.5087148 64.9118249)",847,,1,
19792868,Eteläsuomentie,secondary,50,False,False,146.683,"LINESTRING (25.5088754 64.913326, 25.5089289 64.9137481, 25.5090643 64.9146427)",847,,2,
60833543,Eteläsuomentie,secondary,50,True,False,128.479,"LINESTRING (25.5088754 64.913326, 25.5085866 64.9122954, 25.5085381 64.9122427, 25.5084927 64.9121848)",847,,1,
"[19746088, 19071593, 19746089]",Ketolanperäntie,secondary,50,False,"[False, True]",569.122,"LINESTRING (25.517201 64.9080597, 25.5166646 64.9082021, 25.5156583 64.908498, 25.5148818 64.9087262, 25.5141487 64.9088676, 25.512595 64.9091352, 25.5119091 64.9092884, 25.5112333 64.9094522, 25.5105458 64.9096703, 25.5100747 64.9098534, 25.5096618 64.9100909, 25.5088553 64.910732, 25.508552 64.9112788)",847,yes,,
22703447,,secondary,,True,False,11.059999999999999,"LINESTRING (25.5182918 64.9080116, 25.5181778 64.9079999, 25.518077 64.9079745)",,,,roundabout
19792868,Eteläsuomentie,secondary,50,False,True,223.041,"LINESTRING (25.5093966 64.9166436, 25.5090643 64.9146427)",847,,2,
23853490,Niemeläntie,residential,,False,False,68.623,"LINESTRING (25.5093966 64.9166436, 25.5086255 64.916661, 25.507942 64.9166644)",,,,
23853490,Niemeläntie,residential,,False,True,123.369,"LINESTRING (25.5093966 64.9166436, 25.5103281 64.9166271, 25.5120097 64.9165832)",,,,
23853490,Niemeläntie,residential,,False,True,68.623,"LINESTRING (25.507942 64.9166644, 25.5086255 64.916661, 25.5093966 64.9166436)",,,,
