osmid,oneway,name,highway,reversed,length,maxspeed,ref,geometry,lanes
119056176,True,Intendente Lois,residential,False,101.75,,,"LINESTRING (-55.242631 -34.3730535, -55.2433101 -34.3737768)",
176596400,True,18 de Julio,residential,False,97.943,45,,"LINESTRING (-55.242631 -34.3730535, -55.2417933 -34.3735992)",
119056200,True,Rafael Pérez del Puerto,secondary,False,96.826,45,12,"LINESTRING (-55.2394159 -34.3796039, -55.238586 -34.3801416)",
553332888,True,25 de Mayo,residential,False,96.852,45,,"LINESTRING (-55.2394159 -34.3796039, -55.2387625 -34.3789199)",
119056206,True,Washington Beltrán,residential,False,97.606,45,,"LINESTRING (-55.2336067 -34.3778208, -55.2344299 -34.377265)",
176593571,True,General de la Llana,residential,False,96.186,45,,"LINESTRING (-55.2336067 -34.3778208, -55.2342644 -34.3784943)",
119056206,True,Washington Beltrán,residential,False,97.627,45,,"LINESTRING (-55.2394908 -34.3739907, -55.2403176 -34.3734383)",
179049037,True,Claudio Williman,residential,False,99.962,,,"LINESTRING (-55.2394908 -34.3739907, -55.2388224 -34.3732809)",
119056194,True,Doctor Aníbal del Campo,residential,False,96.804,45,,"LINESTRING (-55.2370852 -34.379987, -55.2364273 -34.3793065)",
176532981,True,Lavalleja,secondary,False,96.437,45,12,"LINESTRING (-55.2370852 -34.379987, -55.237917 -34.379457)",
176596402,True,José Batlle y Ordóñez,residential,False,103.395,45,,"LINESTRING (-55.2388224 -34.3732809, -55.2379429 -34.373862)",
176532981,True,Lavalleja,secondary,False,94.075,45,12,"LINESTRING (-55.2404384 -34.3778509, -55.24125 -34.3773341)",
179049040,True,Florencio Sánchez,residential,False,97.158,,,"LINESTRING (-55.2404384 -34.3778509, -55.2397804 -34.3771664)",
119056208,True,Treinta y Tres,residential,False,101.766,45,,"LINESTRING (-55.2399321 -34.3759505, -55.2408067 -34.3753879)",
176593435,True,Sarandí,residential,False,98.049,,,"LINESTRING (-55.2399321 -34.3759505, -55.2405924 -34.3766437)",
176596400,True,18 de Julio,residential,False,102.314,45,,"LINESTRING (-55.2401357 -34.3746754, -55.2392595 -34.3752443)",
