osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,lanes
977378652,Panagias Pallouras,tertiary,False,False,10.554,"LINESTRING (33.4230459 35.1061273, 33.4231487 35.1060833)",,,
24782793,Panagias Pallouras,secondary,False,True,64.856,"LINESTRING (33.4230459 35.1061273, 33.4226766 35.106292, 33.4225264 35.1063359, 33.4223945 35.1063489)",,,
762504439,Dimokratias Leoforos,secondary,False,True,104.332,"LINESTRING (33.4230459 35.1061273, 33.4229609 35.1060199, 33.422913 35.1059155, 33.4227139 35.1053997, 33.422682 35.1053309, 33.4226306 35.1052578)",,,
722663127,,residential,False,True,50.455,"LINESTRING (33.4249611 35.110585, 33.4246497 35.1102095)",,,
8043760,Archaias Ledras,unclassified,False,True,194.971,"LINESTRING (33.4249611 35.110585, 33.4242204 35.1101618, 33.4240741 35.1100782, 33.4234958 35.1097374, 33.4232078 35.1095765)",30,,
8014999,,secondary,True,False,68.251,"LINESTRING (33.4232078 35.1095765, 33.4226207 35.1091943)",,E119,
8043760,Archaias Ledras,unclassified,False,False,194.971,"LINESTRING (33.4232078 35.1095765, 33.4234958 35.1097374, 33.4240741 35.1100782, 33.4242204 35.1101618, 33.4249611 35.110585)",30,,
24782725,,residential,False,False,60.788,"LINESTRING (33.4232078 35.1095765, 33.4231775 35.109219, 33.4231641 35.109031)",,,
8043758,,secondary,False,True,40.431,"LINESTRING (33.4223945 35.1063489, 33.4223973 35.1067125)",,E119,
24782793,Panagias Pallouras,secondary,False,False,64.856,"LINESTRING (33.4223945 35.1063489, 33.4225264 35.1063359, 33.4226766 35.106292, 33.4230459 35.1061273)",,,
762504438,,secondary,False,False,66.836,"LINESTRING (33.4223945 35.1063489, 33.4223038 35.1063337, 33.4222282 35.1063154, 33.4217949 35.1061926, 33.4217325 35.1061911, 33.4216953 35.1062076)",,E146,
183922972,,residential,False,False,50.798,"LINESTRING (33.4225348 35.1036018, 33.4220771 35.1038635)",,,
183923002,,residential,False,True,33.77,"LINESTRING (33.4225348 35.1036018, 33.4228394 35.1037754)",,,
