osmid,lanes,ref,name,highway,oneway,reversed,length,maxspeed,geometry,junction
527833840,2,F210,Archiepiskopou Makariou III Avenue,tertiary,False,False,66.231,,"LINESTRING (33.5917051 34.9472888, 33.5918164 34.9478774)",
1087995941,2,E207,Leoforos Kyriakou Matsi,secondary,False,True,61.386,50,"LINESTRING (33.5917051 34.9472888, 33.5923118 34.9470491)",
1258714705,2,,Archiepiskopou Makariou III Avenue,secondary,False,True,73.045,50,"LINESTRING (33.5917051 34.9472888, 33.5915147 34.9466507)",
1219767911,2,E207,Leoforos Grigori Afxentiou,secondary,False,False,159.917,50,"LINESTRING (33.5917051 34.9472888, 33.5911224 34.9475395, 33.5907252 34.9477105, 33.5906724 34.9477351, 33.5902127 34.9479493, 33.590162 34.9479729)",
1087995941,2,E207,Leoforos Kyriakou Matsi,secondary,False,False,14.268,50,"LINESTRING (33.5944437 34.9458492, 33.5943037 34.9459066)",
529737869,1,,Michalaki Karaoli,secondary,True,False,46.278999999999996,,"LINESTRING (33.5944437 34.9458492, 33.5945077 34.945896, 33.5945378 34.9459285, 33.5945583 34.9459654, 33.5945692 34.9460158, 33.5945624 34.9460763, 33.5945228 34.9462254)",
537019412,3,E207,Leoforos Kyriakou Matsi,secondary,False,True,32.792,50,"LINESTRING (33.5944437 34.9458492, 33.5946486 34.9457645, 33.5947653 34.945717)",
1087995941,2,E207,Leoforos Kyriakou Matsi,secondary,False,False,12.293,50,"LINESTRING (33.5924333 34.9470011, 33.5923118 34.9470491)",
53015796,,,,residential,False,True,231.419,,"LINESTRING (33.5924333 34.9470011, 33.5926776 34.947499, 33.5928226 34.9480755, 33.5928494 34.9483659, 33.592799 34.9490293)",
1087995941,2,E207,Leoforos Kyriakou Matsi,secondary,False,True,209.71099999999998,50,"LINESTRING (33.5924333 34.9470011, 33.5926069 34.9469122, 33.593004 34.9466579, 33.593013 34.9466523, 33.5937677 34.9461812, 33.5940769 34.9460172, 33.5942715 34.9459198, 33.5943037 34.9459066)",
858659239,,,Voulgaroktonou,residential,True,False,103.53,,"LINESTRING (33.588812 34.948603, 33.5884459 34.9480127, 33.5882973 34.947773)",
"[1267255877, 1219767911]",2,E207,Leoforos Grigori Afxentiou,secondary,False,False,125.76299999999998,50,"LINESTRING (33.588812 34.948603, 33.5886064 34.9487368, 33.5880563 34.9490946, 33.5878856 34.9492242, 33.5877518 34.9493258)",
1219767911,2,E207,Leoforos Grigori Afxentiou,secondary,False,True,141.593,50,"LINESTRING (33.588812 34.948603, 33.5889921 34.9485189, 33.5896595 34.9482074, 33.590162 34.9479729)",
"[1267255874, 766677182]",2,,Stadiou Avenue,tertiary,False,True,58.3,30,"LINESTRING (33.5877518 34.9493258, 33.5877076 34.9492861, 33.5876761 34.9492579, 33.5873205 34.9489386)",
"[22972792, 1267255875]",2,,Michalaki Paridi,tertiary,False,False,87.445,30,"LINESTRING (33.5877518 34.9493258, 33.5878298 34.9494116, 33.5883249 34.9499565)",
"[1267255877, 1219767911]",2,E207,Leoforos Grigori Afxentiou,secondary,False,True,125.763,50,"LINESTRING (33.5877518 34.9493258, 33.5878856 34.9492242, 33.5880563 34.9490946, 33.5886064 34.9487368, 33.588812 34.948603)",
188981466,2,E205,Leoforos 1 Apriliou,secondary,False,False,13.264,30,"LINESTRING (33.5880753 34.9525245, 33.5882196 34.95254)",
30339263,,,Thiseos,residential,False,True,106.94200000000001,,"LINESTRING (33.5880753 34.9525245, 33.5880817 34.9519523, 33.5880595 34.9515632)",
188981466,2,E205,Leoforos 1 Apriliou,secondary,False,True,13.264,30,"LINESTRING (33.5882196 34.95254, 33.5880753 34.9525245)",
