osmid,highway,oneway,reversed,length,geometry,bridge,name
325089071,residential,False,False,144.798,"LINESTRING (13.3741969 -15.0133497, 13.3736658 -15.0121528)",,
325089071,residential,False,True,169.204,"LINESTRING (13.3741969 -15.0133497, 13.3747709 -15.0147668)",,
253770965,residential,False,True,313.197,"LINESTRING (13.3741969 -15.0133497, 13.3750181 -15.0130407, 13.3769141 -15.0123271)",,
325089071,residential,False,False,169.204,"LINESTRING (13.3747709 -15.0147668, 13.3741969 -15.0133497)",,
325089067,residential,False,False,315.077,"LINESTRING (13.3747709 -15.0147668, 13.3757155 -15.0143937, 13.3774863 -15.0136942)",,
325089071,residential,False,True,144.798,"LINESTRING (13.3736658 -15.0121528, 13.3741969 -15.0133497)",,
1192502463,residential,False,False,318.296,"LINESTRING (13.3736658 -15.0121528, 13.3763831 -15.0110102)",,
"[1192502464, 683448218, 683448222]",residential,False,"[False, True]",451.68399999999997,"LINESTRING (13.3736658 -15.0121528, 13.3732715 -15.0112046, 13.3731575 -15.0109352, 13.373156 -15.0109017, 13.3731481 -15.0108588, 13.3731158 -15.0107337, 13.3731496 -15.0106103, 13.3731564 -15.010532, 13.3731462 -15.0104259, 13.3730685 -15.0100212, 13.3730449 -15.00984, 13.3730283 -15.0096292, 13.3729544 -15.0087955, 13.3729029 -15.0082096)",yes,
253770965,residential,False,False,115.133,"LINESTRING (13.3779117 -15.0119481, 13.3769141 -15.0123271)",,
241085507,unclassified,False,False,159.91699999999997,"LINESTRING (13.3779117 -15.0119481, 13.377675 -15.0113044, 13.3773646 -15.0106114)",,
253576741,residential,False,False,157.146,"LINESTRING (13.3763831 -15.0110102, 13.3769141 -15.0123271)",,
1192502463,residential,False,False,114.361,"LINESTRING (13.3763831 -15.0110102, 13.3773646 -15.0106114)",,
1192502463,residential,False,True,318.296,"LINESTRING (13.3763831 -15.0110102, 13.3736658 -15.0121528)",,
"[241759172, 253576741, 711557303]",residential,False,"[False, True]",417.78999999999996,"LINESTRING (13.3763831 -15.0110102, 13.3760077 -15.0100788, 13.3756073 -15.0091566, 13.3755454 -15.0090136, 13.3754493 -15.0087931, 13.3749307 -15.0075249)",yes,"['Rua da Escola', 'rua da escola']"
1192502463,residential,False,True,114.361,"LINESTRING (13.3773646 -15.0106114, 13.3763831 -15.0110102)",,
241085507,unclassified,False,True,159.91699999999997,"LINESTRING (13.3773646 -15.0106114, 13.377675 -15.0113044, 13.3779117 -15.0119481)",,
253576741,residential,False,False,163.967,"LINESTRING (13.3769141 -15.0123271, 13.3774863 -15.0136942)",,
253576741,residential,False,True,157.146,"LINESTRING (13.3769141 -15.0123271, 13.3763831 -15.0110102)",,
253770965,residential,False,True,115.133,"LINESTRING (13.3769141 -15.0123271, 13.3779117 -15.0119481)",,
253770965,residential,False,False,313.197,"LINESTRING (13.3769141 -15.0123271, 13.3750181 -15.0130407, 13.3741969 -15.0133497)",,
253576741,residential,False,True,163.967,"LINESTRING (13.3774863 -15.0136942, 13.3769141 -15.0123271)",,
325089067,residential,False,True,315.077,"LINESTRING (13.3774863 -15.0136942, 13.3757155 -15.0143937, 13.3747709 -15.0147668)",,
"[1192502464, 683448218, 683448222]",residential,False,"[False, True]",451.6840000000001,"LINESTRING (13.3729029 -15.0082096, 13.3729544 -15.0087955, 13.3730283 -15.0096292, 13.3730449 -15.00984, 13.3730685 -15.0100212, 13.3731462 -15.0104259, 13.3731564 -15.010532, 13.3731496 -15.0106103, 13.3731158 -15.0107337, 13.3731481 -15.0108588, 13.373156 -15.0109017, 13.3731575 -15.0109352, 13.3732715 -15.0112046, 13.3736658 -15.0121528)",yes,
711555767,residential,False,False,231.611,"LINESTRING (13.3729029 -15.0082096, 13.3735236 -15.008057, 13.3738562 -15.007974, 13.3743122 -15.007816, 13.3749307 -15.0075249)",,
711555767,residential,False,True,93.29899999999999,"LINESTRING (13.3729029 -15.0082096, 13.3722845 -15.0083834, 13.3720618 -15.0084119)",,
711555767,residential,False,True,231.611,"LINESTRING (13.3749307 -15.0075249, 13.3743122 -15.007816, 13.3738562 -15.007974, 13.3735236 -15.008057, 13.3729029 -15.0082096)",,
"[241759172, 253576741, 711557303]",residential,False,"[False, True]",417.7900000000001,"LINESTRING (13.3749307 -15.0075249, 13.3754493 -15.0087931, 13.3755454 -15.0090136, 13.3756073 -15.0091566, 13.3760077 -15.0100788, 13.3763831 -15.0110102)",yes,"['Rua da Escola', 'rua da escola']"
711555767,residential,False,False,93.29899999999999,"LINESTRING (13.3720618 -15.0084119, 13.3722845 -15.0083834, 13.3729029 -15.0082096)",,
