osmid,lanes,ref,highway,oneway,reversed,length,geometry,junction,name
323619668,2,EN230,primary,False,False,145.678,"LINESTRING (20.3989497 -9.6589236, 20.3991382 -9.6589188, 20.4002784 -9.6588983)",,
477964447,1,EN230,primary,True,False,51.111000000000004,"LINESTRING (20.3989497 -9.6589236, 20.3987866 -9.6588858, 20.3987191 -9.6588608, 20.3986438 -9.6588256, 20.3985811 -9.6587982, 20.3985167 -9.6587609)",,
477964449,1,EN230,primary,True,False,5.64,"LINESTRING (20.3979975 -9.6593819, 20.398048 -9.6593916)",roundabout,
477964414,2,,tertiary,False,False,40.497,"LINESTRING (20.3976306 -9.6596085, 20.3974204 -9.659908)",,Rua Principal de Saurimo
477964415,1,,tertiary,True,False,47.657000000000004,"LINESTRING (20.3976306 -9.6596085, 20.3976991 -9.6595508, 20.3977601 -9.6595078, 20.3978454 -9.6594595, 20.3979183 -9.6594205, 20.3979975 -9.6593819)",,
477964417,2,,tertiary,False,False,95.703,"LINESTRING (20.396102 -9.6574046, 20.3966084 -9.6567035)",,
477964417,2,,tertiary,False,True,11.578,"LINESTRING (20.396102 -9.6574046, 20.3960389 -9.6574881)",,
477964421,1,,tertiary,True,False,252.775,"LINESTRING (20.396102 -9.6574046, 20.3942532 -9.656046)",,
477964417,2,,tertiary,False,False,11.578,"LINESTRING (20.3960389 -9.6574881, 20.396102 -9.6574046)",,
477964420,1,,tertiary,True,False,154.83,"LINESTRING (20.3960389 -9.6574881, 20.3971735 -9.6583174)",,
477964417,2,,tertiary,False,True,246.715,"LINESTRING (20.3960389 -9.6574881, 20.3950214 -9.6588702, 20.3950097 -9.6588861, 20.3947202 -9.6592861)",,
606921964,,,tertiary_link,False,False,10.145,"LINESTRING (20.3971735 -9.6583174, 20.3972282 -9.6582438)",,
477964420,1,,tertiary,True,False,86.682,"LINESTRING (20.3971735 -9.6583174, 20.3973278 -9.6584634, 20.3974366 -9.6585939, 20.3975365 -9.6587498, 20.3976574 -9.6589292)",,
606921964,,,tertiary_link,False,True,10.145,"LINESTRING (20.3972282 -9.6582438, 20.3971735 -9.6583174)",,
