osmid,oneway,name,highway,maxspeed,reversed,length,geometry,width,lanes,junction,access
233205211,True,Lumumba Avenue,secondary,30,False,4.973,"LINESTRING (32.5791714 0.3165923, 32.5792092 0.3165684)",,,,
220417011,False,Sezibwa Road,tertiary,,True,114.026,"LINESTRING (32.584662 0.3218784, 32.5843895 0.3213127, 32.5842369 0.3209456)",,,,
373222437,False,,residential,,True,269.159,"LINESTRING (32.584662 0.3218784, 32.5850302 0.3211711, 32.5851792 0.3209236, 32.5853713 0.3205625, 32.5855776 0.3201763, 32.585807 0.3197462)",10,,,
45825717,False,Kintu Road,tertiary,,True,295.8550000000001,"LINESTRING (32.585807 0.3197462, 32.5855192 0.319563, 32.5853357 0.3194092, 32.5852414 0.3193134, 32.585155 0.3192228, 32.5850843 0.319137, 32.5850114 0.3190296, 32.584961 0.3189384, 32.5849282 0.3188843, 32.584855 0.3187392, 32.5847176 0.3184804, 32.5846078 0.3183319, 32.5844673 0.3181879, 32.5843929 0.318117, 32.5843476 0.3180739, 32.5841926 0.3179712, 32.5841265 0.3179318, 32.5840302 0.3178878, 32.5839968 0.3178729)",,,,
373222437,False,,residential,,False,269.159,"LINESTRING (32.585807 0.3197462, 32.5855776 0.3201763, 32.5853713 0.3205625, 32.5851792 0.3209236, 32.5850302 0.3211711, 32.584662 0.3218784)",10,,,
"[894642376, 373222437, 894642375]",False,,residential,,True,274.183,"LINESTRING (32.585807 0.3197462, 32.5858676 0.319615, 32.5859273 0.3194924, 32.5859498 0.3194249, 32.5859667 0.3193341, 32.5859709 0.3193113, 32.5859756 0.3191893, 32.5859702 0.3190411, 32.5859528 0.3188916, 32.5858884 0.3185319, 32.5858488 0.3182567, 32.5857587 0.3177289, 32.5857295 0.3175531, 32.5856772 0.3173392)",10,,,
1213493391,True,Dastur Street,unclassified,,False,12.021,"LINESTRING (32.5796876 0.3135868, 32.5797328 0.313685)",,,,
1213494062,True,Kampala Road,primary,,False,78.148,"LINESTRING (32.5796876 0.3135868, 32.5791241 0.3140068)",,,,
26702373,False,,residential,,False,82.35600000000001,"LINESTRING (32.5852662 0.3167277, 32.5853636 0.3168296, 32.5854076 0.3168859, 32.5855156 0.3170399, 32.5856309 0.3172535, 32.5856772 0.3173392)",7,2,,
392580744,True,Dastur Street,unclassified,,False,30.524,"LINESTRING (32.5796853 0.3133123, 32.5796876 0.3135868)",,,,
45825717,False,Kintu Road,tertiary,,False,26.103,"LINESTRING (32.5837816 0.3177791, 32.5839968 0.3178729)",,,,
