osmid,oneway,lanes,highway,reversed,length,ref,geometry
203022666,False,2,tertiary,True,170.808,,"LINESTRING (0.0175671 11.1002042, 0.0160108 11.1003696)"
48923853,False,2,trunk,False,65.136,N1,"LINESTRING (0.0175671 11.1002042, 0.0175028 11.1003161, 0.017281 11.1007183)"
48923853,False,2,trunk,True,183.529,N1,"LINESTRING (0.0175671 11.1002042, 0.0176328 11.1001042, 0.0179413 11.0996962, 0.0180861 11.0995133, 0.0182042 11.0993778, 0.0183383 11.0992343, 0.018636 11.0989341)"
959737377,False,,unclassified,True,220.074,,"LINESTRING (0.012371 11.0975893, 0.0129147 11.0979675, 0.0134687 11.0984807, 0.0138471 11.0989231)"
183091750,False,,residential,True,93.075,,"LINESTRING (0.0202118 11.0977867, 0.019954 11.0985846)"
48923853,False,2,trunk,False,215.18400000000003,N1,"LINESTRING (0.0202118 11.0977867, 0.0198591 11.0979788, 0.0194688 11.0982236, 0.0193106 11.0983355, 0.0191349 11.098471, 0.0189605 11.0986211, 0.018636 11.0989341)"
183091756,False,,residential,False,240.993,,"LINESTRING (0.0138471 11.0989231, 0.0160557 11.0989282)"
959737377,False,,unclassified,True,117.407,,"LINESTRING (0.0138471 11.0989231, 0.0138593 11.0999789)"
959737377,False,,unclassified,False,220.07399999999998,,"LINESTRING (0.0138471 11.0989231, 0.0134687 11.0984807, 0.0129147 11.0979675, 0.012371 11.0975893)"
183091756,False,,residential,True,281.551,,"LINESTRING (0.018636 11.0989341, 0.0160557 11.0989282)"
48923853,False,2,trunk,False,183.529,N1,"LINESTRING (0.018636 11.0989341, 0.0183383 11.0992343, 0.0182042 11.0993778, 0.0180861 11.0995133, 0.0179413 11.0996962, 0.0176328 11.1001042, 0.0175671 11.1002042)"
48923853,False,2,trunk,True,215.184,N1,"LINESTRING (0.018636 11.0989341, 0.0189605 11.0986211, 0.0191349 11.098471, 0.0193106 11.0983355, 0.0194688 11.0982236, 0.0198591 11.0979788, 0.0202118 11.0977867)"
183091750,False,,residential,False,66.119,,"LINESTRING (0.0197767 11.0991532, 0.019954 11.0985846)"
183091750,False,,residential,True,268.174,,"LINESTRING (0.0197767 11.0991532, 0.0192804 11.0997596, 0.0189495 11.1002514, 0.0185602 11.1008197, 0.0183781 11.1011321)"
183091774,False,,residential,True,176.023,,"LINESTRING (0.0160108 11.1003696, 0.0148209 11.1014385)"
203022666,False,2,tertiary,False,170.808,,"LINESTRING (0.0160108 11.1003696, 0.0175671 11.1002042)"
203022666,False,2,tertiary,True,162.776,,"LINESTRING (0.0160108 11.1003696, 0.0145283 11.1005327)"
183091769,False,,residential,False,105.66,,"LINESTRING (0.0145283 11.1005327, 0.0148209 11.1014385)"
203022666,False,2,tertiary,False,162.776,,"LINESTRING (0.0145283 11.1005327, 0.0160108 11.1003696)"
203022666,False,2,tertiary,True,73.544,,"LINESTRING (0.0145283 11.1005327, 0.0138673 11.100662)"
203022666,False,2,tertiary,False,73.544,,"LINESTRING (0.0138673 11.100662, 0.0145283 11.1005327)"
203022666,False,2,tertiary,True,46.578,,"LINESTRING (0.0138673 11.100662, 0.0134424 11.1007022)"
959737377,False,,unclassified,False,75.962,,"LINESTRING (0.0138673 11.100662, 0.0138593 11.0999789)"
959737377,False,,unclassified,True,125.993,,"LINESTRING (0.0138673 11.100662, 0.013799 11.1017931)"
203022666,False,2,tertiary,True,12.695,,"LINESTRING (0.0118053 11.1009031, 0.0116961 11.1009425)"
183091749,False,,residential,False,149.436,,"LINESTRING (0.0118053 11.1009031, 0.012161 11.1013907, 0.0127402 11.1018712)"
203022666,False,2,tertiary,False,180.04399999999998,,"LINESTRING (0.0118053 11.1009031, 0.0127026 11.1007807, 0.0134424 11.1007022)"
183091750,False,,residential,True,81.773,,"LINESTRING (0.0183781 11.1011321, 0.0181806 11.1018415)"
183091750,False,,residential,False,268.174,,"LINESTRING (0.0183781 11.1011321, 0.0185602 11.1008197, 0.0189495 11.1002514, 0.0192804 11.0997596, 0.0197767 11.0991532)"
460110370,False,,residential,True,128.516,,"LINESTRING (0.0183781 11.1011321, 0.0181292 11.1010637, 0.0178624 11.1009761, 0.017281 11.1007183)"
1258736784,False,,residential,True,131.117,,"LINESTRING (0.0183781 11.1011321, 0.0187111 11.1012149, 0.018746 11.1012228, 0.0187822 11.1012662, 0.0188479 11.1016413, 0.0189055 11.1020072)"
183091759,False,,residential,True,120.74,,"LINESTRING (0.0148209 11.1014385, 0.0158713 11.10178)"
183091769,False,,residential,False,194.323,,"LINESTRING (0.0148209 11.1014385, 0.0152545 11.1031335)"
