osmid,highway,width,oneway,reversed,length,geometry,name
177515627,residential,3,False,True,185.00799999999998,"LINESTRING (61.2298795 54.7870773, 61.230253 54.7870049, 61.2306315 54.7868646, 61.230794 54.7867246, 61.2308676 54.7866514, 61.2308783 54.786559, 61.2308565 54.7864563, 61.2308093 54.7863571, 61.2306984 54.7861571, 61.2304912 54.7857595)",
349375978,residential,,False,True,146.734,"LINESTRING (61.2318517 54.784658, 61.2313609 54.7833691)",Гвардейская улица
"[110032848, 177515627]",residential,3,False,False,195.803,"LINESTRING (61.2318517 54.784658, 61.2303953 54.784962, 61.2302935 54.785008, 61.2302194 54.7850628, 61.2301889 54.7851518, 61.2302169 54.7852469, 61.230392 54.7855644, 61.2304912 54.7857595)",
"[110032848, 48016574]",residential,,False,True,139.765,"LINESTRING (61.2318517 54.784658, 61.2334415 54.784495, 61.2337199 54.7843795, 61.2337687 54.7842546)",улица Кирова
48016574,residential,,False,True,114.171,"LINESTRING (61.2337687 54.7842546, 61.2333716 54.7832537)",улица Кирова
"[110032848, 48016574]",residential,,False,False,139.765,"LINESTRING (61.2337687 54.7842546, 61.2337199 54.7843795, 61.2334415 54.784495, 61.2318517 54.784658)",улица Кирова
110032916,residential,,False,False,179.138,"LINESTRING (61.2337687 54.7842546, 61.2349552 54.7841662, 61.2354695 54.7838129, 61.2361991 54.7836273)",
110032863,residential,,False,False,5.895,"LINESTRING (61.2396244 54.7830804, 61.239715 54.7830894)",
110032863,residential,,False,False,90.252,"LINESTRING (61.2405689 54.7830111, 61.2418701 54.7833205)",
110032863,residential,,False,True,55.538,"LINESTRING (61.2405689 54.7830111, 61.2402067 54.783059, 61.239715 54.7830894)",
654301108,residential,,False,True,88.621,"LINESTRING (61.239448 54.7841539, 61.2408287 54.7841894)",улица Калинина
655068006,residential,,False,False,47.378,"LINESTRING (61.239448 54.7841539, 61.2395525 54.7837321)",улица Калинина
"[48016573, 655068006]",residential,,False,True,570.7570000000001,"LINESTRING (61.239448 54.7841539, 61.2392431 54.7844434, 61.2384687 54.7855728, 61.2374683 54.7869379, 61.2374379 54.7871164, 61.2374166 54.787229, 61.2374554 54.7873308, 61.2375818 54.7874139, 61.2378699 54.7875291, 61.2388536 54.7878206, 61.2389987 54.7879122, 61.2391456 54.7881207, 61.2391887 54.7882979, 61.2391618 54.7883377, 61.2390253 54.7885278)","['улица Нефтебазы', 'улица Калинина']"
110032928,residential,,False,False,51.626,"LINESTRING (61.2438372 54.7840951, 61.2430359 54.7841403)",
353392577,residential,,False,True,307.49,"LINESTRING (61.2426515 54.7868611, 61.2428509 54.7863556, 61.2431084 54.7858607, 61.2432265 54.7854029, 61.2430359 54.7841403)",Первомайская улица
110032863,residential,,False,True,90.252,"LINESTRING (61.2418701 54.7833205, 61.2405689 54.7830111)",
48016574,residential,,False,False,114.171,"LINESTRING (61.2333716 54.7832537, 61.2337687 54.7842546)",улица Кирова
177515636,residential,,False,False,130.1,"LINESTRING (61.2333716 54.7832537, 61.2326985 54.7833263, 61.2321424 54.7833753, 61.2313609 54.7833691)",
655068006,residential,,False,False,72.221,"LINESTRING (61.2395525 54.7837321, 61.239715 54.7830894)",улица Калинина
655068006,residential,,False,True,47.378,"LINESTRING (61.2395525 54.7837321, 61.239448 54.7841539)",улица Калинина
110032916,residential,,False,True,215.649,"LINESTRING (61.2395525 54.7837321, 61.237914 54.7836459, 61.2367273 54.7836581, 61.2361991 54.7836273)",
110032933,residential,,False,True,66.19,"LINESTRING (61.2361991 54.7836273, 61.2359086 54.7841985)",улица Карла Маркса
110032916,residential,,False,False,215.649,"LINESTRING (61.2361991 54.7836273, 61.2367273 54.7836581, 61.237914 54.7836459, 61.2395525 54.7837321)",
110032916,residential,,False,True,179.138,"LINESTRING (61.2361991 54.7836273, 61.2354695 54.7838129, 61.2349552 54.7841662, 61.2337687 54.7842546)",
110032928,residential,,False,True,16.551,"LINESTRING (61.2427778 54.7841382, 61.2430359 54.7841403)",
110032928,residential,,False,False,125.12899999999999,"LINESTRING (61.2427778 54.7841382, 61.241337 54.7841848, 61.2408287 54.7841894)",
110032933,residential,,False,False,66.19,"LINESTRING (61.2359086 54.7841985, 61.2361991 54.7836273)",улица Карла Маркса
110175265,residential,,False,True,294.04400000000004,"LINESTRING (61.2398535 54.7866862, 61.2398567 54.7853408, 61.239954 54.7850871, 61.2403509 54.7847877, 61.2407199 54.7844037, 61.2408287 54.7841894)",Заозёрная улица
48016573,residential,,False,False,125.478,"LINESTRING (61.2387159 54.7896193, 61.2387998 54.7894104, 61.2388106 54.7888757, 61.2388995 54.7886142, 61.2390253 54.7885278)",улица Нефтебазы
177515617,residential,4,False,True,389.03,"LINESTRING (61.2387159 54.7896193, 61.2366061 54.7897826, 61.2350652 54.7899104, 61.232719 54.7901491)",улица Заводская площадь
654301108,residential,,False,False,88.621,"LINESTRING (61.2408287 54.7841894, 61.239448 54.7841539)",улица Калинина
110032928,residential,,False,True,125.12899999999999,"LINESTRING (61.2408287 54.7841894, 61.241337 54.7841848, 61.2427778 54.7841382)",
110175265,residential,,False,False,294.044,"LINESTRING (61.2408287 54.7841894, 61.2407199 54.7844037, 61.2403509 54.7847877, 61.239954 54.7850871, 61.2398567 54.7853408, 61.2398535 54.7866862)",Заозёрная улица
