osmid,oneway,name,highway,reversed,length,junction,geometry,lanes,bridge,maxspeed
159013189,True,улица Горького,tertiary,False,40.274,,"LINESTRING (86.1771067 69.40189, 86.1766477 69.4022142)",,,
1112459285,True,,tertiary,False,23.564999999999998,roundabout,"LINESTRING (86.1771067 69.40189, 86.1769487 69.4019336, 86.1767479 69.4019321, 86.1765951 69.4018863)",,,
208193384,True,,tertiary,False,111.297,,"LINESTRING (86.1860989 69.4028209, 86.1859846 69.4028838, 86.1856279 69.4030499, 86.1848554 69.4033641, 86.1845684 69.4034773, 86.1842787 69.4035887)",,,
1082263002,True,улица Всесвятского,tertiary,False,14.595,,"LINESTRING (86.1839944 69.4035037, 86.1842787 69.4035887)",2,,
156319722,True,,tertiary,False,47.629,,"LINESTRING (86.1839944 69.4035037, 86.1841741 69.4034254, 86.1847535 69.4031688)",,,
156319735,True,улица Матросова,tertiary,False,85.497,,"LINESTRING (86.1822751 69.404198, 86.183337 69.403764, 86.1837155 69.4036198)",,,
159957995,True,улица 40 лет Победы,residential,False,103.543,,"LINESTRING (86.1822751 69.404198, 86.1821693 69.4041641, 86.1817192 69.4040325, 86.1809474 69.403784, 86.1802961 69.4035798)",,,
156319728,True,улица Горького,tertiary,False,13.335,,"LINESTRING (86.1687863 69.4052804, 86.1690302 69.4051966)",2,,
1082263006,False,улица Бегичева,living_street,False,7.9,,"LINESTRING (86.1687863 69.4052804, 86.1687487 69.4052106)",,,
156319733,True,улица Ленина,residential,False,16.418,,"LINESTRING (86.1742376 69.4062765, 86.1744037 69.4061409)",2,,
156319736,True,улица Островского,tertiary,False,225.53900000000002,,"LINESTRING (86.1742376 69.4062765, 86.1726473 69.406084, 86.1699983 69.4057257, 86.169418 69.4056403, 86.1692154 69.4056163, 86.168907 69.4055247)",2,,
156319737,True,улица Островского,tertiary,False,81.81099999999999,,"LINESTRING (86.1829215 69.4076371, 86.1831897 69.4077899, 86.1834848 69.4079343, 86.1837664 69.4080682, 86.1840454 69.4082559)",,,
692370506,False,улица Ленина,residential,False,110.104,,"LINESTRING (86.1707496 69.4086637, 86.1718258 69.408261, 86.1720694 69.4081254, 86.1721531 69.4080635, 86.1724673 69.4078866)",,,
"[156319737, 159958002]",True,улица Островского,tertiary,False,32.461,,"LINESTRING (86.1840454 69.4082559, 86.1841038 69.4083037, 86.1841401 69.4083456, 86.1840898 69.4084261, 86.1839498 69.4084343, 86.1838477 69.4084188, 86.1837995 69.4084009)",,,
156319734,False,улица Матросова,residential,True,350.147,,"LINESTRING (86.1709745 69.4090315, 86.1724182 69.4085342, 86.1730228 69.4082454, 86.1737796 69.407939, 86.1748508 69.4074437, 86.1746684 69.4073852, 86.1746161 69.4072928, 86.1759521 69.4066738, 86.1760232 69.4066408, 86.1761114 69.4065993)",,,
524931182,False,,tertiary,True,259.86400000000003,,"LINESTRING (86.1781284 69.401642, 86.1789304 69.4016562, 86.1795044 69.4016873, 86.1803144 69.401827, 86.1812049 69.402059, 86.1829438 69.4025914, 86.183649 69.402812)",2,,
1112459282,True,улица Горького,tertiary,False,48.603,,"LINESTRING (86.1781284 69.401642, 86.1778351 69.4017031, 86.1771067 69.40189)",,,
