osmid,name,highway,oneway,reversed,length,geometry,ref,access,lanes
39691236,улица Ленинского Комсомола,tertiary,False,False,225.963,"LINESTRING (59.3863977 54.3156319, 59.3852145 54.3173927, 59.3851185 54.317522)",,,
39691236,улица Ленинского Комсомола,tertiary,False,True,340.47599999999994,"LINESTRING (59.3863977 54.3156319, 59.3864414 54.3155666, 59.3869148 54.3148587, 59.3870555 54.3147073, 59.387593 54.3139031, 59.3881341 54.3130935, 59.3883403 54.3127887)",,,
39691241,улица Муртазина,tertiary,False,True,83.88499999999999,"LINESTRING (59.3863977 54.3156319, 59.3862958 54.3156077, 59.3859763 54.3155344, 59.3851927 54.315358)",,,
39691241,улица Муртазина,tertiary,False,False,233.56,"LINESTRING (59.3770603 54.3134743, 59.3774686 54.313572, 59.3775013 54.3135811, 59.3784381 54.3137918, 59.3787069 54.3138564, 59.3799912 54.3141651, 59.3803974 54.3142628)",,,
39691187,улица Башкортостана,residential,False,False,122.231,"LINESTRING (59.3839326 54.3172514, 59.3832279 54.3182709)",,,
39691187,улица Башкортостана,residential,False,True,225.91,"LINESTRING (59.3839326 54.3172514, 59.384027 54.3171274, 59.3845031 54.3164545, 59.3851449 54.3154246, 59.3851927 54.315358)",,,
68679789,улица Карла Маркса,secondary,False,True,282.16499999999996,"LINESTRING (59.3839326 54.3172514, 59.3837995 54.3172213, 59.3835153 54.3171571, 59.3827291 54.3169795, 59.3826314 54.3169574, 59.3817736 54.3167636, 59.3806645 54.316513, 59.3801164 54.3163863, 59.3798751 54.3163363)",80Н-503,destination,
97190189,улица Карла Маркса,secondary,False,False,82.593,"LINESTRING (59.3839326 54.3172514, 59.3841115 54.3172924, 59.3851185 54.317522)",80Н-503,,
97190189,улица Карла Маркса,secondary,False,True,92.703,"LINESTRING (59.3864479 54.3178282, 59.3856569 54.3176446, 59.3851185 54.317522)",80Н-503,,
39691199,,secondary,False,False,21.597,"LINESTRING (59.3795606 54.3162725, 59.3798751 54.3163363)",,,
49683252,,secondary,False,True,39.431,"LINESTRING (59.3795606 54.3162725, 59.3789976 54.3161387)",,,
39691187,улица Башкортостана,residential,False,True,122.231,"LINESTRING (59.3832279 54.3182709, 59.3839326 54.3172514)",,,
