osmid,oneway,highway,reversed,length,geometry,lanes,name,maxspeed,access
"[28936498, 28936490]",True,primary_link,False,41.329,"LINESTRING (36.591036 50.5913846, 36.5910382 50.5913046, 36.5910816 50.5912423, 36.5911442 50.5912001, 36.5912529 50.5911665, 36.5913928 50.591166)",,,,
28790090,True,primary,False,294.858,"LINESTRING (36.5933615 50.5981541, 36.5932573 50.5981676, 36.5929298 50.5982104, 36.592559 50.5982587, 36.5919974 50.5983321, 36.5918628 50.5983496, 36.5914734 50.5984004, 36.5909802 50.5984648, 36.5907001 50.5985014, 36.589826 50.5986155, 36.5894476 50.5986649, 36.5892695 50.5986881)",3,Преображенская улица,,
42650535,True,tertiary,False,143.37699999999998,"LINESTRING (36.5933615 50.5981541, 36.5933274 50.598063, 36.5931722 50.5976489, 36.5930871 50.5974267, 36.5929315 50.5970204, 36.5928854 50.5969006)",2,улица Николая Чумичова,,
"[148459950, 982184071]",True,primary,False,644.195,"LINESTRING (36.5892695 50.5986881, 36.5891013 50.5987101, 36.5882141 50.5988259, 36.5880741 50.5988441, 36.5879719 50.5988575, 36.5873404 50.5989399, 36.5868272 50.5990069, 36.5857531 50.5991536, 36.5853263 50.5992109, 36.5848786 50.5992612, 36.5838596 50.5993942, 36.5836426 50.5994225, 36.5831069 50.5994924, 36.5828684 50.5995235, 36.5823517 50.5995909, 36.5808856 50.5997823, 36.5803296 50.5998549)","['4', '3']",Преображенская улица,,
148460020,False,secondary,True,139.758,"LINESTRING (36.5892695 50.5986881, 36.5892426 50.5986066, 36.5889226 50.597575, 36.5888854 50.5974551)",4,улица Попова,60,
28798583,False,secondary,True,136.415,"LINESTRING (36.5888854 50.5974551, 36.5888492 50.5973443, 36.588654 50.5967191, 36.5885544 50.5964002, 36.5885081 50.5962519)",4,улица Попова,,
148460003,True,primary,False,288.9870000000001,"LINESTRING (36.5888854 50.5974551, 36.5891134 50.5974235, 36.5893381 50.5973923, 36.5901405 50.5972811, 36.5903661 50.5972499, 36.5905687 50.5972218, 36.590638 50.5972122, 36.5912763 50.5971237, 36.591588 50.5970805, 36.5917603 50.5970566, 36.5919278 50.5970334, 36.5924945 50.5969549, 36.5927727 50.5969163, 36.5928854 50.5969006)",3,проспект Славы,,
148460020,False,secondary,False,139.75799999999998,"LINESTRING (36.5888854 50.5974551, 36.5889226 50.597575, 36.5892426 50.5986066, 36.5892695 50.5986881)",4,улица Попова,60,
148460003,True,primary,False,9.753,"LINESTRING (36.5928854 50.5969006, 36.5930204 50.5968819)",3,проспект Славы,,
42650535,True,tertiary,False,244.267,"LINESTRING (36.5928854 50.5969006, 36.5928553 50.5968171, 36.5926214 50.5961681, 36.5924355 50.5956524, 36.592297 50.5952681, 36.5922335 50.5950919, 36.5921504 50.5948626, 36.5921135 50.5947592)",2,улица Николая Чумичова,,
