osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,junction,width
96412388,4,проспект Обводный Канал,secondary,False,False,259.10699999999997,"LINESTRING (40.5364209 64.5452406, 40.536704 64.5458743, 40.5369506 64.5463842, 40.5374073 64.5471181, 40.5375888 64.5474097, 40.5376505 64.5475088)",,,
96412388,4,проспект Обводный Канал,secondary,False,True,14.634,"LINESTRING (40.5364209 64.5452406, 40.5363957 64.5451637, 40.5363836 64.54511)",,,
178434472,,улица Попова,residential,False,True,163.68699999999998,"LINESTRING (40.5364209 64.5452406, 40.5362226 64.5452619, 40.5358892 64.5453013, 40.5350368 64.545389, 40.5344673 64.545453, 40.5333004 64.5455843, 40.5331035 64.5456064)",,,
"[312539273, 97572475, 252755452]",2,проспект Советских Космонавтов,primary,True,False,88.691,"LINESTRING (40.5325228 64.5420726, 40.5324164 64.5421727, 40.5322733 64.5423172, 40.5321985 64.542404, 40.532115 64.5425009, 40.5320893 64.5425346, 40.5320313 64.5426105, 40.5319582 64.5427083, 40.5318966 64.5428218)",,,
"[170611834, 380355829]",4,Воскресенская улица,primary,False,False,177.818,"LINESTRING (40.5325228 64.5420726, 40.5326901 64.5421066, 40.533405 64.5422508, 40.5342079 64.5424155, 40.5343928 64.5424531, 40.5349052 64.5425574, 40.5352987 64.5426374, 40.5358854 64.5427568)",,,
244217511,4,Воскресенская улица,primary,False,True,186.844,"LINESTRING (40.5325228 64.5420726, 40.5323905 64.542047, 40.5304784 64.5416518, 40.5301837 64.5415893, 40.5297277 64.5414956, 40.5291843 64.541384, 40.5289984 64.5413458)",,,
116204057,,улица Г. Суфтина,residential,False,False,209.35399999999998,"LINESTRING (40.5452871 64.5447093, 40.5454335 64.5445751, 40.5456495 64.544377, 40.5457718 64.5442649, 40.5461981 64.5438851, 40.5469718 64.5431647, 40.5471464 64.5430046)",,,
"[116204052, 199900574]",,улица Г. Суфтина,residential,False,True,185.37199999999999,"LINESTRING (40.5452871 64.5447093, 40.5451502 64.5448296, 40.5449266 64.5450145, 40.5447438 64.5451702, 40.5437629 64.5460023, 40.5434665 64.5461787)",,,
"[669073368, 96412384, 498941549]",4,Воскресенская улица,primary,False,True,363.561,"LINESTRING (40.5452871 64.5447093, 40.5443073 64.5445043, 40.5420425 64.5440306, 40.5401136 64.5436295, 40.5399089 64.5435869, 40.539691 64.5435408, 40.5387999 64.5433522, 40.5384473 64.5432785)",,,
132838582,2,проспект Советских Космонавтов,primary,True,False,228.407,"LINESTRING (40.5319206 64.5436162, 40.5319943 64.5437402, 40.5322479 64.544167, 40.5325679 64.5447053, 40.5326102 64.5447766, 40.5327448 64.545003, 40.5330238 64.5454725, 40.5330538 64.5455229, 40.5331035 64.5456064)",,,
