osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,bridge,name,ref,junction
635300003,True,2,tertiary,60,False,30.181,"LINESTRING (43.5899256 43.4501862, 43.5899936 43.4500682, 43.5900665 43.4499348)",,,,
"[386613095, 673254345, 667564607, 667570326, 62384799]",False,4,tertiary,"['20', '60']",False,511.87300000000016,"LINESTRING (43.5899256 43.4501862, 43.589768 43.4502872, 43.5896402 43.4503691, 43.5894553 43.4504917, 43.5893612 43.4505541, 43.5891017 43.4507269, 43.5888603 43.4508819, 43.5886652 43.4510039, 43.5884205 43.4511446, 43.588166 43.4512718, 43.587998 43.4513495, 43.5878639 43.451404, 43.5875541 43.4515316, 43.5872765 43.4516367, 43.5872308 43.4516526, 43.5869066 43.4517653, 43.5864007 43.4519565, 43.5861157 43.4520594, 43.5859891 43.452111, 43.5850308 43.4525051, 43.5846224 43.4526619)",yes,улица Канукоева,,
"[664452528, 626401219, 750316044, 673232029]",False,2,tertiary,60,False,406.089,"LINESTRING (43.5871196 43.4466055, 43.5872631 43.4467595, 43.5873496 43.4468489, 43.587431 43.4469552, 43.5876179 43.4471869, 43.5877392 43.4473518, 43.5878974 43.4475558, 43.5880038 43.4476807, 43.588252 43.4479124, 43.5886779 43.4483011, 43.5889354 43.4485299, 43.5891037 43.4486779, 43.5892807 43.44882, 43.5893887 43.4489067, 43.5896569 43.4491404, 43.5898367 43.449302, 43.5898816 43.4493417, 43.5899096 43.4493663, 43.5899844 43.4494323, 43.5900259 43.4494689, 43.5900901 43.4495396)",,улица Аттоева,83К-005,
673245371,False,2,tertiary,60,True,43.562,"LINESTRING (43.5871196 43.4466055, 43.5869745 43.4464718, 43.5867856 43.4462978)",,улица Аттоева,83К-005,
"[665717913, 664452525]",True,2,tertiary,60,False,8.882,"LINESTRING (43.5900665 43.4499348, 43.5900926 43.4498889, 43.5901177 43.4498648)",,,83К-005,roundabout
"[750316042, 750316043]",True,2,tertiary,60,False,17.477,"LINESTRING (43.5904395 43.4498674, 43.5904781 43.4499134, 43.590493 43.4499639, 43.5904845 43.4500152)",,,83К-005,roundabout
667570323,True,2,tertiary,60,False,5.048,"LINESTRING (43.5902898 43.4501278, 43.5902275 43.4501239)",,,83К-005,roundabout
635300000,True,1,tertiary,60,False,28.468,"LINESTRING (43.5905932 43.4502583, 43.5902898 43.4501278)",,,83К-005,
"[386613095, 673254345, 667564607, 667570326, 62384799]",False,4,tertiary,"['20', '60']",True,511.87299999999993,"LINESTRING (43.5846224 43.4526619, 43.5850308 43.4525051, 43.5859891 43.452111, 43.5861157 43.4520594, 43.5864007 43.4519565, 43.5869066 43.4517653, 43.5872308 43.4516526, 43.5872765 43.4516367, 43.5875541 43.4515316, 43.5878639 43.451404, 43.587998 43.4513495, 43.588166 43.4512718, 43.5884205 43.4511446, 43.5886652 43.4510039, 43.5888603 43.4508819, 43.5891017 43.4507269, 43.5893612 43.4505541, 43.5894553 43.4504917, 43.5896402 43.4503691, 43.589768 43.4502872, 43.5899256 43.4501862)",yes,улица Канукоева,,
635300004,True,2,tertiary,60,False,25.338,"LINESTRING (43.5902275 43.4501239, 43.5900814 43.4501529, 43.5899256 43.4501862)",,,,
664452526,True,2,tertiary,60,False,27.354,"LINESTRING (43.5902275 43.4501239, 43.5901648 43.4501053, 43.590113 43.4500735, 43.5900774 43.4500317, 43.5900614 43.4499839, 43.5900665 43.4499348)",,,83К-005,roundabout
635300001,True,1,tertiary,60,False,28.42,"LINESTRING (43.5904845 43.4500152, 43.5905932 43.4502583)",,,83К-005,
266382002,True,2,tertiary,60,False,21.329,"LINESTRING (43.5904845 43.4500152, 43.5904565 43.4500586, 43.5904117 43.4500939, 43.5903544 43.4501177, 43.5902898 43.4501278)",,,83К-005,roundabout
673245371,False,2,tertiary,60,False,17.491,"LINESTRING (43.5866475 43.4461766, 43.5867856 43.4462978)",,улица Аттоева,83К-005,
673245371,False,2,tertiary,60,True,17.491,"LINESTRING (43.5867856 43.4462978, 43.5866475 43.4461766)",,улица Аттоева,83К-005,
673245371,False,2,tertiary,60,False,43.562,"LINESTRING (43.5867856 43.4462978, 43.5869745 43.4464718, 43.5871196 43.4466055)",,улица Аттоева,83К-005,
"[626369755, 932450707]",True,2,tertiary,60,False,46.361999999999995,"LINESTRING (43.5900901 43.4495396, 43.5901268 43.4495621, 43.5901773 43.4495999, 43.5903121 43.4497143, 43.5904395 43.4498674)",,,83К-005,
"[664452528, 626401219, 750316044, 673232029]",False,2,tertiary,60,True,406.089,"LINESTRING (43.5900901 43.4495396, 43.5900259 43.4494689, 43.5899844 43.4494323, 43.5899096 43.4493663, 43.5898816 43.4493417, 43.5898367 43.449302, 43.5896569 43.4491404, 43.5893887 43.4489067, 43.5892807 43.44882, 43.5891037 43.4486779, 43.5889354 43.4485299, 43.5886779 43.4483011, 43.588252 43.4479124, 43.5880038 43.4476807, 43.5878974 43.4475558, 43.5877392 43.4473518, 43.5876179 43.4471869, 43.587431 43.4469552, 43.5873496 43.4468489, 43.5872631 43.4467595, 43.5871196 43.4466055)",,улица Аттоева,83К-005,
626369754,True,2,tertiary,60,False,36.272,"LINESTRING (43.5901177 43.4498648, 43.5901149 43.449727, 43.5901082 43.4496437, 43.5900957 43.44958, 43.5900901 43.4495396)",,,83К-005,
664452527,True,2,tertiary,60,False,29.201,"LINESTRING (43.5901177 43.4498648, 43.5901642 43.449837, 43.5902196 43.4498196, 43.5902793 43.449814, 43.5903389 43.4498206, 43.5903937 43.4498389, 43.5904395 43.4498674)",,,83К-005,roundabout
