osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,bridge
235594752,True,2,улица Алабяна,secondary,RU:urban,False,28.607,"LINESTRING (37.5068025 55.8017763, 37.5065992 55.8015458)",,
23228168,True,2,улица Алабяна,secondary,RU:urban,False,268.33900000000006,"LINESTRING (37.5098476 55.8059927, 37.5102001 55.8058291, 37.5103238 55.8057596, 37.510368 55.8057194, 37.5103938 55.805682, 37.5104134 55.8056309, 37.5104085 55.8055715, 37.5103918 55.805532, 37.5103556 55.8054852, 37.5100806 55.8052193, 37.509776 55.8049245, 37.5093317 55.8045062, 37.5092165 55.8043978, 37.5090526 55.8042421, 37.5089665 55.8041604, 37.5087783 55.8039567)",,
"[30495032, 126596493]",True,3,Ленинградский проспект,secondary,RU:urban,False,104.118,"LINESTRING (37.5098476 55.8059927, 37.5107207 55.8057656, 37.5113587 55.8055983)",,
"[1084604856, 27587217]",True,1,,unclassified,,False,158.76000000000002,"LINESTRING (37.5102672 55.8016493, 37.5101034 55.8016747, 37.5099001 55.8017266, 37.5085079 55.8020968, 37.5080395 55.802221, 37.5079603 55.8022438)",6.2,
"[42389664, 1100562176, 1100562140, 1100562175]",False,2,Песчаная улица,tertiary,,True,173.072,"LINESTRING (37.5102672 55.8016493, 37.5104687 55.8016684, 37.5107028 55.8016902, 37.5110923 55.8017265, 37.5117367 55.8017868, 37.5119325 55.8018052, 37.5129988 55.8019051)",,
"[300941920, 1100562187]",False,2,Песчаная улица,tertiary,,False,156.161,"LINESTRING (37.5102672 55.8016493, 37.5098544 55.801614, 37.5090298 55.8015343, 37.5088346 55.8015154, 37.5078757 55.8014179, 37.5078046 55.8014121)",,
"[24672394, 540213603, 1226760239]",True,"['2', '3']",,secondary_link,RU:urban,False,185.077,"LINESTRING (37.5059782 55.8088672, 37.5062125 55.8085211, 37.5063341 55.8083489, 37.5064446 55.8081746, 37.5065057 55.8080792, 37.506707 55.8077321, 37.5067495 55.8076613, 37.506777 55.8076024, 37.5067922 55.8075261, 37.5067806 55.8074612, 37.5067603 55.807408, 37.5067223 55.8073287, 37.5066963 55.807288)",,
24403647,True,2,Ленинградский проспект (дублёр),secondary,RU:urban,False,56.903999999999996,"LINESTRING (37.5065099 55.8066214, 37.5068338 55.8065713, 37.5073915 55.8064934)",,
27648017,True,,Малый Песчаный переулок,tertiary,RU:urban,False,374.073,"LINESTRING (37.5046713 55.8048007, 37.504731 55.8047537, 37.5063983 55.8034425, 37.5064612 55.803381, 37.5065113 55.8033276, 37.506553 55.8032553, 37.5065743 55.8031951, 37.5065912 55.8031385, 37.5066902 55.8025942, 37.506722 55.8024197, 37.5068085 55.801944, 37.5068129 55.8018646, 37.5068025 55.8017763)",,
28178536,False,2,Малый Песчаный переулок,tertiary,RU:urban,False,65.118,"LINESTRING (37.5046713 55.8048007, 37.5041744 55.8051959, 37.5040676 55.805278)",,
