osmid,oneway,highway,reversed,length,geometry,name,lanes,ref,access
60133986,False,residential,True,29.869,"LINESTRING (39.7188604 43.5873916, 39.7191807 43.5872562)",,,,
60133986,False,residential,False,154.88000000000002,"LINESTRING (39.7188604 43.5873916, 39.7185125 43.5875407, 39.7184095 43.5875849, 39.7183275 43.58762, 39.7179421 43.5877852, 39.7178605 43.5878202, 39.7173062 43.5880519, 39.7172013 43.5880958)",,,,
51235444,False,residential,False,130.63,"LINESTRING (39.7215099 43.5885412, 39.721619 43.5884991, 39.7218579 43.5883926, 39.7219549 43.588352, 39.7221397 43.5882746, 39.72242 43.5881572, 39.7228428 43.5879802, 39.7229116 43.5879504)",Зелёный переулок,,,
1130675267,False,residential,True,138.414,"LINESTRING (39.7215099 43.5885412, 39.7214281 43.5885752, 39.720063 43.5891043, 39.7199963 43.5891307)",Зелёный переулок,,,
32133301,True,residential,False,214.02599999999998,"LINESTRING (39.7199963 43.5891307, 39.7198786 43.5889595, 39.719644 43.5885773, 39.7194235 43.5882014, 39.7191074 43.5877517, 39.7190672 43.587691, 39.7189257 43.5874774, 39.7188604 43.5873916)",,,,
1130675267,False,residential,False,138.414,"LINESTRING (39.7199963 43.5891307, 39.720063 43.5891043, 39.7214281 43.5885752, 39.7215099 43.5885412)",Зелёный переулок,,,
89726416,False,residential,True,153.18,"LINESTRING (39.7188111 43.5859099, 39.7188223 43.5859582, 39.7190092 43.5867681, 39.7190656 43.5870128, 39.7190926 43.5871059, 39.7191223 43.5871793, 39.7191807 43.5872562)",улица Роз,,,
31010249,False,residential,True,127.12499999999999,"LINESTRING (39.7201611 43.5868348, 39.7202536 43.5867949, 39.7204947 43.586691, 39.7205921 43.5866492, 39.7208713 43.5865295, 39.7211361 43.586416, 39.7214593 43.5862775, 39.7215189 43.5862519)",Парковая улица,,,
32133537,True,tertiary,False,218.66100000000003,"LINESTRING (39.7201611 43.5868348, 39.7202065 43.5868933, 39.7208169 43.5876641, 39.7210257 43.5879463, 39.7214542 43.5884714, 39.7215099 43.5885412)",,2,,
60133986,False,residential,False,91.821,"LINESTRING (39.7201611 43.5868348, 39.7200659 43.5868751, 39.7198388 43.5869714, 39.7197585 43.5870066, 39.7191807 43.5872562)",,,,
51105514,False,residential,False,26.839000000000002,"LINESTRING (39.7264012 43.5894258, 39.726493 43.589416, 39.7266523 43.5894064, 39.7267329 43.5894069)",улица Карла Либкнехта,,,
"[1132186627, 1132186626, 31010251, 58431716]",False,residential,True,503.93800000000005,"LINESTRING (39.7264012 43.5894258, 39.7263632 43.5893756, 39.7261835 43.5891669, 39.7260864 43.5890402, 39.7259329 43.5888435, 39.7257849 43.5886642, 39.7255701 43.5884238, 39.7254613 43.5883012, 39.7252951 43.5880963, 39.7251108 43.5878513, 39.7249155 43.5876078, 39.724664 43.5872719, 39.7245967 43.5871912, 39.7242599 43.5867691, 39.7240654 43.5865302, 39.7238014 43.5861729, 39.7237397 43.5861048, 39.7236837 43.5860786, 39.7236275 43.5860689, 39.7235602 43.5860714, 39.722962 43.5863098, 39.7228926 43.5863371)",Советская улица,,,
60133986,False,residential,True,154.88,"LINESTRING (39.7172013 43.5880958, 39.7173062 43.5880519, 39.7178605 43.5878202, 39.7179421 43.5877852, 39.7183275 43.58762, 39.7184095 43.5875849, 39.7185125 43.5875407, 39.7188604 43.5873916)",,,,
