osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name
"[804213424, 156212540]",4,secondary,60,False,True,143.361,"LINESTRING (76.6789595 66.087162, 76.6783909 66.0878357, 76.6779412 66.0883834)",
"[827618104, 1075548897, 827618106, 1075548443]",4,secondary,,False,False,145.45,"LINESTRING (76.6789595 66.087162, 76.6785057 66.0871294, 76.678329 66.087115, 76.677233 66.0870258, 76.6766921 66.0869818, 76.6760103 66.0869263, 76.6757937 66.0869087)",улица 26-го Съезда КПСС
"[960827042, 52576867, 891760724]",2,residential,,False,True,395.4790000000001,"LINESTRING (76.6757937 66.0869087, 76.6758965 66.0866949, 76.6759134 66.0866598, 76.6759554 66.0865725, 76.6760369 66.0864032, 76.6760975 66.0862772, 76.676155 66.0861576, 76.6761973 66.0860697, 76.6762998 66.0858567, 76.6763498 66.0857527, 76.6764131 66.0856216, 76.6764519 66.0855404, 76.6765299 66.0853782, 76.6766083 66.0852152, 76.6766561 66.0851158, 76.6767791 66.0848603, 76.6769093 66.0845894, 76.676928 66.0845579, 76.6769676 66.0845299, 76.6770103 66.0845156, 76.6770668 66.0845098, 76.6771379 66.0845098, 76.6776024 66.0845435, 76.6777339 66.0842841, 76.6779574 66.0838188, 76.6780123 66.0836969)",Интернациональная улица
"[827618104, 1075548897, 827618106, 1075548443]",4,secondary,,False,True,145.45,"LINESTRING (76.6757937 66.0869087, 76.6760103 66.0869263, 76.6766921 66.0869818, 76.677233 66.0870258, 76.678329 66.087115, 76.6785057 66.0871294, 76.6789595 66.087162)",улица 26-го Съезда КПСС
"[960827042, 52576867, 891760724]",2,residential,,False,False,395.4789999999999,"LINESTRING (76.6780123 66.0836969, 76.6779574 66.0838188, 76.6777339 66.0842841, 76.6776024 66.0845435, 76.6771379 66.0845098, 76.6770668 66.0845098, 76.6770103 66.0845156, 76.6769676 66.0845299, 76.676928 66.0845579, 76.6769093 66.0845894, 76.6767791 66.0848603, 76.6766561 66.0851158, 76.6766083 66.0852152, 76.6765299 66.0853782, 76.6764519 66.0855404, 76.6764131 66.0856216, 76.6763498 66.0857527, 76.6762998 66.0858567, 76.6761973 66.0860697, 76.676155 66.0861576, 76.6760975 66.0862772, 76.6760369 66.0864032, 76.6759554 66.0865725, 76.6759134 66.0866598, 76.6758965 66.0866949, 76.6757937 66.0869087)",Интернациональная улица
"[963356961, 960823333]",4,secondary,,False,False,183.84099999999998,"LINESTRING (76.6780123 66.0836969, 76.6778335 66.0836821, 76.6744514 66.0834012, 76.6741839 66.0833793, 76.6740168 66.0833656)",Ленинградский проспект
150930376,1,tertiary,,True,False,39.443,"LINESTRING (76.6757266 66.0892813, 76.6762881 66.0893362, 76.6764103 66.0893482, 76.6765746 66.0893686)",Железнодорожная улица
"[390456751, 390456750, 390120646, 198446631]",4,tertiary,,False,False,245.856,"LINESTRING (76.6757266 66.0892813, 76.6751618 66.0892303, 76.6725249 66.0890096, 76.6714484 66.0889191, 76.6703872 66.0888285)",Железнодорожная улица
"[960839659, 110611678]",2,secondary_link,60,True,False,508.11999999999995,"LINESTRING (76.6690179 66.0873385, 76.6687566 66.0874244, 76.6686594 66.0874759, 76.6685905 66.0875378, 76.6685602 66.0876074, 76.6685778 66.0876843, 76.668648 66.0877613, 76.6687426 66.0878259, 76.6689062 66.0879005, 76.6690671 66.0879499, 76.6692923 66.0880047, 76.6695237 66.088053, 76.6698552 66.0881083, 76.6700507 66.0881365, 76.6704002 66.0881695, 76.6707378 66.0881996, 76.6757502 66.0886334, 76.676156 66.0886624, 76.6764539 66.0886739, 76.6766976 66.0886783, 76.6769274 66.0886725, 76.677146 66.0886565, 76.6773211 66.0886343, 76.6774812 66.0886044, 76.6776032 66.0885696, 76.6777548 66.0885065, 76.6779412 66.0883834)",
"[804213424, 156212540]",4,secondary,60,False,False,143.361,"LINESTRING (76.6779412 66.0883834, 76.6783909 66.0878357, 76.6789595 66.087162)",
204270077,2,tertiary,,False,True,103.891,"LINESTRING (76.6779412 66.0883834, 76.6777199 66.0886478, 76.6775429 66.0888707, 76.6774301 66.0890329, 76.6772905 66.0892789)",
144402087,,residential,,False,False,203.066,"LINESTRING (76.6740168 66.0833656, 76.6739533 66.0834907, 76.67386 66.0836766, 76.673648 66.0840991, 76.6735889 66.0842268, 76.6735752 66.0842563, 76.6735725 66.0843127, 76.6735754 66.0843223, 76.6736361 66.0845221, 76.6735049 66.084791, 76.6734786 66.0848449, 76.6734589 66.084883, 76.6733439 66.0851173, 76.6733222 66.0851598)",проезд Керейтова
"[963356961, 960823333]",4,secondary,,False,True,183.84099999999998,"LINESTRING (76.6740168 66.0833656, 76.6741839 66.0833793, 76.6744514 66.0834012, 76.6778335 66.0836821, 76.6780123 66.0836969)",Ленинградский проспект
144402087,,residential,,False,True,203.066,"LINESTRING (76.6733222 66.0851598, 76.6733439 66.0851173, 76.6734589 66.084883, 76.6734786 66.0848449, 76.6735049 66.084791, 76.6736361 66.0845221, 76.6735754 66.0843223, 76.6735725 66.0843127, 76.6735752 66.0842563, 76.6735889 66.0842268, 76.673648 66.0840991, 76.67386 66.0836766, 76.6739533 66.0834907, 76.6740168 66.0833656)",проезд Керейтова
150928823,1,tertiary,,True,False,23.622,"LINESTRING (76.6771925 66.0894875, 76.6772291 66.0893936, 76.6772905 66.0892789)",
"[198446631, 390120646, 390456750, 390456751]",4,tertiary,,False,True,245.856,"LINESTRING (76.6703872 66.0888285, 76.6714484 66.0889191, 76.6725249 66.0890096, 76.6751618 66.0892303, 76.6757266 66.0892813)",Железнодорожная улица
204270077,2,tertiary,,False,False,103.89099999999999,"LINESTRING (76.6772905 66.0892789, 76.6774301 66.0890329, 76.6775429 66.0888707, 76.6777199 66.0886478, 76.6779412 66.0883834)",
204270098,1,tertiary_link,,True,False,38.941,"LINESTRING (76.6765746 66.0893686, 76.676816 66.0893893, 76.6769197 66.0893937, 76.6770198 66.0893937, 76.6770869 66.0893876, 76.6771435 66.0893724, 76.6771948 66.0893509, 76.6772452 66.0893202, 76.6772905 66.0892789)",
963030997,1,tertiary,,True,False,30.843,"LINESTRING (76.6765746 66.0893686, 76.6767463 66.0893974, 76.677057 66.0894591, 76.6771925 66.0894875)",Железнодорожная улица
