osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,tunnel
46655634,Октябрьская улица,residential,False,True,215.387,"LINESTRING (59.964676 60.1542602, 59.9648971 60.1541477, 59.9651982 60.1540071, 59.9653931 60.1538489, 59.9661384 60.1533019, 59.9668301 60.1527689, 59.9669288 60.1526897)",,,
105159122,улица Ленина,secondary,False,False,65.53,"LINESTRING (59.964676 60.1542602, 59.9644127 60.1541738, 59.9636862 60.1539367)",,,
"[804582377, 39593685]",улица Чкалова,residential,False,False,188.944,"LINESTRING (59.9558486 60.1534135, 59.9560902 60.1532247, 59.957558 60.1520693, 59.957677 60.1519785)",2,,
332111409,,residential,True,False,17.077,"LINESTRING (59.9530915 60.1527126, 59.9532702 60.1525874)",,,
105159260,,residential,False,True,49.728,"LINESTRING (59.9532702 60.1525874, 59.9525102 60.1523488)",,,
105189679,,residential,False,True,58.339,"LINESTRING (59.9532702 60.1525874, 59.9536693 60.1521018)",,,
332111409,,residential,True,False,169.7,"LINESTRING (59.9532702 60.1525874, 59.9543151 60.1529232, 59.9558486 60.1534135)",,,
105139234,улица Ленина,secondary,False,False,110.364,"LINESTRING (59.9593499 60.1525187, 59.9582802 60.1521781, 59.9578087 60.152022, 59.957677 60.1519785)",,,
105139234,улица Ленина,secondary,False,True,61.152,"LINESTRING (59.9593499 60.1525187, 59.9596929 60.1526422, 59.9602679 60.1528244)",,,
286831361,,residential,False,True,200.478,"LINESTRING (59.9593499 60.1525187, 59.9592396 60.1526123, 59.9586007 60.1531309, 59.9584525 60.1531884, 59.9582977 60.1533149, 59.9579308 60.1536145, 59.957528 60.1539434, 59.9574146 60.154036)",,,
105159122,улица Ленина,secondary,False,True,41.407,"LINESTRING (59.9625761 60.1535839, 59.963203 60.1537872)",,,
"[105159122, 105139234, 105139230]",улица Ленина,secondary,False,False,153.13400000000001,"LINESTRING (59.9625761 60.1535839, 59.9618695 60.1533523, 59.9605891 60.1529261, 59.9602679 60.1528244)",,yes,
627456924,Первомайская улица,residential,False,True,34.329,"LINESTRING (59.9625761 60.1535839, 59.9624679 60.1536689, 59.9622367 60.1538423)",,,
