osmid,highway,oneway,reversed,length,geometry,lanes,name,bridge,width
125111338,unclassified,False,False,63.326,"LINESTRING (147.876837 45.228913, 147.8767515 45.2286556, 147.876671 45.2284516, 147.8766398 45.2283608)",,,,
312173928,unclassified,False,True,146.968,"LINESTRING (147.876837 45.228913, 147.8767166 45.2288719, 147.8766248 45.2288741, 147.8765525 45.2288759, 147.8759421 45.2289796, 147.8756 45.2290333, 147.8750173 45.2291349)",,,,
313337199,tertiary,False,True,280.197,"LINESTRING (147.876837 45.228913, 147.8765739 45.2291699, 147.876423 45.2292866, 147.8760984 45.2294433, 147.8755952 45.2296513, 147.8750395 45.2298492, 147.8742967 45.2300477, 147.8739625 45.2301434, 147.8738452 45.2302083)",2,Охотская улица,,
336926559,tertiary,False,False,186.98000000000002,"LINESTRING (147.876837 45.228913, 147.8772313 45.2285721, 147.8776351 45.228261, 147.8780085 45.2280294, 147.8785572 45.227762)",2,Андрея Евдокимова улица,,
1218017355,tertiary,False,True,17.446,"LINESTRING (147.8737173 45.2312883, 147.873652 45.2314383)",2,улица Ленинского Комсомола,,
114872586,residential,False,True,127.959,"LINESTRING (147.8737173 45.2312883, 147.8734145 45.2313036, 147.8733108 45.2313101, 147.8725449 45.2314197, 147.8723093 45.2314095, 147.8722271 45.2313858, 147.872139 45.2313285)",,улица 60 лет Октября,,
"[1218017355, 1218017356]",tertiary,False,False,123.63300000000002,"LINESTRING (147.8737173 45.2312883, 147.8737438 45.2311883, 147.8737604 45.230971, 147.8737544 45.230879, 147.8737178 45.2304772, 147.8737193 45.2303624, 147.8737599 45.2302694, 147.8738452 45.2302083)",2,улица Ленинского Комсомола,,
297004938,tertiary,False,True,21.952,"LINESTRING (147.877366 45.2268442, 147.8775447 45.2269963)",2,,,
"[95704656, 297004938, 95704630]",tertiary,False,False,168.547,"LINESTRING (147.877366 45.2268442, 147.8772988 45.2267883, 147.8771217 45.2266519, 147.8770328 45.226599, 147.8769577 45.2265646, 147.8757487 45.2261014, 147.8756509 45.2260712, 147.8755588 45.2260505)","['1', '2']",Заречная улица,yes,3
314807740,residential,False,False,115.668,"LINESTRING (147.877366 45.2268442, 147.8774068 45.22682, 147.8781775 45.2263207, 147.8784603 45.2261457)",,Набережная улица,,
125109059,tertiary,False,False,162.96,"LINESTRING (147.8785572 45.227762, 147.8787454 45.2276831, 147.8792417 45.2274904, 147.8795211 45.2273768, 147.8798561 45.2272534, 147.8801246 45.2271844, 147.8802983 45.2271697, 147.8804316 45.2271769)",2,Андрея Евдокимова улица,,
