osmid,highway,maxspeed,oneway,reversed,length,name,geometry,access,lanes,ref,bridge
101373814,residential,20,False,False,134.345,,"LINESTRING (58.2664042 55.9530826, 58.2668391 55.954266)",,,,
98600184,tertiary,60,False,True,164.164,Советская улица,"LINESTRING (58.2664042 55.9530826, 58.2663968 55.9530652, 58.2661776 55.9526231, 58.2657024 55.9516595)",,,,
98709742,secondary,40,False,False,145.194,Трактовая улица,"LINESTRING (58.2664042 55.9530826, 58.266467 55.9530679, 58.2665165 55.9530563, 58.2667276 55.9530043, 58.2669855 55.9529256, 58.2676196 55.9526857, 58.2681231 55.9524827, 58.268375 55.9523911)",,,,
98576433,residential,,False,False,162.334,улица Ленина,"LINESTRING (58.2702658 55.9515899, 58.2717337 55.9527965)",,,,
98927942,residential,,False,True,45.163,улица Ленина,"LINESTRING (58.2702658 55.9515899, 58.2698409 55.9512607)",,,,
156192123,secondary,60,False,False,356.86499999999995,Трактовая улица,"LINESTRING (58.2702658 55.9515899, 58.2704182 55.9515358, 58.2706507 55.9514726, 58.2707118 55.9514524, 58.2708082 55.9514281, 58.2714782 55.9513223, 58.2716485 55.9512923, 58.2720902 55.9512144, 58.2725307 55.9511367, 58.2746906 55.9507653, 58.2747768 55.9507641, 58.2756962 55.950589)",,,,
156192123,secondary,60,False,True,147.63100000000003,Трактовая улица,"LINESTRING (58.2702658 55.9515899, 58.2699578 55.9517164, 58.2693336 55.9519834, 58.2690426 55.9521079, 58.2685589 55.9523135, 58.2684295 55.9523687, 58.268375 55.9523911)",,,,
98600184,tertiary,60,False,True,111.978,Советская улица,"LINESTRING (58.2643489 55.9500781, 58.2637852 55.9491218)",,,,
98582757,residential,,False,False,147.88,Школьная улица,"LINESTRING (58.2643489 55.9500781, 58.2630588 55.950406, 58.2625244 55.950567, 58.2622652 55.9507)",,,,
98600184,tertiary,60,False,False,194.994,Советская улица,"LINESTRING (58.2643489 55.9500781, 58.2650765 55.9509206, 58.2650849 55.9509297, 58.2654004 55.951303, 58.2656143 55.9515555, 58.2656425 55.9515892, 58.2657024 55.9516595)",,,,
98600184,tertiary,60,False,False,164.16400000000002,Советская улица,"LINESTRING (58.2657024 55.9516595, 58.2661776 55.9526231, 58.2663968 55.9530652, 58.2664042 55.9530826)",,,,
