osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,junction
52286620,True,Ленинградский проспект,tertiary,60,False,19.959,,"LINESTRING (33.2708423 68.1402593, 33.2705911 68.1404125)",
52242302,False,Ленинградский проспект,tertiary,60,True,117.753,2,"LINESTRING (33.2708423 68.1402593, 33.271289 68.1401627, 33.2730375 68.1398301, 33.2733617 68.1397684)",
714393558,True,,tertiary,60,False,12.876999999999999,,"LINESTRING (33.2705911 68.1404125, 33.2706396 68.1404747, 33.2706347 68.1405257)",roundabout
222974753,False,улица Энергетиков,residential,RU:urban,True,38.204,2,"LINESTRING (33.2849363 68.1373021, 33.2853908 68.1376011)",
222974753,False,улица Энергетиков,residential,RU:urban,False,38.204,2,"LINESTRING (33.2853908 68.1376011, 33.2849363 68.1373021)",
"[168217826, 150166579, 168217827]",True,Ленинградский проспект,tertiary,40,False,429.02,2,"LINESTRING (33.2853908 68.1376011, 33.282478 68.1381611, 33.2823491 68.1381859, 33.2809112 68.1384613, 33.2798983 68.1386571, 33.27862 68.1389111, 33.2776486 68.1390987, 33.2775734 68.1391135, 33.2764911 68.1393335, 33.2762564 68.1394138)",
"[222974753, 222974754, 149321375]",False,улица Энергетиков,residential,"['40', 'RU:urban']",True,449.129,2,"LINESTRING (33.2853908 68.1376011, 33.2870628 68.1387772, 33.28803 68.1394882, 33.288199 68.1396995, 33.2882187 68.1398858, 33.2882312 68.1400033, 33.288125 68.1404301, 33.287761 68.1413787)",
147512435,True,Ленинградский проспект,tertiary,40,False,146.072,2,"LINESTRING (33.2818118 68.137912, 33.2841241 68.1374607, 33.2849363 68.1373021)",
149320942,True,Ленинградский проспект,tertiary,60,False,38.381,,"LINESTRING (33.2733617 68.1397684, 33.2737906 68.1394624)",
52242302,False,Ленинградский проспект,tertiary,60,False,117.753,2,"LINESTRING (33.2733617 68.1397684, 33.2730375 68.1398301, 33.271289 68.1401627, 33.2708423 68.1402593)",
149320849,True,Строительная улица,tertiary,,False,26.124,,"LINESTRING (33.2706347 68.1405257, 33.2710533 68.1407015)",
222974750,False,Строительная улица,tertiary,,True,37.865,2,"LINESTRING (33.2710533 68.1407015, 33.2714177 68.1407215, 33.2715444 68.1407292, 33.2719596 68.1407467)",
149321283,False,,unclassified,,True,279.313,,"LINESTRING (33.2719596 68.1407467, 33.272028 68.140947, 33.2722924 68.1417022, 33.2725205 68.1427511, 33.2725817 68.1428879, 33.2728973 68.1429599, 33.2734754 68.1430035)",
222974750,False,Строительная улица,tertiary,,False,37.865,2,"LINESTRING (33.2719596 68.1407467, 33.2715444 68.1407292, 33.2714177 68.1407215, 33.2710533 68.1407015)",
222974750,False,Строительная улица,tertiary,,True,161.272,2,"LINESTRING (33.2719596 68.1407467, 33.2727554 68.1407785, 33.2758327 68.1409016)",
222974750,False,Строительная улица,tertiary,,False,161.272,2,"LINESTRING (33.2758327 68.1409016, 33.2727554 68.1407785, 33.2719596 68.1407467)",
222974750,False,Строительная улица,tertiary,,True,496.6780000000001,2,"LINESTRING (33.2758327 68.1409016, 33.2762353 68.1409177, 33.2781833 68.1409956, 33.2783438 68.141002, 33.2799414 68.1410659, 33.281578 68.1411314, 33.2823981 68.1411642, 33.2828867 68.1411837, 33.2833555 68.1412025, 33.2840433 68.14123, 33.2867516 68.1413383, 33.287761 68.1413787)",
"[222974753, 222974754, 149321375]",False,улица Энергетиков,residential,"['40', 'RU:urban']",False,449.12899999999996,2,"LINESTRING (33.287761 68.1413787, 33.288125 68.1404301, 33.2882312 68.1400033, 33.2882187 68.1398858, 33.288199 68.1396995, 33.28803 68.1394882, 33.2870628 68.1387772, 33.2853908 68.1376011)",
222974750,False,Строительная улица,tertiary,,False,496.678,2,"LINESTRING (33.287761 68.1413787, 33.2867516 68.1413383, 33.2840433 68.14123, 33.2833555 68.1412025, 33.2828867 68.1411837, 33.2823981 68.1411642, 33.281578 68.1411314, 33.2799414 68.1410659, 33.2783438 68.141002, 33.2781833 68.1409956, 33.2762353 68.1409177, 33.2758327 68.1409016)",
