osmid,oneway,highway,reversed,length,name,geometry,maxspeed,bridge,lanes,ref,junction
28739824,True,secondary,False,9.523,,"LINESTRING (37.4889292 56.2899303, 37.4890386 56.2899907)",,,,,
34429678,False,tertiary,True,264.62600000000003,улица Конярова,"LINESTRING (37.4827901 56.2886316, 37.4824098 56.2881759, 37.4817759 56.2873206, 37.4816953 56.2872101, 37.4814922 56.2869315, 37.4811319 56.2864374)",,,,,
38501476,False,secondary,True,98.646,Первомайская улица,"LINESTRING (37.4827901 56.2886316, 37.4825468 56.2885922, 37.481261 56.2883732)",,,,,
38501477,False,secondary,False,57.578,Первомайская улица,"LINESTRING (37.4827901 56.2886316, 37.4829298 56.2888198, 37.4830892 56.2890346, 37.4831454 56.2891104)",,,,,
"[151823698, 38501478]",True,secondary,False,36.975,Первомайская улица,"LINESTRING (37.4834586 56.289576, 37.4836615 56.2896869, 37.4838032 56.289763, 37.4838864 56.2898088)",,,,,
68803831,False,secondary,True,5.673,Первомайская улица,"LINESTRING (37.4834586 56.289576, 37.4834421 56.2895514, 37.4834265 56.2895282)",,,,,
85818609,True,secondary,False,38.604,Советская улица,"LINESTRING (37.4845516 56.289876, 37.4844096 56.2898848, 37.4842689 56.2899104, 37.4841307 56.289946, 37.4839797 56.2900026)",60,,,,
"[1136167008, 85817034, 27889821]",False,secondary,False,122.46300000000001,,"LINESTRING (37.4845516 56.289876, 37.4845801 56.2898805, 37.4854763 56.2900216, 37.4856662 56.2900425, 37.4858781 56.2900477, 37.4861398 56.2900367, 37.4863379 56.2900234, 37.4864923 56.290013)",60,yes,,,
34429678,False,tertiary,False,264.62600000000003,улица Конярова,"LINESTRING (37.4811319 56.2864374, 37.4814922 56.2869315, 37.4816953 56.2872101, 37.4817759 56.2873206, 37.4824098 56.2881759, 37.4827901 56.2886316)",,,,,
34431386,False,residential,False,156.64100000000002,,"LINESTRING (37.4811319 56.2864374, 37.4810072 56.2864348, 37.4806681 56.286369, 37.4803459 56.2863009, 37.4799695 56.2860659, 37.4797437 56.2858112, 37.4795813 56.2856706, 37.4794809 56.2854959)",,,,,
38501476,False,secondary,False,98.646,Первомайская улица,"LINESTRING (37.481261 56.2883732, 37.4825468 56.2885922, 37.4827901 56.2886316)",,,,,
484623970,False,residential,True,331.772,Первомайская улица,"LINESTRING (37.481261 56.2883732, 37.4799872 56.2881135, 37.4772225 56.2874848, 37.4762788 56.2872543)",,,,,
27889819,True,secondary,False,158.76800000000003,Суровцовский проезд,"LINESTRING (37.4799342 56.2904476, 37.4799797 56.2903705, 37.480735 56.2890907)",,,,,
38821830,False,secondary,True,29.45,Советская улица,"LINESTRING (37.4799342 56.2904476, 37.4801275 56.290585, 37.4801978 56.2906667)",60,,,,
68803831,False,secondary,False,49.591,Первомайская улица,"LINESTRING (37.4831454 56.2891104, 37.4834265 56.2895282)",,,,,
38501477,False,secondary,True,57.578,Первомайская улица,"LINESTRING (37.4831454 56.2891104, 37.4830892 56.2890346, 37.4829298 56.2888198, 37.4827901 56.2886316)",,,,,
40360323,False,residential,False,47.119,,"LINESTRING (37.4831454 56.2891104, 37.483044 56.2891271, 37.4829426 56.2891438, 37.4824134 56.2892309)",,,,,
