osmid,ref,highway,oneway,reversed,length,bridge,geometry,name
293137919,97Н-028,tertiary,False,True,25.3,,"LINESTRING (48.0523949 55.8825717, 48.0527078 55.8827165)",
"[118330450, 205629381, 205629357]",97Н-028,tertiary,False,True,320.299,yes,"LINESTRING (48.0523949 55.8825717, 48.0521947 55.8824925, 48.0521436 55.8824722, 48.0519357 55.8823799, 48.0517736 55.8822872, 48.0516804 55.8822145, 48.0516288 55.8821566, 48.0515896 55.8820901, 48.051555 55.8820054, 48.051528 55.8818856, 48.0515136 55.8817194, 48.0515099 55.8815843, 48.0515264 55.8814294, 48.0515647 55.8812599, 48.0516276 55.8810904, 48.0519326 55.880577, 48.0521554 55.8801399, 48.0522864 55.8799528)",
221139200,,residential,False,False,21.842,,"LINESTRING (48.0523949 55.8825717, 48.0522938 55.8826373, 48.0521502 55.8827118)",
665083312,,residential,False,False,178.806,,"LINESTRING (48.0523949 55.8825717, 48.0525437 55.8824003, 48.0535507 55.8811003)",
293137919,97Н-028,tertiary,False,False,15.564,,"LINESTRING (48.0528659 55.8828248, 48.0527078 55.8827165)",
1026014286,,residential,False,True,6.26,,"LINESTRING (48.0528659 55.8828248, 48.0529626 55.8828097)",Центральная улица
293137919,97Н-028,tertiary,False,True,233.198,,"LINESTRING (48.0528659 55.8828248, 48.0529965 55.88294, 48.0531263 55.8831328, 48.0532448 55.8834224, 48.0532843 55.8835191, 48.0533119 55.8836631, 48.0532824 55.8838124, 48.0531905 55.8840012, 48.0529302 55.8844494, 48.0527715 55.8848354)",
293137919,97Н-028,tertiary,False,False,25.3,,"LINESTRING (48.0527078 55.8827165, 48.0523949 55.8825717)",
293137919,97Н-028,tertiary,False,True,15.564,,"LINESTRING (48.0527078 55.8827165, 48.0528659 55.8828248)",
221139232,,residential,False,False,35.0,,"LINESTRING (48.0527078 55.8827165, 48.0525474 55.8827005, 48.0523535 55.8827001, 48.0521502 55.8827118)",Центральная улица
293137919,97Н-028,tertiary,False,True,22.05,,"LINESTRING (48.0527715 55.8848354, 48.0527167 55.8850313)",
221139237,,residential,False,False,267.818,,"LINESTRING (48.0527715 55.8848354, 48.0513591 55.884609, 48.0486425 55.8841735)",Октябрьская улица
293137919,97Н-028,tertiary,False,False,233.19799999999998,,"LINESTRING (48.0527715 55.8848354, 48.0529302 55.8844494, 48.0531905 55.8840012, 48.0532824 55.8838124, 48.0533119 55.8836631, 48.0532843 55.8835191, 48.0532448 55.8834224, 48.0531263 55.8831328, 48.0529965 55.88294, 48.0528659 55.8828248)",
293137919,97Н-028,tertiary,False,False,76.542,,"LINESTRING (48.0516846 55.8865915, 48.0520947 55.8859427)",
293137919,97Н-028,tertiary,False,False,22.05,,"LINESTRING (48.0527167 55.8850313, 48.0527715 55.8848354)",
221139308,,residential,False,False,439.66600000000005,,"LINESTRING (48.0527167 55.8850313, 48.0539922 55.8855008, 48.0552935 55.885792, 48.0569564 55.8861641, 48.0589634 55.8868312)",Октябрьская улица
293137919,97Н-028,tertiary,False,True,108.579,,"LINESTRING (48.0527167 55.8850313, 48.0526019 55.8852389, 48.0520947 55.8859427)",
852370482,,residential,False,True,103.723,,"LINESTRING (48.0452733 55.8806993, 48.046489 55.8813358)",Набережная улица
852370482,,residential,False,False,76.518,,"LINESTRING (48.0452733 55.8806993, 48.0451028 55.8804411, 48.0448472 55.880054)",Набережная улица
1025399380,,residential,False,False,162.293,,"LINESTRING (48.0452733 55.8806993, 48.04479 55.8809982, 48.0443556 55.8814374, 48.0443786 55.881991)",
852370482,,residential,False,False,103.723,,"LINESTRING (48.046489 55.8813358, 48.0452733 55.8806993)",Набережная улица
