osmid,lanes,ref,highway,oneway,reversed,length,geometry,name
264553648,2,27А-029,primary,False,True,82.744,"LINESTRING (21.2265637 54.6187678, 21.2278486 54.6187833)",
97670397,,27А-025,primary,True,False,229.98399999999998,"LINESTRING (21.2265637 54.6187678, 21.2262617 54.6178877, 21.2269603 54.6167888)",
201272290,,,residential,False,True,135.722,"LINESTRING (21.2265637 54.6187678, 21.226712 54.6190347, 21.2267613 54.6191504, 21.2268184 54.619182, 21.2269325 54.6191925, 21.2273607 54.6191669, 21.2280678 54.6191128, 21.2281469 54.6191068)",
201272308,,27А-025,primary,True,False,140.25,"LINESTRING (21.2269603 54.6167888, 21.2269498 54.6172162, 21.2270416 54.6176199, 21.227203 54.6179684, 21.2272372 54.6180312)",улица Ленина
264553650,,27А-025,primary,False,False,155.398,"LINESTRING (21.2269603 54.6167888, 21.2271553 54.6164257, 21.2274452 54.6160581, 21.227847 54.6154908)",улица Ленина
332454955,,,residential,False,True,45.011,"LINESTRING (21.2241261 54.6125646, 21.2245321 54.6126332, 21.2248014 54.6126684)",Мельничная улица
332454955,,,residential,False,False,45.011,"LINESTRING (21.2248014 54.6126684, 21.2245321 54.6126332, 21.2241261 54.6125646)",Мельничная улица
"[332454955, 201272300]",,,residential,False,True,395.965,"LINESTRING (21.2248014 54.6126684, 21.2249839 54.6127489, 21.2251447 54.6129376, 21.22554 54.6134861, 21.2256877 54.6135892, 21.2258224 54.613627, 21.226044 54.613627, 21.2264046 54.6135892, 21.2275971 54.6134639, 21.2291807 54.6132974, 21.2299053 54.6132115)","['Железнодорожная улица', 'Мельничная улица']"
"[332454955, 201272300]",,,residential,False,False,395.96500000000003,"LINESTRING (21.2299053 54.6132115, 21.2291807 54.6132974, 21.2275971 54.6134639, 21.2264046 54.6135892, 21.226044 54.613627, 21.2258224 54.613627, 21.2256877 54.6135892, 21.22554 54.6134861, 21.2251447 54.6129376, 21.2249839 54.6127489, 21.2248014 54.6126684)","['Железнодорожная улица', 'Мельничная улица']"
264553650,,27А-025,primary,False,True,142.942,"LINESTRING (21.2299053 54.6132115, 21.2298466 54.6132902, 21.2298011 54.6133465, 21.2297662 54.6133896, 21.2296942 54.6134741, 21.2295281 54.6136003, 21.2291908 54.6137581, 21.2290247 54.6138468, 21.2287152 54.6142652)",улица Ленина
201272303,,,residential,False,True,215.72899999999998,"LINESTRING (21.2259871 54.6138784, 21.2266854 54.6144532, 21.2275611 54.6152685, 21.227847 54.6154908)",Мельничная улица
264553650,,27А-025,primary,False,True,147.301,"LINESTRING (21.2287152 54.6142652, 21.227847 54.6154908)",улица Ленина
264553650,,27А-025,primary,False,False,142.942,"LINESTRING (21.2287152 54.6142652, 21.2290247 54.6138468, 21.2291908 54.6137581, 21.2295281 54.6136003, 21.2296942 54.6134741, 21.2297662 54.6133896, 21.2298011 54.6133465, 21.2298466 54.6132902, 21.2299053 54.6132115)",улица Ленина
264553650,,27А-025,primary,False,False,147.301,"LINESTRING (21.227847 54.6154908, 21.2287152 54.6142652)",улица Ленина
201272303,,,residential,False,False,215.72899999999998,"LINESTRING (21.227847 54.6154908, 21.2275611 54.6152685, 21.2266854 54.6144532, 21.2259871 54.6138784)",Мельничная улица
264553650,,27А-025,primary,False,True,155.39800000000002,"LINESTRING (21.227847 54.6154908, 21.2274452 54.6160581, 21.2271553 54.6164257, 21.2269603 54.6167888)",улица Ленина
264553642,2,27А-029,primary,False,True,114.77,"LINESTRING (21.2296312 54.6187819, 21.2278486 54.6187833)",
201272290,,,residential,False,False,113.83,"LINESTRING (21.2296312 54.6187819, 21.2295119 54.618913, 21.2293769 54.6190542, 21.2281469 54.6191068)",
