osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge
27564352,Комсомольская улица,residential,False,False,33.006,"LINESTRING (31.1815682 57.1467918, 31.1820179 57.1466227)",,,
27564352,Комсомольская улица,residential,False,True,120.398,"LINESTRING (31.1815682 57.1467918, 31.1801135 57.1473614, 31.1799498 57.1474255)",,,
27564352,Комсомольская улица,residential,False,False,120.398,"LINESTRING (31.1799498 57.1474255, 31.1801135 57.1473614, 31.1815682 57.1467918)",,,
27564352,Комсомольская улица,residential,False,True,107.453,"LINESTRING (31.1799498 57.1474255, 31.1798346 57.1474728, 31.1785014 57.147988)",,,
229032375,Октябрьская улица,primary,False,True,88.562,"LINESTRING (31.1799498 57.1474255, 31.1803205 57.1477052, 31.1808068 57.1480722)",RU:urban,,
27779256,улица Максима Горького,residential,False,True,124.746,"LINESTRING (31.188831 57.1462939, 31.1885548 57.1464176, 31.1878788 57.146662, 31.1871315 57.1469316)",,,
27564352,Комсомольская улица,residential,False,False,42.419,"LINESTRING (31.1764 57.1487813, 31.1769775 57.1485636)",,,
27779278,Набережная улица,residential,False,False,100.601,"LINESTRING (31.1764 57.1487813, 31.17563 57.1481736, 31.1754886 57.1480249)",,,
"[417687076, 27779278]",Набережная улица,"['residential', 'unclassified']",False,"[False, True]",432.75200000000007,"LINESTRING (31.1764 57.1487813, 31.1784458 57.149986, 31.1786092 57.1499923, 31.1788112 57.1499184, 31.1789883 57.1498238, 31.1790339 57.1497263, 31.1791385 57.1496434, 31.1793825 57.1495386, 31.1796052 57.1495415, 31.1799029 57.1495023, 31.1803081 57.1494039, 31.1815867 57.1488115, 31.1817117 57.1487551)",,,
27779268,Кооперативная улица,residential,False,False,262.266,"LINESTRING (31.1888949 57.1510609, 31.1845537 57.1511954)",,,
417694493,улица Урицкого,tertiary,False,False,243.489,"LINESTRING (31.1888949 57.1510609, 31.189285 57.1532404)",,,
"[27779284, 27779268]","['Восточная улица', 'Кооперативная улица']",residential,False,True,298.197,"LINESTRING (31.1888949 57.1510609, 31.1901701 57.1511775, 31.1905939 57.1531444)",,,
417694493,улица Урицкого,tertiary,False,True,67.88,"LINESTRING (31.1888949 57.1510609, 31.1888756 57.1507239, 31.1887838 57.1504917, 31.1887573 57.1504589)",,,
27779268,Кооперативная улица,residential,False,True,262.266,"LINESTRING (31.1845537 57.1511954, 31.1888949 57.1510609)",,,
420040261,Октябрьская улица,unclassified,False,True,43.416,"LINESTRING (31.1845537 57.1511954, 31.1842255 57.1508479)",,,
420040261,Октябрьская улица,unclassified,False,False,74.876,"LINESTRING (31.1845537 57.1511954, 31.1847434 57.1515115, 31.1848732 57.1518451)",,,
27779270,улица Новикова,residential,False,False,79.66,"LINESTRING (31.1905939 57.1531444, 31.189285 57.1532404)",,,
"[27779268, 27779284]","['Восточная улица', 'Кооперативная улица']",residential,False,False,298.197,"LINESTRING (31.1905939 57.1531444, 31.1901701 57.1511775, 31.1888949 57.1510609)",,,
27779270,улица Новикова,residential,False,False,178.847,"LINESTRING (31.189285 57.1532404, 31.186351 57.1534738)",,,
27779270,улица Новикова,residential,False,True,79.66,"LINESTRING (31.189285 57.1532404, 31.1905939 57.1531444)",,,
417694493,улица Урицкого,tertiary,False,True,243.489,"LINESTRING (31.189285 57.1532404, 31.1888949 57.1510609)",,,
27779270,улица Новикова,residential,False,True,47.85,"LINESTRING (31.1851047 57.1535729, 31.1858897 57.1535105)",,,
420040261,Октябрьская улица,unclassified,False,True,192.63,"LINESTRING (31.1851047 57.1535729, 31.1848732 57.1518451)",,,
27779270,улица Новикова,residential,False,False,216.845,"LINESTRING (31.1851047 57.1535729, 31.182755 57.1538305, 31.1819852 57.1539381, 31.1815886 57.1539778)",,,
27779270,улица Новикова,residential,False,True,216.845,"LINESTRING (31.1815886 57.1539778, 31.1819852 57.1539381, 31.182755 57.1538305, 31.1851047 57.1535729)",,,
"[27779272, 418250532]","['Заручеевская набережная', 'Кооперативная улица']",residential,False,False,448.78700000000003,"LINESTRING (31.1815886 57.1539778, 31.1814997 57.1538217, 31.1814434 57.1536399, 31.1812637 57.1529823, 31.1811108 57.1526942, 31.1809552 57.1524251, 31.1809248 57.1522604, 31.1808855 57.1521894, 31.1809445 57.1521574, 31.1810649 57.1521272, 31.1848732 57.1518451)",,,
"[27564371, 27564373, 43944959]",улица Карла Маркса,primary,False,False,550.3270000000001,"LINESTRING (31.1764634 57.1524149, 31.1773449 57.1519394, 31.1796931 57.1510703, 31.1803108 57.1508554, 31.1807871 57.1506924, 31.1812705 57.1504598, 31.1815245 57.1502464, 31.1816508 57.1500522, 31.1816937 57.1497845, 31.1817197 57.1495565, 31.1817634 57.1491734, 31.1818305 57.1488374)",RU:urban,2,yes
229032376,улица Челпанова,residential,False,False,242.592,"LINESTRING (31.1764634 57.1524149, 31.1765429 57.1526872, 31.1770928 57.1545697)",,,
417174160,,living_street,False,True,27.137,"LINESTRING (31.1761913 57.14632, 31.1761097 57.14656)",,,
39822807,Профсоюзная улица,residential,False,False,84.119,"LINESTRING (31.1785014 57.147988, 31.1777214 57.1473609)",,,
27564352,Комсомольская улица,residential,False,False,107.453,"LINESTRING (31.1785014 57.147988, 31.1798346 57.1474728, 31.1799498 57.1474255)",,,
27564352,Комсомольская улица,residential,False,True,112.009,"LINESTRING (31.1785014 57.147988, 31.1781858 57.1481081, 31.1769775 57.1485636)",,,
420040261,Октябрьская улица,unclassified,False,False,192.63,"LINESTRING (31.1848732 57.1518451, 31.1851047 57.1535729)",,,
418247905,переулок Механизаторов,residential,False,False,173.474,"LINESTRING (31.1848732 57.1518451, 31.1850429 57.1518984, 31.185177 57.1519246, 31.1853594 57.1519159, 31.1854828 57.1519217, 31.1857295 57.1519595, 31.1860514 57.1519945, 31.1862445 57.1519828, 31.1864377 57.1519799, 31.1866951 57.1519683, 31.1873442 57.1519508, 31.1876929 57.1519334)",,,
"[27779272, 418250532]","['Заручеевская набережная', 'Кооперативная улица']",residential,False,True,448.78700000000003,"LINESTRING (31.1848732 57.1518451, 31.1810649 57.1521272, 31.1809445 57.1521574, 31.1808855 57.1521894, 31.1809248 57.1522604, 31.1809552 57.1524251, 31.1811108 57.1526942, 31.1812637 57.1529823, 31.1814434 57.1536399, 31.1814997 57.1538217, 31.1815886 57.1539778)",,,
420040261,Октябрьская улица,unclassified,False,True,74.876,"LINESTRING (31.1848732 57.1518451, 31.1847434 57.1515115, 31.1845537 57.1511954)",,,
157674553,улица Розы Люксембург,residential,False,False,133.295,"LINESTRING (31.174909 57.1547544, 31.1770928 57.1545697)",,,
157674553,улица Розы Люксембург,residential,False,True,133.295,"LINESTRING (31.1770928 57.1545697, 31.174909 57.1547544)",,,
229032376,улица Челпанова,residential,False,True,242.592,"LINESTRING (31.1770928 57.1545697, 31.1765429 57.1526872, 31.1764634 57.1524149)",,,
229032375,Октябрьская улица,primary,False,False,11.623,"LINESTRING (31.1818305 57.1488374, 31.1817117 57.1487551)",RU:urban,,
"[27564371, 27564373, 43944959]",улица Карла Маркса,primary,False,True,550.327,"LINESTRING (31.1818305 57.1488374, 31.1817634 57.1491734, 31.1817197 57.1495565, 31.1816937 57.1497845, 31.1816508 57.1500522, 31.1815245 57.1502464, 31.1812705 57.1504598, 31.1807871 57.1506924, 31.1803108 57.1508554, 31.1796931 57.1510703, 31.1773449 57.1519394, 31.1764634 57.1524149)",RU:urban,2,yes
