osmid,highway,oneway,reversed,length,bridge,geometry,name,ref,maxspeed,lanes
"[29408348, 28217773, 28217775]",tertiary,False,True,325.006,yes,"LINESTRING (33.4518669 56.8526625, 33.4518811 56.8528403, 33.4519537 56.8534095, 33.4520402 56.854397, 33.4520541 56.8550766, 33.4520636 56.8552184, 33.4521027 56.8555819)",,,,
39499459,residential,False,True,50.617000000000004,,"LINESTRING (33.4518669 56.8526625, 33.4518594 56.8524649, 33.451831 56.8522078)",Базарная улица,,,
58985304,tertiary,False,False,118.947,,"LINESTRING (33.4518669 56.8526625, 33.4514509 56.8527244, 33.4508777 56.8528288, 33.4505864 56.852885, 33.4502742 56.8528778, 33.4499942 56.8528194)",Льнозаводская улица,,,
146837283,tertiary,False,False,43.096,,"LINESTRING (33.4518669 56.8526625, 33.4523349 56.8524905, 33.4524559 56.8524469)",улица Энгельса,,,
29408346,primary,False,True,17.455,,"LINESTRING (33.4521027 56.8555819, 33.4518156 56.8555824)",улица Ленина,28К-1179,60,
"[29408346, 29408347, 29408349]",primary,False,False,424.17499999999995,yes,"LINESTRING (33.4521027 56.8555819, 33.4526067 56.8555553, 33.452621 56.8555545, 33.4529724 56.8555255, 33.453681 56.8554383, 33.4540061 56.8553811, 33.4544346 56.8552938, 33.4561819 56.8549338, 33.4587115 56.8544046)","['улица Карла Маркса', 'улица Ленина']",28К-1179,60,
"[29408348, 28217773, 28217775]",tertiary,False,False,325.006,yes,"LINESTRING (33.4521027 56.8555819, 33.4520636 56.8552184, 33.4520541 56.8550766, 33.4520402 56.854397, 33.4519537 56.8534095, 33.4518811 56.8528403, 33.4518669 56.8526625)",,,,
29408346,primary,False,False,94.662,,"LINESTRING (33.44487 56.8559583, 33.4457223 56.855827, 33.4463917 56.8557976)",улица Ленина,28К-1179,60,
58985304,tertiary,False,False,160.666,,"LINESTRING (33.4499942 56.8528194, 33.4498128 56.8527291, 33.4496101 56.8525653, 33.4491545 56.8520326, 33.4487582 56.8515545)",Льнозаводская улица,,,
58985304,tertiary,False,True,118.947,,"LINESTRING (33.4499942 56.8528194, 33.4502742 56.8528778, 33.4505864 56.852885, 33.4508777 56.8528288, 33.4514509 56.8527244, 33.4518669 56.8526625)",Льнозаводская улица,,,
169356095,residential,False,True,176.711,,"LINESTRING (33.4499942 56.8528194, 33.4496323 56.8528901, 33.4493469 56.8529202, 33.4488512 56.852931, 33.4471159 56.8529234)",улица Ротмистрова,,,
172912404,residential,False,True,38.517,,"LINESTRING (33.451831 56.8522078, 33.4518101 56.8518616)",Базарная улица,,,
431887073,residential,False,True,57.977,,"LINESTRING (33.451831 56.8522078, 33.4509688 56.8524305)",,,,
39499459,residential,False,False,50.617000000000004,,"LINESTRING (33.451831 56.8522078, 33.4518594 56.8524649, 33.4518669 56.8526625)",Базарная улица,,,
431887073,residential,False,False,57.977,,"LINESTRING (33.4509688 56.8524305, 33.451831 56.8522078)",,,,
146837283,tertiary,False,True,187.189,,"LINESTRING (33.4549807 56.8514836, 33.4524559 56.8524469)",улица Энгельса,,,
169356097,residential,False,True,157.263,,"LINESTRING (33.4450536 56.851522, 33.4450517 56.8529363)",Полевая улица,,,
