osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge
198057681,улица Забырина,secondary,60,False,False,102.178,"LINESTRING (37.6077888 56.5245854, 37.6077462 56.5246594, 37.6076701 56.5247239, 37.6075255 56.5247933, 37.6072495 56.5248774, 37.606467 56.5250979)",,
198120577,Лесная улица,residential,,False,True,116.81099999999999,"LINESTRING (37.6077888 56.5245854, 37.607651 56.5243612, 37.6075236 56.5242205, 37.6069921 56.5236331)",46Н-12047,
173514278,Хотьковская улица,residential,,False,True,184.618,"LINESTRING (37.6049693 56.5254636, 37.6037541 56.5239446)",46Н-12071,
198057681,улица Забырина,secondary,60,False,True,100.455,"LINESTRING (37.6049693 56.5254636, 37.606467 56.5250979)",,
35798698,улица Карла Маркса,residential,,False,True,171.16299999999998,"LINESTRING (37.6049693 56.5254636, 37.6050496 56.5255524, 37.6060833 56.5268748)",46Н-12076,
198057681,улица Забырина,secondary,60,False,False,220.502,"LINESTRING (37.6049693 56.5254636, 37.6041566 56.5256552, 37.6031682 56.5258957, 37.6025441 56.5260476, 37.6021985 56.5261317, 37.6020126 56.5261723, 37.6016673 56.5262476)",,
34089846,Советская улица,residential,,False,True,541.576,"LINESTRING (37.6060833 56.5268748, 37.6059723 56.5269042, 37.6034865 56.5275166, 37.6032685 56.5275686, 37.6028251 56.5276777, 37.6015887 56.5279745, 37.600748 56.5281763, 37.6006123 56.5281849, 37.6004928 56.528148, 37.6002013 56.5277704, 37.5994512 56.5268907, 37.5993622 56.5267818)",,
35798698,улица Карла Маркса,residential,,False,False,171.16299999999998,"LINESTRING (37.6060833 56.5268748, 37.6050496 56.5255524, 37.6049693 56.5254636)",46Н-12076,
"[35798698, 35798699, 198057685]",улица Карла Маркса,residential,,False,True,327.121,"LINESTRING (37.6060833 56.5268748, 37.6064124 56.5272755, 37.606461 56.5273365, 37.606624 56.5275508, 37.6074889 56.5286879, 37.6078006 56.5290993, 37.608177 56.5295804)",46Н-12076,yes
198055424,улица Победы,secondary,60,False,False,100.982,"LINESTRING (37.5958872 56.5274007, 37.5951115 56.5275006, 37.5942837 56.5276071)",,
"[198055424, 198057681, 198055422]","['улица Победы', 'улица Забырина']",secondary,60,False,True,225.355,"LINESTRING (37.5958872 56.5274007, 37.5969798 56.5272919, 37.5975712 56.527214, 37.5977936 56.5271743, 37.5988494 56.5269101, 37.5993283 56.5267903, 37.5993622 56.5267818)",,yes
"[98643006, 313279974]","['улица Гарднера', 'улица Рубцова']",residential,,False,True,442.159,"LINESTRING (37.5958872 56.5274007, 37.5959119 56.5274979, 37.5963407 56.5291874, 37.5949426 56.5294695, 37.5926554 56.529954)","['46Н-12050', '46Н-12052']",
67097007,Береговая улица,residential,,False,False,312.911,"LINESTRING (37.608177 56.5295804, 37.6080763 56.5296003, 37.6037754 56.5305229, 37.6034255 56.5306058)",46Н-12031,
"[35798698, 35798699, 198057685]",улица Карла Маркса,residential,,False,False,327.121,"LINESTRING (37.608177 56.5295804, 37.6078006 56.5290993, 37.6074889 56.5286879, 37.606624 56.5275508, 37.606461 56.5273365, 37.6064124 56.5272755, 37.6060833 56.5268748)",46Н-12076,yes
198057681,улица Забырина,secondary,60,False,False,100.455,"LINESTRING (37.606467 56.5250979, 37.6049693 56.5254636)",,
173514261,1-я Коммунистическая улица,residential,,False,False,212.789,"LINESTRING (37.606467 56.5250979, 37.6072942 56.5258163, 37.6082203 56.5267481)",46Н-12044,
198057681,улица Забырина,secondary,60,False,True,102.178,"LINESTRING (37.606467 56.5250979, 37.6072495 56.5248774, 37.6075255 56.5247933, 37.6076701 56.5247239, 37.6077462 56.5246594, 37.6077888 56.5245854)",,
"[198120578, 173514299]","['Пролетарская улица', 'улица Войлокова']",residential,,False,False,266.963,"LINESTRING (37.6016673 56.5262476, 37.6004502 56.5246733, 37.6008213 56.524582, 37.6015917 56.5243925)",46Н-12075,
198057681,улица Забырина,secondary,60,False,False,153.344,"LINESTRING (37.6016673 56.5262476, 37.6005328 56.5265105, 37.5993622 56.5267818)",,
198057681,улица Забырина,secondary,60,False,True,220.502,"LINESTRING (37.6016673 56.5262476, 37.6020126 56.5261723, 37.6021985 56.5261317, 37.6025441 56.5260476, 37.6031682 56.5258957, 37.6041566 56.5256552, 37.6049693 56.5254636)",,
34089846,Советская улица,residential,,False,False,541.576,"LINESTRING (37.5993622 56.5267818, 37.5994512 56.5268907, 37.6002013 56.5277704, 37.6004928 56.528148, 37.6006123 56.5281849, 37.600748 56.5281763, 37.6015887 56.5279745, 37.6028251 56.5276777, 37.6032685 56.5275686, 37.6034865 56.5275166, 37.6059723 56.5269042, 37.6060833 56.5268748)",,
"[198055424, 198057681, 198055422]","['улица Победы', 'улица Забырина']",secondary,60,False,False,225.35500000000002,"LINESTRING (37.5993622 56.5267818, 37.5993283 56.5267903, 37.5988494 56.5269101, 37.5977936 56.5271743, 37.5975712 56.527214, 37.5969798 56.5272919, 37.5958872 56.5274007)",,yes
198057681,улица Забырина,secondary,60,False,True,153.344,"LINESTRING (37.5993622 56.5267818, 37.6005328 56.5265105, 37.6016673 56.5262476)",,
