osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name,ref,bridge
87155377,2,tertiary,40,False,True,372.107,"LINESTRING (104.1400813 51.5193765, 104.1403589 51.5192694, 104.1406244 51.5191617, 104.1408276 51.5190669, 104.1408751 51.5190447, 104.1409979 51.5188996, 104.1409922 51.5187118, 104.1407614 51.5183716, 104.1406667 51.5181404, 104.1406578 51.5179779, 104.1407207 51.5178307, 104.1409161 51.5175594, 104.1410182 51.5173585, 104.1410261 51.5171917, 104.1409616 51.5170764, 104.1408442 51.5169457, 104.1405426 51.5167039, 104.1402776 51.5165529)",,,
202273037,2,tertiary,40,False,True,53.331,"LINESTRING (104.1400813 51.5193765, 104.1401035 51.5195668, 104.1401082 51.5198556)",Речная улица,,
202273037,2,tertiary,40,False,False,53.331,"LINESTRING (104.1401082 51.5198556, 104.1401035 51.5195668, 104.1400813 51.5193765)",Речная улица,,
248770985,,tertiary,,True,False,27.115,"LINESTRING (104.1386504 51.5151859, 104.1385896 51.5154268)",,,
1261897117,2,trunk,RU:rural,False,False,23.84,"LINESTRING (104.1386504 51.5151859, 104.1383793 51.5153182)",«Байкал»,Р-258,
"[1079012761, 245014179]",2,trunk,"['40', 'RU:rural']",False,"[False, True]",113.397,"LINESTRING (104.1386504 51.5151859, 104.1389931 51.5150031, 104.139895 51.5145225)",«Байкал»,Р-258,yes
1261897133,2,trunk,RU:rural,False,True,31.604,"LINESTRING (104.1377831 51.5156185, 104.1381421 51.5154428)",«Байкал»,Р-258,
245029250,2,trunk,RU:rural,False,False,46.075,"LINESTRING (104.1377831 51.5156185, 104.137636 51.5156918, 104.1374889 51.515765, 104.1372653 51.515879)",«Байкал»,Р-258,
244950191,1,tertiary,,True,False,77.993,"LINESTRING (104.1391471 51.5160424, 104.138258 51.5156113)",,,
87155377,2,tertiary,40,False,False,97.49199999999999,"LINESTRING (104.1391471 51.5160424, 104.1394676 51.5162529, 104.1398859 51.5164126, 104.1401956 51.5165278, 104.1402776 51.5165529)",,,
248770984,1,tertiary,,True,False,32.871,"LINESTRING (104.138258 51.5156113, 104.1377831 51.5156185)",,,
1261927013,1,tertiary,,True,False,20.381,"LINESTRING (104.138258 51.5156113, 104.1381421 51.5154428)",,,
1261897133,2,trunk,RU:rural,False,False,31.604,"LINESTRING (104.1381421 51.5154428, 104.1377831 51.5156185)",«Байкал»,Р-258,
1261897118,2,trunk,RU:rural,False,True,21.485,"LINESTRING (104.1381421 51.5154428, 104.1382238 51.5153972, 104.1383793 51.5153182)",«Байкал»,Р-258,
1261897117,2,trunk,RU:rural,False,True,23.84,"LINESTRING (104.1383793 51.5153182, 104.1386504 51.5151859)",«Байкал»,Р-258,
1261897124,1,tertiary,,True,False,18.91,"LINESTRING (104.1383793 51.5153182, 104.1385896 51.5154268)",,,
1261897118,2,trunk,RU:rural,False,False,21.485,"LINESTRING (104.1383793 51.5153182, 104.1382238 51.5153972, 104.1381421 51.5154428)",«Байкал»,Р-258,
244950189,1,tertiary,,True,False,78.574,"LINESTRING (104.1385896 51.5154268, 104.1391471 51.5160424)",,,
245029250,2,trunk,RU:rural,False,True,46.074999999999996,"LINESTRING (104.1372653 51.515879, 104.1374889 51.515765, 104.137636 51.5156918, 104.1377831 51.5156185)",«Байкал»,Р-258,
454236346,,residential,,False,False,120.022,"LINESTRING (104.1372653 51.515879, 104.1372866 51.51608, 104.1372864 51.5163103, 104.1372654 51.516409, 104.1372147 51.5165183, 104.1372496 51.5166166, 104.13731 51.5167379, 104.1374544 51.516924)",Привокзальная улица,,
454236346,,residential,,False,False,246.47400000000002,"LINESTRING (104.1374544 51.516924, 104.1375603 51.517026, 104.1376692 51.5171188, 104.1379126 51.5173158, 104.1379755 51.5173314, 104.1380479 51.5173264, 104.1382123 51.5172354, 104.139145 51.516784, 104.1393741 51.5167432, 104.1398236 51.5167212, 104.1400344 51.5166987, 104.1402776 51.5165529)",Привокзальная улица,,
454236346,,residential,,False,True,120.022,"LINESTRING (104.1374544 51.516924, 104.13731 51.5167379, 104.1372496 51.5166166, 104.1372147 51.5165183, 104.1372654 51.516409, 104.1372864 51.5163103, 104.1372866 51.51608, 104.1372653 51.515879)",Привокзальная улица,,
894563794,,residential,,False,True,177.127,"LINESTRING (104.1374544 51.516924, 104.1359218 51.5175336, 104.1352622 51.5177436)",Новый переулок,,
87155377,2,tertiary,40,False,False,372.107,"LINESTRING (104.1402776 51.5165529, 104.1405426 51.5167039, 104.1408442 51.5169457, 104.1409616 51.5170764, 104.1410261 51.5171917, 104.1410182 51.5173585, 104.1409161 51.5175594, 104.1407207 51.5178307, 104.1406578 51.5179779, 104.1406667 51.5181404, 104.1407614 51.5183716, 104.1409922 51.5187118, 104.1409979 51.5188996, 104.1408751 51.5190447, 104.1408276 51.5190669, 104.1406244 51.5191617, 104.1403589 51.5192694, 104.1400813 51.5193765)",,,
87155377,2,tertiary,40,False,True,97.49199999999999,"LINESTRING (104.1402776 51.5165529, 104.1401956 51.5165278, 104.1398859 51.5164126, 104.1394676 51.5162529, 104.1391471 51.5160424)",,,
454236346,,residential,,False,True,246.474,"LINESTRING (104.1402776 51.5165529, 104.1400344 51.5166987, 104.1398236 51.5167212, 104.1393741 51.5167432, 104.139145 51.516784, 104.1382123 51.5172354, 104.1380479 51.5173264, 104.1379755 51.5173314, 104.1379126 51.5173158, 104.1376692 51.5171188, 104.1375603 51.517026, 104.1374544 51.516924)",Привокзальная улица,,
894563794,,residential,,False,False,177.127,"LINESTRING (104.1352622 51.5177436, 104.1359218 51.5175336, 104.1374544 51.516924)",Новый переулок,,
"[1079012761, 245014179]",2,trunk,"['40', 'RU:rural']",False,"[False, True]",113.397,"LINESTRING (104.139895 51.5145225, 104.1389931 51.5150031, 104.1386504 51.5151859)",«Байкал»,Р-258,yes
