osmid,oneway,name,highway,reversed,length,junction,geometry,ref,maxspeed
175583374,True,Советский проезд,unclassified,False,26.899,,"LINESTRING (37.7095766 55.5555177, 37.7095944 55.555276)",,
175583376,True,,residential,False,17.763,roundabout,"LINESTRING (37.7095766 55.5555177, 37.709662 55.555518, 37.7097319 55.5555381, 37.7097721 55.5555648, 37.7097928 55.5555946)",,
33762106,False,Школьная улица,tertiary,False,276.547,,"LINESTRING (37.7095499 55.5571336, 37.7096554 55.5571637, 37.7101169 55.5573042, 37.7134358 55.5582977)",46Н-13973,
33772421,True,,tertiary,False,39.370999999999995,,"LINESTRING (37.7095499 55.5571336, 37.7092351 55.5570481, 37.7089874 55.5569782)",46Н-13973,
35822732,False,,residential,False,118.296,,"LINESTRING (37.7134358 55.5582977, 37.7126341 55.5592601)",,
33762106,False,Школьная улица,tertiary,False,142.499,,"LINESTRING (37.7134358 55.5582977, 37.7144176 55.5585957, 37.7154402 55.5588953)",46Н-13973,
33762106,False,Школьная улица,tertiary,True,276.54699999999997,,"LINESTRING (37.7134358 55.5582977, 37.7101169 55.5573042, 37.7096554 55.5571637, 37.7095499 55.5571336)",46Н-13973,
33762120,False,Новая улица,residential,True,105.896,,"LINESTRING (37.7134358 55.5582977, 37.7134924 55.5582416, 37.7142705 55.5574706)",,
33772752,True,,tertiary,False,24.964,,"LINESTRING (37.7098582 55.5566753, 37.7097714 55.5567102, 37.7095347 55.5568054)",,
33772783,False,Заводская улица,tertiary,False,60.663,,"LINESTRING (37.7098582 55.5566753, 37.7098808 55.5566706, 37.7099275 55.5566586, 37.7101753 55.556595, 37.7107418 55.5564566)",,
33772576,False,улица Гаевского,residential,False,40.967,,"LINESTRING (37.7088647 55.5561623, 37.7091952 55.5558748, 37.7092197 55.5558534)",,
33772576,False,улица Гаевского,residential,True,24.044999999999998,,"LINESTRING (37.7088647 55.5561623, 37.7086722 55.5563407, 37.7086659 55.556347)",,
160314466,False,Строительная улица,residential,True,212.75900000000001,,"LINESTRING (37.7088647 55.5561623, 37.7071473 55.5556896, 37.7058228 55.5553251)",,
33772576,False,улица Гаевского,residential,True,40.967,,"LINESTRING (37.7092197 55.5558534, 37.7091952 55.5558748, 37.7088647 55.5561623)",,
125392283,False,Южная улица,residential,False,119.893,,"LINESTRING (37.7092197 55.5558534, 37.7091817 55.5558427, 37.7075135 55.5553725)",,
175583381,True,улица Гаевского,residential,False,26.043,,"LINESTRING (37.7092197 55.5558534, 37.7093895 55.5557178, 37.7094591 55.5556623)",,
33762123,False,Клубный переулок,residential,False,90.856,,"LINESTRING (37.7072676 55.5575061, 37.7066539 55.5582458)",,
33762112,False,Садовая улица,residential,False,293.55899999999997,,"LINESTRING (37.7072676 55.5575061, 37.7077189 55.5576329, 37.7084714 55.5578582, 37.7104045 55.5584344, 37.7105648 55.55852, 37.7109295 55.5587901, 37.7111684 55.5588983)",,
33762112,False,Садовая улица,residential,True,107.25999999999999,,"LINESTRING (37.7072676 55.5575061, 37.7072138 55.5574957, 37.7057369 55.5570813)",,
