osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,tunnel
669048483,True,1,Малый Казённый переулок,unclassified,30,False,40.922,"LINESTRING (37.6517639 55.7597111, 37.6518242 55.7597504, 37.651885 55.7597773, 37.6521327 55.7598478, 37.6523062 55.7599112)",
"[669048480, 669048481, 22578474]",True,1,Лялин переулок,unclassified,30,False,251.37,"LINESTRING (37.6533066 55.7562323, 37.6534075 55.7562518, 37.6536004 55.7562891, 37.6536295 55.7562968, 37.6536498 55.7563119, 37.6536562 55.7563263, 37.6536522 55.7563432, 37.6532013 55.7571373, 37.6529961 55.7574945, 37.6529678 55.7575437, 37.6528484 55.7577514, 37.6527544 55.7579138, 37.6527018 55.7580047, 37.6526968 55.7580133, 37.6526541 55.7580873, 37.6525769 55.7582205, 37.6525524 55.7582628)",
"[669048478, 669048477, 670977254, 669048479]",False,2,Подсосенский переулок,unclassified,30,False,217.41799999999998,"LINESTRING (37.6533066 55.7562323, 37.6533572 55.7561599, 37.6535485 55.7557988, 37.6536129 55.7556705, 37.6536698 55.7555611, 37.6536981 55.7555067, 37.6537883 55.755326, 37.6538465 55.7552149, 37.6538649 55.7551796, 37.6538954 55.7551215, 37.6539134 55.7550871, 37.653978 55.7549633, 37.6540572 55.7548135, 37.6541164 55.7547017, 37.6542429 55.7544651, 37.6542923 55.7544158, 37.6543532 55.7543737)",
22579770,True,1,Подсосенский переулок,unclassified,30,False,116.86800000000001,"LINESTRING (37.6521341 55.7570478, 37.6526134 55.7567515, 37.652743 55.7566673, 37.6529319 55.7565315, 37.6532173 55.7563178, 37.6532377 55.7562993, 37.6532872 55.7562518, 37.6533066 55.7562323)",
"[179982153, 179982146, 588222838]",False,"['2', '4']",улица Воронцово Поле,tertiary,50,False,165.12399999999997,"LINESTRING (37.6543532 55.7543737, 37.6544519 55.7544092, 37.6547798 55.7544904, 37.6548078 55.7544961, 37.6549609 55.7545281, 37.6551319 55.7545596, 37.6551459 55.7545621, 37.6558416 55.7546891, 37.6559063 55.7546995, 37.6561286 55.7547293, 37.6563027 55.7547464, 37.6564317 55.7547555, 37.6566121 55.7547591, 37.6568731 55.7547518)",
"[670977254, 669048477, 669048478, 669048479]",False,2,Подсосенский переулок,unclassified,30,True,217.418,"LINESTRING (37.6543532 55.7543737, 37.6542923 55.7544158, 37.6542429 55.7544651, 37.6541164 55.7547017, 37.6540572 55.7548135, 37.653978 55.7549633, 37.6539134 55.7550871, 37.6538954 55.7551215, 37.6538649 55.7551796, 37.6538465 55.7552149, 37.6537883 55.755326, 37.6536981 55.7555067, 37.6536698 55.7555611, 37.6536129 55.7556705, 37.6535485 55.7557988, 37.6533572 55.7561599, 37.6533066 55.7562323)",
"[22580628, 677332590]",False,2,улица Воронцово Поле,tertiary,50,True,174.103,"LINESTRING (37.6543532 55.7543737, 37.6543418 55.754368, 37.6542356 55.7543147, 37.6540918 55.7542272, 37.6540708 55.7542148, 37.6538474 55.7540835, 37.6534947 55.7539101, 37.6531279 55.7537561, 37.6530579 55.7537304, 37.6528613 55.753657, 37.6526227 55.7535802, 37.6524824 55.7535428, 37.6523123 55.7535001, 37.6521282 55.7534596)",
284196935,True,5,улица Земляной Вал,primary,RU:urban,False,104.585,"LINESTRING (37.6575637 55.7593467, 37.6576098 55.7584065)",
"[22579608, 669048489]",False,2,Яковоапостольский переулок,unclassified,30,True,335.90700000000004,"LINESTRING (37.6575637 55.7593467, 37.657318 55.7592936, 37.6569668 55.7592176, 37.6568338 55.7591888, 37.6565817 55.7591343, 37.6564192 55.7590992, 37.655837 55.7589732, 37.6554505 55.7588896, 37.6553285 55.7588632, 37.6549035 55.7587714, 37.6548876 55.7587679, 37.6546804 55.7587231, 37.6544875 55.7586813, 37.6541381 55.7586057, 37.6536928 55.7585094, 37.6536125 55.758492, 37.6534235 55.7584512, 37.6533679 55.7584392, 37.6531422 55.7583904, 37.6531264 55.758387, 37.6526604 55.7582861, 37.6525524 55.7582628)",
"[929889203, 929889204, 73832957]",True,1,,unclassified,,False,254.303,"LINESTRING (37.6602477 55.7563082, 37.6603724 55.7563414, 37.6604827 55.7563755, 37.6605524 55.7564245, 37.6605836 55.7564978, 37.6603273 55.7570512, 37.6602089 55.7573068, 37.6601647 55.7573879, 37.660026 55.7576657, 37.6597542 55.7581797, 37.6596482 55.7582521, 37.6595262 55.7582898, 37.659385 55.7583124)",
