osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge,access
26252771,,улица Будённого,residential,False,False,201.392,"LINESTRING (32.4602221 57.6465598, 32.4603395 57.6465376, 32.4605423 57.6464867, 32.4615249 57.6463607, 32.46203 57.6463219, 32.4626191 57.6462519, 32.4634984 57.6461228)",,,,
28424415,,Болотный переулок,residential,False,False,143.079,"LINESTRING (32.4602221 57.6465598, 32.4600535 57.6464022, 32.4594157 57.6457112, 32.4590697 57.6454327)",,,,
26252647,,улица 1 Мая,residential,False,True,174.315,"LINESTRING (32.466281 57.641514, 32.4691319 57.6411544)",,,,
1075197101,,улица 1 Мая,residential,False,False,187.438,"LINESTRING (32.466281 57.641514, 32.4632228 57.641917)",,,,
1075197100,,улица Карла Либкнехта,residential,False,False,153.081,"LINESTRING (32.466281 57.641514, 32.4660064 57.6409049, 32.4657418 57.6402661, 32.4656277 57.6401923)",,,,no
26252647,,улица 1 Мая,residential,False,False,174.315,"LINESTRING (32.4691319 57.6411544, 32.466281 57.641514)",,,,
26252647,,улица 1 Мая,residential,False,True,170.722,"LINESTRING (32.4691319 57.6411544, 32.4719274 57.64081)",,,,
26256725,,улица Ефищенко,residential,False,False,140.683,"LINESTRING (32.4691319 57.6411544, 32.4697201 57.6423798)",,,,
26256725,,улица Ефищенко,residential,False,True,154.323,"LINESTRING (32.4691319 57.6411544, 32.4684991 57.6398085)",,,,
26252647,,улица 1 Мая,residential,False,False,170.722,"LINESTRING (32.4719274 57.64081, 32.4691319 57.6411544)",,,,
26256742,,улица Ремизова,residential,False,False,125.031,"LINESTRING (32.4719274 57.64081, 32.4723212 57.6419145)",,,,
26256742,,улица Ремизова,residential,False,True,155.691,"LINESTRING (32.4719274 57.64081, 32.47125 57.6394576)",,,,
26256742,,улица Ремизова,residential,False,False,155.691,"LINESTRING (32.47125 57.6394576, 32.4719274 57.64081)",,,,
26256742,,улица Ремизова,residential,False,True,146.456,"LINESTRING (32.47125 57.6394576, 32.4706292 57.6381831)",,,,
28424444,,улица Силина,residential,False,False,168.309,"LINESTRING (32.47125 57.6394576, 32.4684991 57.6398085)",,,,
26256725,,улица Ефищенко,residential,False,False,154.323,"LINESTRING (32.4684991 57.6398085, 32.4691319 57.6411544)",,,,
26256725,,улица Ефищенко,residential,False,True,150.221,"LINESTRING (32.4684991 57.6398085, 32.4679294 57.6384924)",,,,
28424444,,улица Силина,residential,False,False,176.142,"LINESTRING (32.4684991 57.6398085, 32.4656277 57.6401923)",,,,
28424444,,улица Силина,residential,False,True,168.309,"LINESTRING (32.4684991 57.6398085, 32.47125 57.6394576)",,,,
26252596,,улица К.Маркса,residential,False,False,150.296,"LINESTRING (32.4574408 57.6412282, 32.4580036 57.6424617, 32.4580396 57.6425413)",,,,
26252596,,улица К.Маркса,residential,False,True,93.559,"LINESTRING (32.4574408 57.6412282, 32.4572642 57.6408556, 32.4570966 57.6404075)",,,,
675297205,,улица Силина,residential,False,True,143.96,"LINESTRING (32.4574408 57.6412282, 32.4583425 57.6410872, 32.4587731 57.6410426, 32.4591916 57.6410154, 32.4595273 57.641014, 32.4598063 57.6409866)",,,,
28424456,,улица Володарского,residential,False,True,6.328,"LINESTRING (32.4598063 57.6409866, 32.4598329 57.6409315)",,,,
28424456,,улица Володарского,residential,False,False,142.84,"LINESTRING (32.4598063 57.6409866, 32.4603601 57.6421673, 32.4603426 57.6422339)",,,,
675297205,,улица Силина,residential,False,False,143.96,"LINESTRING (32.4598063 57.6409866, 32.4595273 57.641014, 32.4591916 57.6410154, 32.4587731 57.6410426, 32.4583425 57.6410872, 32.4574408 57.6412282)",,,,
