osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref
913024954,,residential,False,False,243.655,"LINESTRING (51.9256455 56.7672081, 51.9259733 56.7674312, 51.9263649 56.7675253, 51.9268799 56.7675752, 51.9271132 56.7675635, 51.9272286 56.767512, 51.9272849 56.7673665, 51.92725 56.7672857, 51.9271229 56.7672183, 51.9266385 56.7671254, 51.9262642 56.7670969, 51.9256455 56.7672081)",,
913024954,,residential,False,True,243.655,"LINESTRING (51.9256455 56.7672081, 51.9262642 56.7670969, 51.9266385 56.7671254, 51.9271229 56.7672183, 51.92725 56.7672857, 51.9272849 56.7673665, 51.9272286 56.767512, 51.9271132 56.7675635, 51.9268799 56.7675752, 51.9263649 56.7675253, 51.9259733 56.7674312, 51.9256455 56.7672081)",,
317902181,,unclassified,False,True,341.82800000000003,"LINESTRING (51.9270186 56.7659192, 51.9269425 56.7659997, 51.9266605 56.7662981, 51.926538 56.7663429, 51.9252414 56.7661666, 51.9250933 56.7661974, 51.9246688 56.7661307, 51.9244265 56.7661273, 51.9242647 56.7661714, 51.9242074 56.7662423, 51.9241873 56.7663128, 51.9244401 56.766884, 51.9247274 56.7673976)",,
338255423,Интернациональная улица,secondary,False,True,60.986000000000004,"LINESTRING (51.9270186 56.7659192, 51.9275112 56.7660585, 51.9279286 56.7661453)",,
121911531,Интернациональная улица,secondary,False,False,5.747,"LINESTRING (51.9374048 56.7692821, 51.9373146 56.769267)",,
121911531,Интернациональная улица,secondary,False,True,10.816,"LINESTRING (51.9374048 56.7692821, 51.9375726 56.7693138)",,
334478827,,residential,False,True,36.546,"LINESTRING (51.9374048 56.7692821, 51.9372146 56.7695938)",,
334478827,,residential,False,False,36.546,"LINESTRING (51.9372146 56.7695938, 51.9374048 56.7692821)",,
334478782,,residential,False,False,92.27600000000001,"LINESTRING (51.9372146 56.7695938, 51.9371277 56.769962, 51.9372753 56.7704134)",,
334478827,,residential,False,True,284.891,"LINESTRING (51.9372146 56.7695938, 51.9369402 56.7696729, 51.9350993 56.7699855, 51.9347522 56.7700961, 51.9344062 56.7702387, 51.9334289 56.7709354)",,
334478790,,residential,False,True,137.644,"LINESTRING (51.9273755 56.7702728, 51.9263698 56.7691644)",,
334478785,,residential,False,True,123.547,"LINESTRING (51.9273755 56.7702728, 51.9283014 56.7700417, 51.9292939 56.7699388)",,
334478782,,residential,False,True,92.27600000000001,"LINESTRING (51.9372753 56.7704134, 51.9371277 56.769962, 51.9372146 56.7695938)",,
334478832,,residential,False,False,276.706,"LINESTRING (51.9372753 56.7704134, 51.9366001 56.7700747, 51.9364259 56.7700065, 51.9361308 56.7700094, 51.9354603 56.7701005, 51.9348246 56.7702813, 51.9335983 56.7709339)",,
357336435,,residential,False,False,184.36700000000002,"LINESTRING (51.9323342 56.7660122, 51.9340863 56.7668316, 51.9345367 56.7671409)",,
357336435,,residential,False,True,137.863,"LINESTRING (51.9323342 56.7660122, 51.9309778 56.7655082, 51.9308871 56.7653614, 51.9308897 56.7651747)",,
913022751,"с.Вавож, переулок Коммунальный",residential,False,False,153.714,"LINESTRING (51.9323342 56.7660122, 51.932888 56.7656319, 51.9330865 56.7654732, 51.9331133 56.7653761, 51.9322443 56.7650027)",,
"[334478861, 334478845]",,residential,False,"[False, True]",492.1859999999999,"LINESTRING (51.9361702 56.7660279, 51.9355784 56.7653652, 51.935221 56.7650269, 51.9341092 56.7645758, 51.9338602 56.7644531, 51.9337338 56.764192, 51.9338133 56.7640475, 51.934842 56.7636736, 51.9352296 56.7635797, 51.9355193 56.7635062, 51.9359806 56.7634974, 51.9363494 56.7635033, 51.9370669 56.7635488)",,
334478845,,residential,False,True,372.12100000000004,"LINESTRING (51.9361702 56.7660279, 51.9366663 56.7666502, 51.936914 56.7670467, 51.9371426 56.7680248, 51.9371409 56.7681827, 51.9370656 56.7686708, 51.9372755 56.7690445, 51.9373146 56.769267)",,
357336439,,residential,False,True,162.21200000000002,"LINESTRING (51.9361702 56.7660279, 51.9358193 56.7663918, 51.9348856 56.7670548, 51.9345367 56.7671409)",,
357336435,,residential,False,True,184.36700000000002,"LINESTRING (51.9345367 56.7671409, 51.9340863 56.7668316, 51.9323342 56.7660122)",,
357336439,,residential,False,False,162.212,"LINESTRING (51.9345367 56.7671409, 51.9348856 56.7670548, 51.9358193 56.7663918, 51.9361702 56.7660279)",,
357336439,,residential,False,True,72.022,"LINESTRING (51.9345367 56.7671409, 51.9340812 56.7674117, 51.9337184 56.767608)",,
121911531,Интернациональная улица,secondary,False,False,10.816,"LINESTRING (51.9375726 56.7693138, 51.9374048 56.7692821)",,
357336435,,residential,False,False,44.772999999999996,"LINESTRING (51.9303185 56.7631622, 51.93034 56.7633357, 51.9305921 56.763518)",,
357336435,,residential,False,False,220.273,"LINESTRING (51.9305921 56.763518, 51.9312603 56.7636396, 51.9314128 56.7637355, 51.9313009 56.7641183, 51.9310695 56.7647146, 51.9308897 56.7651747)",,
876251548,,residential,False,False,185.899,"LINESTRING (51.9305921 56.763518, 51.930753 56.763859, 51.9308361 56.7641839, 51.9308522 56.7648616, 51.9308897 56.7651747)",,
357336435,,residential,False,True,44.772999999999996,"LINESTRING (51.9305921 56.763518, 51.93034 56.7633357, 51.9303185 56.7631622)",,
357336435,,residential,False,False,137.863,"LINESTRING (51.9308897 56.7651747, 51.9308871 56.7653614, 51.9309778 56.7655082, 51.9323342 56.7660122)",,
357336435,,residential,False,True,220.273,"LINESTRING (51.9308897 56.7651747, 51.9310695 56.7647146, 51.9313009 56.7641183, 51.9314128 56.7637355, 51.9312603 56.7636396, 51.9305921 56.763518)",,
876251548,,residential,False,True,185.899,"LINESTRING (51.9308897 56.7651747, 51.9308522 56.7648616, 51.9308361 56.7641839, 51.930753 56.763859, 51.9305921 56.763518)",,
876251549,,residential,False,True,349.61,"LINESTRING (51.9249862 56.763615, 51.9247556 56.7639928, 51.9246157 56.7642638, 51.9246068 56.7642905, 51.9246043 56.764312, 51.9246054 56.7643353, 51.9248629 56.7645676, 51.9250908 56.7647822, 51.925292 56.7648807, 51.9255978 56.7649733, 51.9259599 56.7650512, 51.9263059 56.7651233, 51.926609 56.7651497, 51.9269067 56.7651468, 51.9270274 56.7651247, 51.9270784 56.7650704, 51.9271803 56.7649469, 51.9272554 56.7649116, 51.9275788 56.7649199, 51.9281006 56.7649457)",,
338255423,Интернациональная улица,secondary,False,False,60.986000000000004,"LINESTRING (51.9279286 56.7661453, 51.9275112 56.7660585, 51.9270186 56.7659192)",,
338255423,Интернациональная улица,secondary,False,True,191.957,"LINESTRING (51.9279286 56.7661453, 51.928199 56.7661818, 51.9286228 56.7662302, 51.9292495 56.7663018, 51.9302434 56.7664154, 51.9309938 56.766538)",,
876251550,,residential,False,True,134.31,"LINESTRING (51.9279286 56.7661453, 51.92806 56.7657084, 51.9281352 56.7652144, 51.9281006 56.7649457)",,
876251549,,residential,False,False,349.60999999999996,"LINESTRING (51.9281006 56.7649457, 51.9275788 56.7649199, 51.9272554 56.7649116, 51.9271803 56.7649469, 51.9270784 56.7650704, 51.9270274 56.7651247, 51.9269067 56.7651468, 51.926609 56.7651497, 51.9263059 56.7651233, 51.9259599 56.7650512, 51.9255978 56.7649733, 51.925292 56.7648807, 51.9250908 56.7647822, 51.9248629 56.7645676, 51.9246054 56.7643353, 51.9246043 56.764312, 51.9246068 56.7642905, 51.9246157 56.7642638, 51.9247556 56.7639928, 51.9249862 56.763615)",,
876251550,,residential,False,False,134.31,"LINESTRING (51.9281006 56.7649457, 51.9281352 56.7652144, 51.92806 56.7657084, 51.9279286 56.7661453)",,
876251550,,residential,False,True,121.184,"LINESTRING (51.9281006 56.7649457, 51.9280225 56.7646058, 51.9279313 56.7642089, 51.9279581 56.763862)",,
876251550,,residential,False,False,121.184,"LINESTRING (51.9279581 56.763862, 51.9279313 56.7642089, 51.9280225 56.7646058, 51.9281006 56.7649457)",,
913022720,"с.Вавож, переулок Майский",residential,False,False,231.57,"LINESTRING (51.9346958 56.7695964, 51.9328505 56.7686659, 51.9324374 56.768419, 51.9320558 56.7681097)",,
317902177,,unclassified,False,True,10.323,"LINESTRING (51.9335983 56.7709339, 51.9334289 56.7709354)",,
334478832,,residential,False,True,276.706,"LINESTRING (51.9335983 56.7709339, 51.9348246 56.7702813, 51.9354603 56.7701005, 51.9361308 56.7700094, 51.9364259 56.7700065, 51.9366001 56.7700747, 51.9372753 56.7704134)",,
913022751,"с.Вавож, переулок Коммунальный",residential,False,True,153.714,"LINESTRING (51.9322443 56.7650027, 51.9331133 56.7653761, 51.9330865 56.7654732, 51.932888 56.7656319, 51.9323342 56.7660122)",,
317902181,,unclassified,False,True,8.408,"LINESTRING (51.9247274 56.7673976, 51.9247678 56.7674699)",,
913024954,,residential,False,True,59.785,"LINESTRING (51.9247274 56.7673976, 51.9256455 56.7672081)",,
317902181,,unclassified,False,False,341.82800000000003,"LINESTRING (51.9247274 56.7673976, 51.9244401 56.766884, 51.9241873 56.7663128, 51.9242074 56.7662423, 51.9242647 56.7661714, 51.9244265 56.7661273, 51.9246688 56.7661307, 51.9250933 56.7661974, 51.9252414 56.7661666, 51.926538 56.7663429, 51.9266605 56.7662981, 51.9269425 56.7659997, 51.9270186 56.7659192)",,
334478785,,residential,False,False,123.547,"LINESTRING (51.9292939 56.7699388, 51.9283014 56.7700417, 51.9273755 56.7702728)",,
"[334478845, 334478861]",,residential,False,"[False, True]",492.18600000000004,"LINESTRING (51.9370669 56.7635488, 51.9363494 56.7635033, 51.9359806 56.7634974, 51.9355193 56.7635062, 51.9352296 56.7635797, 51.934842 56.7636736, 51.9338133 56.7640475, 51.9337338 56.764192, 51.9338602 56.7644531, 51.9341092 56.7645758, 51.935221 56.7650269, 51.9355784 56.7653652, 51.9361702 56.7660279)",,
