osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
205898269,,улица Крупской,residential,,False,False,95.03099999999999,"LINESTRING (54.1115723 54.5517446, 54.1114893 54.5518547, 54.1106133 54.5523851)",
205898302,,,residential,,False,True,106.146,"LINESTRING (54.1037163 54.5518578, 54.1049852 54.5512498)",
808662629,,Речная улица,residential,,False,False,159.173,"LINESTRING (54.1037163 54.5518578, 54.1054611 54.5528703)",
808662629,,Речная улица,residential,,False,True,182.379,"LINESTRING (54.1037163 54.5518578, 54.1017503 54.5506788)",
205898307,,,residential,,False,False,106.84,"LINESTRING (54.1082961 54.5520847, 54.10681 54.5525094)",
206273595,,Центральная улица,residential,60,False,False,101.287,"LINESTRING (54.1082961 54.5520847, 54.1073639 54.5513516)",
206273595,,Центральная улица,residential,60,False,True,134.373,"LINESTRING (54.1082961 54.5520847, 54.1095987 54.5530279)",
205898269,,улица Крупской,residential,,False,False,96.901,"LINESTRING (54.1106133 54.5523851, 54.1095987 54.5530279)",
205898326,,переулок Пушкина,residential,,False,False,213.055,"LINESTRING (54.1106133 54.5523851, 54.1084255 54.5509494)",
205898269,,улица Крупской,residential,,False,True,95.03099999999999,"LINESTRING (54.1106133 54.5523851, 54.1114893 54.5518547, 54.1115723 54.5517446)",
205898287,,Социалистическая улица,residential,,False,False,182.937,"LINESTRING (54.10681 54.5525094, 54.1049852 54.5512498)",
205898287,,Социалистическая улица,residential,,False,True,243.686,"LINESTRING (54.10681 54.5525094, 54.1092437 54.5541859)",
205898307,,,residential,,False,False,95.798,"LINESTRING (54.10681 54.5525094, 54.1054611 54.5528703)",
205898307,,,residential,,False,True,106.84,"LINESTRING (54.10681 54.5525094, 54.1082961 54.5520847)",
205898307,,,residential,,False,True,95.798,"LINESTRING (54.1054611 54.5528703, 54.10681 54.5525094)",
808662629,,Речная улица,residential,,False,True,159.173,"LINESTRING (54.1054611 54.5528703, 54.1037163 54.5518578)",
808662629,,Речная улица,residential,,False,False,253.49599999999998,"LINESTRING (54.1054611 54.5528703, 54.1055185 54.552922, 54.1079265 54.5546455)",
205898269,,улица Крупской,residential,,False,True,96.901,"LINESTRING (54.1095987 54.5530279, 54.1106133 54.5523851)",
206273595,,Центральная улица,residential,60,False,False,134.373,"LINESTRING (54.1095987 54.5530279, 54.1082961 54.5520847)",
206273595,,Центральная улица,residential,60,False,True,85.901,"LINESTRING (54.1095987 54.5530279, 54.1104365 54.5536285)",
205898308,,,residential,,False,False,98.783,"LINESTRING (54.1104365 54.5536285, 54.1092437 54.5541859)",
206273595,,Центральная улица,residential,60,False,False,85.901,"LINESTRING (54.1104365 54.5536285, 54.1095987 54.5530279)",
206273595,,Центральная улица,residential,60,False,True,78.949,"LINESTRING (54.1104365 54.5536285, 54.111263 54.5541523)",
205898287,,Социалистическая улица,residential,,False,False,243.686,"LINESTRING (54.1092437 54.5541859, 54.10681 54.5525094)",
205898308,,,residential,,False,False,99.129,"LINESTRING (54.1092437 54.5541859, 54.1079265 54.5546455)",
205898308,,,residential,,False,True,98.783,"LINESTRING (54.1092437 54.5541859, 54.1104365 54.5536285)",
206273595,,Центральная улица,residential,60,False,False,78.949,"LINESTRING (54.111263 54.5541523, 54.1104365 54.5536285)",
205898308,,,residential,,False,True,99.129,"LINESTRING (54.1079265 54.5546455, 54.1092437 54.5541859)",
"[206273592, 808662629, 206273591]",,Речная улица,residential,,False,False,114.598,"LINESTRING (54.1079265 54.5546455, 54.1082283 54.5549483, 54.1083151 54.5551013, 54.1082704 54.5552194, 54.1079416 54.555361, 54.107693 54.5554335)",yes
808662629,,Речная улица,residential,,False,True,253.49599999999998,"LINESTRING (54.1079265 54.5546455, 54.1055185 54.552922, 54.1054611 54.5528703)",
"[206273592, 808662629, 206273591]",,Речная улица,residential,,False,True,114.598,"LINESTRING (54.107693 54.5554335, 54.1079416 54.555361, 54.1082704 54.5552194, 54.1083151 54.5551013, 54.1082283 54.5549483, 54.1079265 54.5546455)",yes
