osmid,ref,highway,oneway,reversed,length,name,geometry
237686366,,residential,False,False,33.088,улица Радищева,"LINESTRING (45.959838 53.0310321, 45.9596351 53.0313035)"
237686366,,residential,False,True,36.17,улица Радищева,"LINESTRING (45.959838 53.0310321, 45.9600966 53.0307464)"
236479873,,residential,False,True,453.797,Больничная улица,"LINESTRING (45.959838 53.0310321, 45.9594128 53.0308764, 45.9577986 53.029989, 45.9563765 53.0291537, 45.9547159 53.0283676)"
217452864,,residential,False,False,13.095,Советская улица,"LINESTRING (45.9556183 53.0259902, 45.9557471 53.0260789)"
217452864,,residential,False,True,229.016,Советская улица,"LINESTRING (45.9556183 53.0259902, 45.9553367 53.0258176, 45.9550149 53.0255998, 45.9547708 53.025461, 45.9543953 53.0252336, 45.953891 53.0249851, 45.9535504 53.0248399, 45.9532258 53.0246899, 45.9531024 53.0246028)"
236476930,,residential,False,True,524.938,Коммунальная улица,"LINESTRING (45.9556183 53.0259902, 45.9548396 53.0264225, 45.9547698 53.0264193, 45.9544319 53.0262967, 45.9543675 53.0263225, 45.9527767 53.0276813, 45.9520814 53.028359, 45.9517098 53.0287772, 45.9512859 53.0291641, 45.9509488 53.0294638)"
217452823,,residential,False,False,227.9,Складская улица,"LINESTRING (45.9547159 53.0283676, 45.9553003 53.0276966, 45.9554008 53.0276137, 45.956569 53.0266539)"
217452823,,residential,False,True,238.887,Складская улица,"LINESTRING (45.9547159 53.0283676, 45.9530767 53.0299745, 45.9528407 53.0301961)"
236479873,,residential,False,False,453.79699999999997,Больничная улица,"LINESTRING (45.9547159 53.0283676, 45.9563765 53.0291537, 45.9577986 53.029989, 45.9594128 53.0308764, 45.959838 53.0310321)"
237686366,,residential,False,True,33.088,улица Радищева,"LINESTRING (45.9596351 53.0313035, 45.959838 53.0310321)"
237686366,,residential,False,False,36.17,улица Радищева,"LINESTRING (45.9600966 53.0307464, 45.959838 53.0310321)"
237686366,,residential,False,True,162.636,улица Радищева,"LINESTRING (45.9600966 53.0307464, 45.961024 53.0293943)"
236512867,,residential,False,True,123.348,,"LINESTRING (45.9519725 53.0311278, 45.9521174 53.0309201, 45.9525733 53.030267, 45.9528407 53.0301961)"
217452864,,residential,False,False,229.01600000000002,Советская улица,"LINESTRING (45.9531024 53.0246028, 45.9532258 53.0246899, 45.9535504 53.0248399, 45.953891 53.0249851, 45.9543953 53.0252336, 45.9547708 53.025461, 45.9550149 53.0255998, 45.9553367 53.0258176, 45.9556183 53.0259902)"
217452864,,residential,False,True,185.69899999999998,Советская улица,"LINESTRING (45.9531024 53.0246028, 45.9528315 53.0244931, 45.9523664 53.0242877, 45.9522871 53.0242527, 45.951697 53.0239865, 45.9510264 53.0237735, 45.9507734 53.0237033)"
236476472,,residential,False,False,116.2,1-я Школьная улица,"LINESTRING (45.9531024 53.0246028, 45.9525731 53.0250616, 45.952333 53.0251432, 45.9520579 53.0251965, 45.9518161 53.025217)"
236589636,,residential,False,False,29.003,,"LINESTRING (45.9633792 53.0311489, 45.9632134 53.0311199, 45.9629887 53.03104)"
236589650,,residential,False,False,104.78699999999999,,"LINESTRING (45.9633792 53.0311489, 45.9635854 53.0309861, 45.963882 53.0307329, 45.9638519 53.0305261, 45.9636603 53.0303382)"
236589636,,residential,False,True,29.003,,"LINESTRING (45.9629887 53.03104, 45.9632134 53.0311199, 45.9633792 53.0311489)"
217452864,,residential,False,True,210.61700000000002,Советская улица,"LINESTRING (45.9636603 53.0303382, 45.9636224 53.0303034, 45.963512 53.0302583, 45.9632159 53.0301706, 45.9627697 53.0300776, 45.9624118 53.0300005, 45.9619435 53.0299155, 45.9617527 53.0298587, 45.9611792 53.0295063, 45.961024 53.0293943)"
236589650,,residential,False,True,104.787,,"LINESTRING (45.9636603 53.0303382, 45.9638519 53.0305261, 45.963882 53.0307329, 45.9635854 53.0309861, 45.9633792 53.0311489)"
236456171,,residential,False,False,128.423,Заречная улица,"LINESTRING (45.9577859 53.0236534, 45.9562329 53.0229742)"
"[236456171, 236456174]",,residential,False,"[False, True]",254.07199999999997,Заречная улица,"LINESTRING (45.9577859 53.0236534, 45.95909 53.0242184, 45.9602323 53.0246871, 45.9608699 53.024735, 45.9609897 53.0246656)"
237283348,,residential,False,False,65.154,,"LINESTRING (45.9577859 53.0236534, 45.957444 53.0239256, 45.9571298 53.0240812)"
217452827,,residential,False,True,193.822,,"LINESTRING (45.9563455 53.0240326, 45.9563923 53.0243697, 45.9570412 53.024718, 45.9571194 53.0248042, 45.9571129 53.0249609, 45.9566402 53.0254349, 45.9565601 53.0254911)"
239012838,,residential,False,True,54.141000000000005,Овражная улица,"LINESTRING (45.9563455 53.0240326, 45.9567046 53.0239997, 45.9571298 53.0240812)"
239012851,,residential,False,False,73.874,Овражная улица,"LINESTRING (45.9563455 53.0240326, 45.9563391 53.0239862, 45.9563037 53.0238157, 45.955737 53.0235281)"
236589100,,residential,False,True,140.02599999999998,,"LINESTRING (45.9502499 53.0226581, 45.9506059 53.0228522, 45.9510489 53.0231888, 45.950944 53.0234202, 45.9507734 53.0237033)"
217452864,,residential,False,True,135.379,Советская улица,"LINESTRING (45.961024 53.0293943, 45.9595828 53.0285393)"
237686366,,residential,False,False,162.636,улица Радищева,"LINESTRING (45.961024 53.0293943, 45.9600966 53.0307464)"
