osmid,oneway,highway,reversed,length,geometry,name,maxspeed,lanes,ref,bridge
44900615,True,tertiary,False,46.737,"LINESTRING (38.7026715 44.312641, 38.7025576 44.3126262, 38.7024578 44.3126488, 38.7023768 44.3126857, 38.7023128 44.3127366, 38.7022076 44.3128369)",,,,,
91951248,False,tertiary,True,300.08500000000004,"LINESTRING (38.7026715 44.312641, 38.7035916 44.3131766, 38.7037509 44.3133, 38.7038596 44.313479, 38.7039461 44.3136468, 38.7041805 44.3142302, 38.7043342 44.3146242, 38.7044375 44.3149066)",Советская улица,60,,,
31010652,False,trunk,False,28.821,"LINESTRING (38.7022076 44.3128369, 38.7022054 44.3127448, 38.7022032 44.3126689, 38.7021949 44.3126132, 38.702182 44.3125793)",Черноморская улица,RU:urban,2,А-147,
"[1014158533, 213544047, 583406833, 31010651, 31010652]",False,trunk,True,543.011,"LINESTRING (38.7022076 44.3128369, 38.70216 44.3129737, 38.7019479 44.3134578, 38.7019388 44.3134774, 38.7018607 44.3136479, 38.7015209 44.3144028, 38.7014008 44.3146792, 38.7011157 44.3153353, 38.7009969 44.3156008, 38.7008659 44.3158078, 38.700734 44.3159703, 38.7007078 44.3159986, 38.7005399 44.3161758, 38.7002888 44.3164015, 38.6994773 44.3171229, 38.6993831 44.3172085)","['Черноморская улица', 'Новороссийское шоссе']","['60', 'RU:urban']","['2', '3']",А-147,yes
38353879,False,residential,False,82.081,"LINESTRING (38.7044375 44.3149066, 38.7045384 44.3148761, 38.704795 44.3148371, 38.7049504 44.3147922, 38.7050971 44.3147458, 38.7052005 44.3147317, 38.7052585 44.3147398, 38.7053527 44.314777, 38.7054119 44.3147834)",Почтовый переулок,,,,
91951248,False,tertiary,False,300.085,"LINESTRING (38.7044375 44.3149066, 38.7043342 44.3146242, 38.7041805 44.3142302, 38.7039461 44.3136468, 38.7038596 44.313479, 38.7037509 44.3133, 38.7035916 44.3131766, 38.7026715 44.312641)",Советская улица,60,,,
91951248,False,tertiary,True,66.917,"LINESTRING (38.7044375 44.3149066, 38.7044775 44.3152426, 38.7044581 44.3154534, 38.7044429 44.3155056)",Советская улица,60,,,
"[91951248, 91951307, 26541108]",False,tertiary,False,103.184,"LINESTRING (38.7036144 44.3162161, 38.7037199 44.316098, 38.7038781 44.3159711, 38.7039978 44.3158841, 38.7041026 44.3158044, 38.7044074 44.31555, 38.7044429 44.3155056)",Советская улица,60,,,yes
26541108,False,tertiary,True,131.923,"LINESTRING (38.7036144 44.3162161, 38.703518 44.3163663, 38.7034651 44.3165263, 38.7034467 44.3166939, 38.7034387 44.3169563, 38.7034463 44.3172025, 38.7034574 44.3173822)",Советская улица,,,,
92119531,False,residential,False,73.753,"LINESTRING (38.7036144 44.3162161, 38.7038639 44.316289, 38.7040539 44.3163103, 38.704519 44.316317)",Зелёная улица,,,,
26541108,False,tertiary,False,50.857,"LINESTRING (38.7036463 44.3193052, 38.7035969 44.3188492)",Советская улица,,,,
