osmid,highway,oneway,reversed,length,bridge,lanes,name,maxspeed,geometry,ref,junction
73249170,residential,False,True,159.59700000000004,,,,,"LINESTRING (38.1408049 55.9059855, 38.1407569 55.905979, 38.1406012 55.9059694, 38.1399942 55.9059338, 38.1398612 55.9059111, 38.1398207 55.9058074, 38.139919 55.9052338, 38.1398295 55.9050223)",,
73249173,residential,False,False,46.265,,,,,"LINESTRING (38.1408049 55.9059855, 38.1409465 55.9060016, 38.1415371 55.9060533)",,
73249165,residential,False,False,91.15700000000001,,,Октябрьская улица,,"LINESTRING (38.143306 55.9055205, 38.1425844 55.905379, 38.1419139 55.9052703)",,
73249165,residential,False,True,191.165,,,Октябрьская улица,,"LINESTRING (38.143306 55.9055205, 38.1437972 55.9056032, 38.1462452 55.9060115)",,
73249175,residential,False,True,43.005,,,,,"LINESTRING (38.1419139 55.9052703, 38.1417342 55.9056437)",,
73249165,residential,False,True,91.15700000000001,,,Октябрьская улица,,"LINESTRING (38.1419139 55.9052703, 38.1425844 55.905379, 38.143306 55.9055205)",,
"[219555866, 73249175]",residential,False,False,175.98299999999998,,,,,"LINESTRING (38.1419139 55.9052703, 38.1423767 55.9043742, 38.1423063 55.9043028, 38.1416042 55.9041437, 38.141539 55.9041289, 38.1413754 55.9040794)",,
144151646,residential,False,False,78.012,,,Советская улица,,"LINESTRING (38.1419139 55.9052703, 38.1412925 55.9051982, 38.1408716 55.9051488, 38.1406875 55.9051305)",,
162351325,residential,False,False,15.9,,,,,"LINESTRING (38.1462023 55.9054485, 38.1461772 55.9053062)",,
162351325,residential,False,True,62.66,,,,,"LINESTRING (38.1462023 55.9054485, 38.1462452 55.9060115)",,
73249175,residential,False,False,47.173,,,,,"LINESTRING (38.1415371 55.9060533, 38.1417342 55.9056437)",,
73249173,residential,False,True,46.265,,,,,"LINESTRING (38.1415371 55.9060533, 38.1409465 55.9060016, 38.1408049 55.9059855)",,
"[154199034, 154198963]",residential,False,True,465.06599999999986,,,улица Михаила Марченко,,"LINESTRING (38.1323788 55.8973331, 38.1327431 55.8973288, 38.132888 55.8973242, 38.1333206 55.8973095, 38.1334647 55.8973089, 38.1357063 55.8972112, 38.1358516 55.8972078, 38.1361502 55.8972013, 38.1364833 55.8971942, 38.1380337 55.8971578, 38.1384609 55.8971477, 38.1386278 55.8971438, 38.1386314 55.8971934, 38.1386427 55.897348, 38.1386659 55.8976668, 38.1386768 55.8978162)",,
62105625,tertiary,False,True,121.701,,,Центральная улица,,"LINESTRING (38.1386766 55.9049982, 38.1385619 55.9047715, 38.1384505 55.9045933, 38.1382965 55.9044055, 38.1381014 55.9042204, 38.137968 55.9041306, 38.1378055 55.9040358)",46Н-13080,
144151646,residential,False,True,76.59,,,Советская улица,,"LINESTRING (38.1386766 55.9049982, 38.1387542 55.9049748, 38.1388733 55.9049346, 38.1391121 55.904898, 38.1393219 55.9049204, 38.1396714 55.9049801, 38.1398295 55.9050223)",,
261711578,tertiary,True,False,28.435000000000002,,,,30,"LINESTRING (38.14333 55.9009695, 38.1434114 55.9009926, 38.1434751 55.9010293, 38.1435142 55.9010755, 38.1435246 55.9011263, 38.143505 55.9011762)",,roundabout
261711581,tertiary,False,True,234.213,,,улица Строителей,30,"LINESTRING (38.14333 55.9009695, 38.1434541 55.9007805, 38.1438299 55.900208, 38.1440485 55.8998539, 38.1442282 55.8995561, 38.1443301 55.8993576, 38.1443758 55.8992213, 38.1443878 55.8991855, 38.1444278 55.8989625)",,
261711578,tertiary,True,False,33.731,,,,30,"LINESTRING (38.1429696 55.9011313, 38.1429817 55.901071, 38.143034 55.9010179, 38.1431185 55.90098, 38.1432224 55.900963, 38.14333 55.9009695)",,roundabout
"[261711577, 261711580]",unclassified,False,False,327.646,,,,30,"LINESTRING (38.1429696 55.9011313, 38.1423624 55.9010629, 38.1422414 55.9010493, 38.1421154 55.9010411, 38.1419105 55.9010207, 38.1415717 55.9009911, 38.1410399 55.9008905, 38.1396446 55.900802, 38.1394764 55.9008215, 38.1393252 55.9008719, 38.139239 55.9009007, 38.1391297 55.9009528, 38.1389924 55.9009904, 38.1386005 55.9009698, 38.1384682 55.9009629, 38.1380133 55.9009447, 38.1378704 55.9009414)",,
261711578,tertiary,True,False,26.421999999999997,,,,30,"LINESTRING (38.143505 55.9011762, 38.1434619 55.9012172, 38.1433988 55.9012489, 38.1433216 55.9012685, 38.1432375 55.9012742, 38.1431542 55.9012654)",,roundabout
261711581,tertiary,False,False,234.21300000000002,,,улица Строителей,30,"LINESTRING (38.1444278 55.8989625, 38.1443878 55.8991855, 38.1443758 55.8992213, 38.1443301 55.8993576, 38.1442282 55.8995561, 38.1440485 55.8998539, 38.1438299 55.900208, 38.1434541 55.9007805, 38.14333 55.9009695)",,
"[219555867, 219555868, 261711581]",tertiary,False,True,152.681,yes,2,улица Строителей,30,"LINESTRING (38.1444278 55.8989625, 38.1443933 55.8986688, 38.1443029 55.8979002, 38.1442034 55.8975968)",,
261711578,tertiary,True,False,19.794,,,,30,"LINESTRING (38.1431542 55.9012654, 38.1430629 55.9012354, 38.1429982 55.9011884, 38.1429696 55.9011313)",,roundabout
548552188,tertiary,False,False,331.981,,2,улица Алексея Короткова,,"LINESTRING (38.1431542 55.9012654, 38.1430811 55.9013774, 38.1430273 55.9014597, 38.1426588 55.9020238, 38.1422559 55.9026696, 38.1421629 55.902811, 38.1421101 55.902903, 38.1414166 55.9040135, 38.1413754 55.9040794)",,
219555866,residential,False,False,232.447,,,,,"LINESTRING (38.1413754 55.9040794, 38.1411083 55.9040327, 38.1407631 55.9039724, 38.1406426 55.9039637, 38.1404705 55.9039512, 38.1401053 55.9039247, 38.1395956 55.9041191, 38.1393551 55.904132, 38.1389725 55.904115, 38.1385178 55.9040679, 38.1380813 55.9040253, 38.137948 55.904025, 38.1378055 55.9040358)",,
"[219555866, 73249175]",residential,False,True,175.983,,,,,"LINESTRING (38.1413754 55.9040794, 38.141539 55.9041289, 38.1416042 55.9041437, 38.1423063 55.9043028, 38.1423767 55.9043742, 38.1419139 55.9052703)",,
548552188,tertiary,False,True,331.9810000000001,,2,улица Алексея Короткова,,"LINESTRING (38.1413754 55.9040794, 38.1414166 55.9040135, 38.1421101 55.902903, 38.1421629 55.902811, 38.1422559 55.9026696, 38.1426588 55.9020238, 38.1430273 55.9014597, 38.1430811 55.9013774, 38.1431542 55.9012654)",,
73249175,residential,False,False,43.005,,,,,"LINESTRING (38.1417342 55.9056437, 38.1419139 55.9052703)",,
73249175,residential,False,True,47.173,,,,,"LINESTRING (38.1417342 55.9056437, 38.1415371 55.9060533)",,
888955300,residential,False,True,51.529,,,,,"LINESTRING (38.1417342 55.9056437, 38.1409264 55.9055452)",,
73249173,residential,False,False,60.428999999999995,,,,,"LINESTRING (38.1406875 55.9051305, 38.1405938 55.9054204, 38.1405991 55.905464, 38.1406823 55.9055061, 38.1409264 55.9055452)",,
144151646,residential,False,False,54.888999999999996,,,Советская улица,,"LINESTRING (38.1406875 55.9051305, 38.1402071 55.9050828, 38.1398295 55.9050223)",,
144151646,residential,False,True,78.012,,,Советская улица,,"LINESTRING (38.1406875 55.9051305, 38.1408716 55.9051488, 38.1412925 55.9051982, 38.1419139 55.9052703)",,
73249173,residential,False,False,49.541,,,,,"LINESTRING (38.1409264 55.9055452, 38.1408049 55.9059855)",,
888955300,residential,False,False,51.529,,,,,"LINESTRING (38.1409264 55.9055452, 38.1417342 55.9056437)",,
73249173,residential,False,True,60.428999999999995,,,,,"LINESTRING (38.1409264 55.9055452, 38.1406823 55.9055061, 38.1405991 55.905464, 38.1405938 55.9054204, 38.1406875 55.9051305)",,
