osmid,oneway,highway,maxspeed,reversed,length,geometry,lanes,width,name
27925922,False,tertiary,RU:urban,False,135.792,"LINESTRING (82.6373977 55.083832, 82.6376825 55.0839178, 82.6379018 55.0839839, 82.6382658 55.0841546, 82.6384805 55.0842553, 82.6385179 55.0842599, 82.6389196 55.0843378, 82.6392719 55.0843534)",,,
"[448267456, 665234257]",False,secondary,RU:urban,False,261.892,"LINESTRING (82.6373977 55.083832, 82.6377146 55.0837363, 82.6380821 55.0835902, 82.6384442 55.0834202, 82.6387611 55.0832793, 82.6391329 55.0831124, 82.6398867 55.0828502, 82.6409113 55.0826461)",2,7,Шоссейная улица
60010093,False,residential,RU:urban,True,37.311,"LINESTRING (82.6409113 55.0826461, 82.64099 55.0827897, 82.6409279 55.0829713)",2,,
"[448267456, 665234257]",False,secondary,RU:urban,True,261.892,"LINESTRING (82.6409113 55.0826461, 82.6398867 55.0828502, 82.6391329 55.0831124, 82.6387611 55.0832793, 82.6384442 55.0834202, 82.6380821 55.0835902, 82.6377146 55.0837363, 82.6373977 55.083832)",2,7,Шоссейная улица
533928049,False,secondary,RU:urban,False,209.461,"LINESTRING (82.6409113 55.0826461, 82.6424844 55.0823853, 82.6440744 55.0821262)",2,7,Шоссейная улица
490304823,False,secondary,RU:urban,False,267.612,"LINESTRING (82.6440744 55.0821262, 82.6459615 55.0819465, 82.6476424 55.0817142, 82.6478486 55.0816877, 82.648191 55.0816436)",2,7,Шоссейная улица
533928049,False,secondary,RU:urban,True,209.461,"LINESTRING (82.6440744 55.0821262, 82.6424844 55.0823853, 82.6409113 55.0826461)",2,7,Шоссейная улица
104677492,False,secondary,RU:urban,False,24.453,"LINESTRING (82.648191 55.0816436, 82.6485639 55.0815907)",2,,Шоссейная улица
490304823,False,secondary,RU:urban,True,267.612,"LINESTRING (82.648191 55.0816436, 82.6478486 55.0816877, 82.6476424 55.0817142, 82.6459615 55.0819465, 82.6440744 55.0821262)",2,7,Шоссейная улица
533928041,False,secondary,RU:urban,True,207.116,"LINESTRING (82.648191 55.0816436, 82.6480071 55.081778, 82.6473665 55.082456, 82.6469526 55.0828786, 82.6466698 55.0831667, 82.6465797 55.0832595)",2,,территория Микрорайон
"[27925922, 533803269, 533803270]",False,tertiary,"['20', 'RU:urban']",False,345.928,"LINESTRING (82.6392719 55.0843534, 82.6397126 55.0844933, 82.6406925 55.0848036, 82.6409023 55.08487, 82.641695 55.0851204, 82.6422067 55.0852864, 82.6431895 55.0856002, 82.6436064 55.0857292, 82.6440247 55.0858627)",,,
27925922,False,tertiary,RU:urban,True,135.792,"LINESTRING (82.6392719 55.0843534, 82.6389196 55.0843378, 82.6385179 55.0842599, 82.6384805 55.0842553, 82.6382658 55.0841546, 82.6379018 55.0839839, 82.6376825 55.0839178, 82.6373977 55.083832)",,,
60010093,False,residential,RU:urban,False,191.361,"LINESTRING (82.6392719 55.0843534, 82.6402303 55.0833395, 82.6403806 55.0832034, 82.640583 55.0830446, 82.6409279 55.0829713)",2,,
"[104677486, 533928055]",False,residential,RU:urban,True,327.72799999999995,"LINESTRING (82.6392719 55.0843534, 82.6391871 55.0844353, 82.638987 55.0846286, 82.6383497 55.0852744, 82.6378932 55.0857647, 82.6378154 55.0858806, 82.6377955 55.0859907, 82.6378721 55.0863088, 82.6380098 55.0867631, 82.638086 55.0869869, 82.6381966 55.0870438)",2,,
"[533928041, 27925924]",False,secondary,RU:urban,False,332.012,"LINESTRING (82.6440247 55.0858627, 82.6441016 55.0857842, 82.6443046 55.0855768, 82.6449303 55.0849372, 82.6452986 55.0845611, 82.6462865 55.0835559, 82.6465797 55.0832595)",2,,территория Микрорайон
"[534549585, 285364441, 607435466, 48806620]",False,tertiary,RU:urban,False,337.735,"LINESTRING (82.6440247 55.0858627, 82.6442001 55.0859192, 82.6445954 55.0860465, 82.6451839 55.0862359, 82.6454155 55.0863055, 82.6457365 55.086402, 82.6461654 55.086531, 82.6464972 55.0866307, 82.6471943 55.0868403, 82.6475846 55.0869507, 82.6486872 55.0873121)",2,,Садовая улица
"[27925922, 533803269, 533803270]",False,tertiary,"['20', 'RU:urban']",True,345.928,"LINESTRING (82.6440247 55.0858627, 82.6436064 55.0857292, 82.6431895 55.0856002, 82.6422067 55.0852864, 82.641695 55.0851204, 82.6409023 55.08487, 82.6406925 55.0848036, 82.6397126 55.0844933, 82.6392719 55.0843534)",,,
56629473,False,residential,,False,326.81600000000003,"LINESTRING (82.6486872 55.0873121, 82.6488228 55.0871972, 82.6515607 55.0848762)",,,Садовый переулок
607435466,False,tertiary,,False,189.733,"LINESTRING (82.6486872 55.0873121, 82.6494362 55.0875552, 82.6512725 55.0881619)",2,,Садовая улица
"[534549585, 607435466, 48806620, 285364441]",False,tertiary,RU:urban,True,337.735,"LINESTRING (82.6486872 55.0873121, 82.6475846 55.0869507, 82.6471943 55.0868403, 82.6464972 55.0866307, 82.6461654 55.086531, 82.6457365 55.086402, 82.6454155 55.0863055, 82.6451839 55.0862359, 82.6445954 55.0860465, 82.6442001 55.0859192, 82.6440247 55.0858627)",2,,Садовая улица
84084645,False,residential,RU:urban,True,284.941,"LINESTRING (82.6381966 55.0870438, 82.6390344 55.086971, 82.6395883 55.0869228, 82.6405983 55.0868351, 82.6408574 55.0868126, 82.6410266 55.0867979, 82.6414899 55.0867576, 82.6423305 55.0866846, 82.6426232 55.0866591)",1,,
"[104677486, 533928055]",False,residential,RU:urban,False,327.728,"LINESTRING (82.6381966 55.0870438, 82.638086 55.0869869, 82.6380098 55.0867631, 82.6378721 55.0863088, 82.6377955 55.0859907, 82.6378154 55.0858806, 82.6378932 55.0857647, 82.6383497 55.0852744, 82.638987 55.0846286, 82.6391871 55.0844353, 82.6392719 55.0843534)",2,,
"[60010984, 533928030]",False,residential,RU:urban,True,188.995,"LINESTRING (82.6381966 55.0870438, 82.638352 55.0873484, 82.638547 55.0877305, 82.6386571 55.0882156, 82.6386672 55.0882599, 82.6386506 55.0885328, 82.6385221 55.0886942)",,,
"[533928042, 56629475, 533928045]",False,residential,,False,364.495,"LINESTRING (82.6465797 55.0832595, 82.6472864 55.0834866, 82.6484461 55.0838489, 82.6502576 55.0844252, 82.6515607 55.0848762)",,,Светлая улица
"[296485062, 60010094]",False,residential,40,False,380.48999999999995,"LINESTRING (82.6465797 55.0832595, 82.6456953 55.0829829, 82.6446116 55.0826372, 82.6430772 55.0827741, 82.6425683 55.0828208, 82.6420341 55.0828698, 82.6409279 55.0829713)",,,
533928041,False,secondary,RU:urban,False,207.11599999999999,"LINESTRING (82.6465797 55.0832595, 82.6466698 55.0831667, 82.6469526 55.0828786, 82.6473665 55.082456, 82.6480071 55.081778, 82.648191 55.0816436)",2,,территория Микрорайон
"[533928041, 27925924]",False,secondary,RU:urban,True,332.01200000000006,"LINESTRING (82.6465797 55.0832595, 82.6462865 55.0835559, 82.6452986 55.0845611, 82.6449303 55.0849372, 82.6443046 55.0855768, 82.6441016 55.0857842, 82.6440247 55.0858627)",2,,территория Микрорайон
"[60010984, 533928030]",False,residential,RU:urban,False,188.995,"LINESTRING (82.6385221 55.0886942, 82.6386506 55.0885328, 82.6386672 55.0882599, 82.6386571 55.0882156, 82.638547 55.0877305, 82.638352 55.0873484, 82.6381966 55.0870438)",,,
533928048,False,secondary,RU:urban,True,51.711,"LINESTRING (82.6493645 55.0815116, 82.6485639 55.0815907)",2,,Шоссейная улица
104677492,False,secondary,RU:urban,True,24.453,"LINESTRING (82.6485639 55.0815907, 82.648191 55.0816436)",2,,Шоссейная улица
533928048,False,secondary,RU:urban,False,51.711,"LINESTRING (82.6485639 55.0815907, 82.6493645 55.0815116)",2,,Шоссейная улица
607435466,False,tertiary,,True,189.733,"LINESTRING (82.6512725 55.0881619, 82.6494362 55.0875552, 82.6486872 55.0873121)",2,,Садовая улица
56629473,False,residential,,True,326.81600000000003,"LINESTRING (82.6515607 55.0848762, 82.6488228 55.0871972, 82.6486872 55.0873121)",,,Садовый переулок
"[533928042, 56629475, 533928045]",False,residential,,True,364.495,"LINESTRING (82.6515607 55.0848762, 82.6502576 55.0844252, 82.6484461 55.0838489, 82.6472864 55.0834866, 82.6465797 55.0832595)",,,Светлая улица
84084645,False,residential,RU:urban,False,284.94100000000003,"LINESTRING (82.6426232 55.0866591, 82.6423305 55.0866846, 82.6414899 55.0867576, 82.6410266 55.0867979, 82.6408574 55.0868126, 82.6405983 55.0868351, 82.6395883 55.0869228, 82.6390344 55.086971, 82.6381966 55.0870438)",1,,
60010093,False,residential,RU:urban,False,37.311,"LINESTRING (82.6409279 55.0829713, 82.64099 55.0827897, 82.6409113 55.0826461)",2,,
60010093,False,residential,RU:urban,True,191.361,"LINESTRING (82.6409279 55.0829713, 82.640583 55.0830446, 82.6403806 55.0832034, 82.6402303 55.0833395, 82.6392719 55.0843534)",2,,
"[60010094, 296485062]",False,residential,40,True,380.49,"LINESTRING (82.6409279 55.0829713, 82.6420341 55.0828698, 82.6425683 55.0828208, 82.6430772 55.0827741, 82.6446116 55.0826372, 82.6456953 55.0829829, 82.6465797 55.0832595)",,,
