osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,ref,bridge
41578475,False,2,Пролетарская улица,residential,RU:urban,False,41.808,"LINESTRING (39.4175269 51.6397836, 39.4175843 51.6401579)",,,
375061334,False,2,улица 20 лет Октября,residential,RU:urban,False,54.417,"LINESTRING (39.4176317 51.6406464, 39.4175843 51.6401579)",,,
375061335,False,2,улица Крупской,residential,RU:urban,True,92.298,"LINESTRING (39.4176317 51.6406464, 39.4178951 51.6414602)",,,
95975380,False,2,улица Крупской,residential,RU:urban,False,306.07000000000005,"LINESTRING (39.4176317 51.6406464, 39.4172099 51.6407933, 39.4151661 51.6411035, 39.4133964 51.6414331)",,,
41578476,False,2,улица 20 лет ВЛКСМ,residential,RU:urban,False,170.10500000000002,"LINESTRING (39.4114129 51.6416442, 39.4115062 51.6418351, 39.411522 51.6423608, 39.4115412 51.6427428, 39.4115243 51.643165)",,,
68879139,False,1,улица 20 лет ВЛКСМ,residential,RU:urban,True,227.285,"LINESTRING (39.4114129 51.6416442, 39.4112965 51.641635, 39.4111643 51.6415869, 39.410747 51.6412717, 39.4104075 51.6409943, 39.4098539 51.6407086, 39.4094605 51.6402819, 39.4092552 51.6401528)",yes,,
95975380,False,2,улица Крупской,residential,RU:urban,True,38.702,"LINESTRING (39.4114129 51.6416442, 39.4115646 51.6415861, 39.4117128 51.6415571, 39.41194 51.6415579)",,,
204835472,False,2,улица Ленина,secondary,40,True,36.234,"LINESTRING (39.4114373 51.6435627, 39.4110526 51.6433409)",,20К-В18-0,
41578476,False,2,улица 20 лет ВЛКСМ,residential,RU:urban,True,44.869,"LINESTRING (39.4114373 51.6435627, 39.4114837 51.6434701, 39.4115262 51.6432277, 39.4115243 51.643165)",,,
776304629,False,2,улица Ленина,secondary,40,False,101.151,"LINESTRING (39.4114373 51.6435627, 39.4116566 51.6436872, 39.4123928 51.6441054, 39.4125292 51.644169)",,20К-В18-0,
"[1065463203, 776304631]",False,2,Советская улица,residential,40,False,17.169,"LINESTRING (39.4114373 51.6435627, 39.4113474 51.6436591, 39.4112903 51.6436835)",,,
1065463204,False,2,Советская улица,residential,40,False,28.82,"LINESTRING (39.410674 51.6461221, 39.4103779 51.6463049)",,,
1065463204,False,2,Советская улица,residential,40,True,25.264,"LINESTRING (39.410674 51.6461221, 39.4108567 51.6459252)",,,
51999914,False,1,Больничный переулок,residential,,False,321.15900000000005,"LINESTRING (39.410674 51.6461221, 39.4118391 51.6470732, 39.412162 51.6472433, 39.4123578 51.6473397, 39.4125143 51.647402, 39.412628 51.647436, 39.4130939 51.6475678, 39.4142382 51.6478505)",,,
52059697,False,,улица Степана Разина,residential,,True,197.881,"LINESTRING (39.4036272 51.6446594, 39.4039211 51.6444838, 39.4047319 51.6442242, 39.4062359 51.6439983)",,,
89416237,False,,Логовая улица,residential,,False,128.453,"LINESTRING (39.406575 51.6455205, 39.4060217 51.6447543, 39.4060092 51.6444388)",,,
178497977,False,,Логовая улица,residential,,False,118.312,"LINESTRING (39.406575 51.6455205, 39.4062249 51.6455324, 39.4052159 51.6454634, 39.4048682 51.6454817)",,,
178497977,False,,Логовая улица,residential,,True,167.99,"LINESTRING (39.406575 51.6455205, 39.4077285 51.6455485, 39.4082963 51.6456027, 39.4084802 51.6455591, 39.408714 51.6452786)",,,
"[592362637, 1062501494]",False,,"['Обдорская улица', 'Логовая улица']",residential,,True,350.38500000000005,"LINESTRING (39.406575 51.6455205, 39.4067084 51.6465793, 39.4067166 51.6466042, 39.4066844 51.6466359, 39.4065798 51.6466708, 39.4064537 51.6466908, 39.4063089 51.6467224, 39.4061506 51.646769, 39.4060863 51.6467907, 39.4060782 51.6469654, 39.4060433 51.6470969, 39.4060192 51.6471668, 39.4059843 51.6472167, 39.4046035 51.6472114, 39.4040993 51.6471015)",,,
188857446,False,,улица 9 Января,residential,,True,97.539,"LINESTRING (39.4073455 51.6411882, 39.4072144 51.6412408, 39.4069959 51.6413285, 39.4067277 51.6414084, 39.4063844 51.6414284, 39.4060296 51.6414249)",,,
"[204835472, 204835469]",False,2,улица Ленина,secondary,40,False,317.01399999999995,"LINESTRING (39.4073455 51.6411882, 39.4080638 51.641661, 39.4081929 51.6417368, 39.4083492 51.6418286, 39.4098197 51.6426375, 39.4101591 51.6428369, 39.4106217 51.6430959, 39.4106949 51.6431369)",,20К-В18-0,
204835469,False,2,улица Ленина,secondary,40,True,92.18,"LINESTRING (39.4073455 51.6411882, 39.4070175 51.6409029, 39.4066264 51.6404905)",,20К-В18-0,
95975380,False,2,улица Крупской,residential,RU:urban,False,51.638,"LINESTRING (39.4126883 51.6415544, 39.41194 51.6415579)",,,
178497986,False,1,Молодёжная улица,residential,,False,103.668,"LINESTRING (39.4126883 51.6415544, 39.4125253 51.6406276)",,,
95975380,False,2,улица Крупской,residential,RU:urban,True,50.914,"LINESTRING (39.4126883 51.6415544, 39.4130724 51.6415108, 39.4133964 51.6414331)",,,
370566101,False,,Логовая улица,residential,,True,51.097,"LINESTRING (39.4081622 51.6449793, 39.4084243 51.6451651, 39.408714 51.6452786)",,,
61564876,False,1,улица Крупской,residential,RU:urban,True,271.45,"LINESTRING (39.4133964 51.6414331, 39.4134425 51.6415436, 39.4134854 51.6417366, 39.4134854 51.6419564, 39.4134706 51.642112, 39.4134529 51.6422986, 39.4134414 51.6426391, 39.4134433 51.6426908, 39.413442 51.6430193, 39.4134181 51.643172, 39.4133642 51.6434963, 39.4133334 51.6437143, 39.4133609 51.6438639)",,,
95975380,False,2,улица Крупской,residential,RU:urban,False,50.914,"LINESTRING (39.4133964 51.6414331, 39.4130724 51.6415108, 39.4126883 51.6415544)",,,
95975380,False,2,улица Крупской,residential,RU:urban,True,306.07,"LINESTRING (39.4133964 51.6414331, 39.4151661 51.6411035, 39.4172099 51.6407933, 39.4176317 51.6406464)",,,
41578475,False,2,Пролетарская улица,residential,RU:urban,True,41.808,"LINESTRING (39.4175843 51.6401579, 39.4175269 51.6397836)",,,
375061334,False,2,улица 20 лет Октября,residential,RU:urban,True,54.417,"LINESTRING (39.4175843 51.6401579, 39.4176317 51.6406464)",,,
203054871,False,1,Молодёжная улица,residential,,True,94.51599999999999,"LINESTRING (39.4175843 51.6401579, 39.4168311 51.6402513, 39.4162663 51.6401228)",,,
