osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref,tunnel
503156228,2,Vestergade,tertiary,50,False,False,29.947000000000003,"LINESTRING (8.3052529 56.5498137, 8.3051551 56.5497813, 8.3049593 56.5497488, 8.3047952 56.5497243)",,,
584926686,,,tertiary,50,True,False,12.969999999999999,"LINESTRING (8.3052529 56.5498137, 8.3052755 56.5497988, 8.305304 56.5497873, 8.3053367 56.54978, 8.3053716 56.5497774, 8.3054067 56.5497796, 8.3054397 56.5497864)",roundabout,,
44848254,,Heldumvej,tertiary,50,False,False,22.863,"LINESTRING (8.297091 56.5482542, 8.2967268 56.5482098)",,,
"[44847968, 212039577]",,"['Vestergade', 'Vesterbjerg']",tertiary,50,False,True,549.5049999999999,"LINESTRING (8.297091 56.5482542, 8.2974302 56.5482929, 8.2978695 56.548343, 8.2990613 56.5484789, 8.2995651 56.5485364, 8.299828 56.5485827, 8.3007492 56.5489738, 8.3008562 56.5490568, 8.3008725 56.5491255, 8.3008129 56.5492032, 8.3005919 56.5493347, 8.3005636 56.5493993, 8.3005828 56.5494606, 8.3006489 56.5495008, 8.3007419 56.5495288, 8.3008483 56.5495288, 8.3009259 56.5495082, 8.300993 56.5494701, 8.3011205 56.5493169, 8.3012379 56.5492735, 8.3013472 56.5492608, 8.301866 56.5492623, 8.3020319 56.5492652, 8.3023904 56.5492985, 8.3027503 56.5493528, 8.3030152 56.5494126, 8.3034132 56.5495308, 8.3037113 56.5496067, 8.3038205 56.5496236, 8.3038462 56.5496276, 8.3041381 56.549659)",,,
44848393,2,Storegade,tertiary,50,False,True,88.262,"LINESTRING (8.297091 56.5482542, 8.297139 56.5481211, 8.2971908 56.5480619, 8.2972924 56.5480006, 8.2975212 56.5479056, 8.2980304 56.5476942)",,,
44848254,,Heldumvej,tertiary,50,False,True,22.863,"LINESTRING (8.2967268 56.5482098, 8.297091 56.5482542)",,,
94553143,,Ydunslund,residential,,True,False,102.029,"LINESTRING (8.2967268 56.5482098, 8.296712 56.5482829, 8.2968615 56.5488207, 8.2969248 56.5491186)",,,
25577594,,Havnegade,residential,50,False,False,45.619,"LINESTRING (8.3095821 56.5515129, 8.3098104 56.5516536, 8.3100232 56.5518415)",,,
27217829,,Enghavevej,tertiary,50,False,True,143.54,"LINESTRING (8.3095821 56.5515129, 8.3097793 56.5514087, 8.3101098 56.5512935, 8.3108746 56.5510746, 8.3112062 56.5510175, 8.3116691 56.5509773)",,,
"[461364723, 309053303]",,Havnegade,tertiary,50,False,True,96.542,"LINESTRING (8.3095821 56.5515129, 8.3093676 56.5514137, 8.3087437 56.551118, 8.3085606 56.5510324, 8.3083821 56.5509505)",,,
25577594,,Havnegade,residential,50,False,True,69.022,"LINESTRING (8.3105268 56.5524585, 8.3100738 56.5518902)",,,
76077516,,Teglgårdsvej,residential,,False,False,12.543,"LINESTRING (8.3105268 56.5524585, 8.3105386 56.5525166, 8.3105496 56.5525706)",,,
27217829,,Enghavevej,tertiary,50,False,False,71.07300000000001,"LINESTRING (8.3127347 56.5503417, 8.312469 56.5506615, 8.3123497 56.5507639, 8.3121337 56.5508792)",,,
32608914,2,Strandvejen,tertiary,50,False,False,73.11099999999999,"LINESTRING (8.3027756 56.5498331, 8.3022153 56.5498406, 8.3015851 56.5498694)",,,
